AUDCAD,AUDNZD,CADCHF,CADHKD,CHFJPY,CHFSGD,EURAUD,EURCAD,EURCHF,EURPLN,EURSEK,EURTRY,HKDJPY,ZARJPY,USDZAR,USDTRY,USDTHB,USDNOK,USDMXN,USDHUF,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
0.9714,1.0947,0.77139,5.81458,119.665,1.37039,1.45419,1.41276,1.09003,4.26401,9.20766,3.07127,15.87727,8.512,14.40449,2.89753,35.0467,8.39936,20.35396,290.046,0.72869,1.05976,1.50846,0.66552,1.33312,1.02852,123.1
0.97438,1.0949,0.76879,5.79388,119.68,1.37069,1.4561,1.41897,1.09118,4.27247,9.20796,3.06542,15.88127,8.473,14.47722,2.88955,35.0722,8.39036,20.34864,289.765,0.7283,1.0606,1.50651,0.66509,1.33792,1.0288,123.136
0.97873,1.09657,0.76955,5.79478,119.371,1.36651,1.45064,1.41999,1.093,4.27943,9.22776,3.07168,15.85537,8.483,14.4344,2.8928,35.0771,8.3733,20.36543,289.871,0.73168,1.06155,1.50733,0.66709,1.33768,1.02958,122.918
0.97794,1.09638,0.76775,5.80151,119.726,1.37035,1.45146,1.41999,1.09072,4.27928,9.22906,3.07038,15.84727,8.472,14.43493,2.88721,35.0568,8.38196,20.31576,290.025,0.73215,1.0632,1.50805,0.66739,1.33562,1.02583,122.86
0.97741,1.09822,0.76804,5.79988,119.718,1.36966,1.45204,1.41939,1.09047,4.27757,9.22316,3.07019,15.85708,8.484,14.42769,2.88944,34.9729,8.39116,20.31292,291.048,0.73141,1.0621,1.50723,0.66589,1.33639,1.02667,122.928
0.97729,1.09708,0.76775,5.79508,119.837,1.37142,1.45195,1.41915,1.0898,4.2785,9.23256,3.06837,15.87817,8.488,14.43909,2.89095,34.9717,8.38932,20.27041,290.668,0.7308,1.06121,1.50628,0.66604,1.33734,1.02693,123.078
0.97998,1.09905,0.76738,5.79588,119.979,1.37357,1.44869,1.4199,1.09,4.2804,9.23398,3.05876,15.88667,8.551,14.34509,2.87966,34.9757,8.39105,20.25733,290.886,0.73297,1.06213,1.50395,0.6668,1.33696,1.02613,123.133
0.98054,1.10116,0.7662,5.78087,120.075,1.37441,1.44628,1.4183,1.08691,4.27104,9.21265,3.06044,15.91568,8.553,14.37025,2.89202,35.0233,8.37297,20.24166,290.31,0.73149,1.05805,1.4995,0.6642,1.34052,1.02728,123.362
0.97624,1.10183,0.7659,5.79918,120.648,1.37888,1.44865,1.41443,1.08356,4.27576,9.19806,3.06171,15.93491,8.564,14.3643,2.89167,34.9911,8.36236,20.2314,290.484,0.73057,1.05848,1.49315,0.66304,1.3363,1.02363,123.517
0.97494,1.09996,0.763,5.80783,120.989,1.38578,1.45195,1.41602,1.08109,4.2748,9.21066,3.06515,15.89991,8.549,14.33907,2.88711,35.0131,8.36265,20.29159,290.164,0.7307,1.06132,1.49511,0.66378,1.33421,1.01832,123.246
0.97372,1.09865,0.76305,5.80567,120.977,1.38621,1.45313,1.41516,1.08012,4.27446,9.20686,3.07149,15.90297,8.538,14.37267,2.89477,35.0096,8.41782,20.32026,291.513,0.72955,1.06023,1.49347,0.66396,1.33476,1.01876,123.26
0.97461,1.10007,0.76626,5.81978,120.936,1.38161,1.44633,1.40975,1.08046,4.27449,9.20846,3.06093,15.9249,8.574,14.33278,2.88813,35.0019,8.39712,20.25516,290.859,0.73193,1.05876,1.49218,0.66529,1.33152,1.02046,123.428
0.97589,1.09988,0.76805,5.8154,120.616,1.37735,1.44184,1.40716,1.08102,4.26769,9.19392,3.04829,15.93137,8.588,14.32167,2.88402,35.06,8.40044,20.27426,291.122,0.73237,1.05609,1.49337,0.66576,1.33244,1.02362,123.475
0.97809,1.10219,0.75597,5.81765,122.253,1.39081,1.47381,1.44181,1.09003,4.30307,9.25636,3.11542,15.88617,8.599,14.26199,2.87616,35.0223,8.39491,20.24956,291.063,0.73433,1.08245,1.50422,0.66614,1.33202,1.00702,123.126
0.98093,1.10124,0.7459,5.79307,122.997,1.40049,1.48649,1.45826,1.08801,4.3208,9.26616,3.15067,15.83898,8.525,14.33999,2.88758,35.0103,8.39513,20.28594,292.096,0.73331,1.09018,1.51004,0.66577,1.33763,0.99795,122.76
0.98018,1.09711,0.74345,5.80138,123.385,1.40265,1.48971,1.4607,1.08655,4.32121,9.27576,3.15625,15.81738,8.493,14.34939,2.88319,34.9899,8.40542,20.41496,292.671,0.73392,1.09387,1.51425,0.66847,1.33542,0.99325,122.594
0.97849,1.09749,0.74409,5.80499,123.481,1.40603,1.48816,1.4563,1.08386,4.32324,9.27706,3.14974,15.8299,8.497,14.37439,2.88713,34.9879,8.35273,20.28243,291.099,0.73301,1.09098,1.51256,0.66779,1.33489,0.99341,122.689
0.9773,1.09441,0.74274,5.80254,123.559,1.40657,1.49455,1.4608,1.08533,4.32482,9.27596,3.15871,15.8189,8.492,14.37889,2.88776,34.9821,8.33462,20.27456,290.574,0.73181,1.09388,1.51233,0.6686,1.33545,0.99211,122.602
0.97643,1.09573,0.7491,5.80977,122.827,1.39795,1.48731,1.45247,1.08827,4.31273,9.25496,3.15159,15.83868,8.498,14.38907,2.89342,35.0128,8.32673,20.27423,289.98,0.73209,1.08899,1.51239,0.66802,1.33378,0.9993,122.755
0.98053,1.0944,0.7455,5.79077,123.143,1.39832,1.49089,1.46198,1.09012,4.31548,9.26341,3.16604,15.85369,8.508,14.38866,2.89724,35.0011,8.32333,20.28395,289.987,0.73278,1.09259,1.51136,0.66953,1.33813,0.99777,122.884
0.98294,1.08892,0.74714,5.78768,123.108,1.39457,1.48009,1.45513,1.08739,4.30622,9.22652,3.13702,15.89397,8.555,14.34044,2.88565,34.983,8.31097,20.34494,289.468,0.73418,1.08685,1.50996,0.67411,1.33887,1.00048,123.186
0.9801,1.08693,0.74369,5.79848,123.438,1.40079,1.48172,1.45312,1.08315,4.30832,9.21826,3.14536,15.8849,8.517,14.35545,2.89105,34.9883,8.3327,20.33406,289.668,0.73359,1.08818,1.51032,0.67431,1.33602,0.99572,123.087
0.9817,1.09195,0.745,5.78858,123.535,1.40169,1.4817,1.45479,1.08406,4.3063,9.22331,3.14352,15.90168,8.537,14.35067,2.89129,34.9811,8.29833,20.30473,288.494,0.73336,1.08676,1.5101,0.67147,1.33865,0.99746,123.242
0.98168,1.09417,0.74527,5.78478,123.431,1.4022,1.48189,1.45496,1.08464,4.30886,9.22726,3.13948,15.90517,8.552,14.35648,2.89017,34.9792,8.28432,20.37586,287.807,0.73285,1.08613,1.50979,0.66965,1.3396,0.99861,123.276
0.98014,1.09404,0.74605,5.77168,123.177,1.40011,1.48151,1.45221,1.08369,4.31021,9.21485,3.12832,15.92337,8.51,14.44732,2.89128,35.0128,8.28687,20.39323,287.984,0.73003,1.08168,1.50653,0.66717,1.34257,1.00185,123.417
0.98154,1.09414,0.74285,5.74627,123.186,1.40303,1.48599,1.45869,1.08375,4.3168,9.22712,3.13883,15.92507,8.463,14.52627,2.90125,34.9856,8.2857,20.401,287.963,0.72786,1.08172,1.50772,0.66512,1.34851,1.0019,123.43
0.98228,1.09339,0.74049,5.73157,123.07,1.40293,1.49332,1.46708,1.08657,4.32056,9.2583,3.15863,15.90138,8.454,14.51959,2.91005,34.9726,8.32742,20.45493,289.183,0.72654,1.0851,1.50607,0.66438,1.35203,1.00129,123.244
0.98084,1.09343,0.74055,5.7415,123.337,1.40495,1.4911,1.46274,1.0836,4.3204,9.25666,3.15402,15.9159,8.43,14.50256,2.9097,34.9806,8.32028,20.52463,289.311,0.72663,1.08369,1.50537,0.66421,1.34976,0.99993,123.363
