AUDCAD,AUDNZD,CADCHF,CADHKD,CHFJPY,CHFSGD,EURAUD,EURCAD,EURCHF,EURPLN,EURSEK,EURTRY,HKDJPY,ZARJPY,USDZAR,USDTRY,USDTHB,USDNOK,USDMXN,USDHUF,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
0.96855,1.09462,0.76854,5.80767,119.805,1.37453,1.45786,1.41223,1.08564,4.26415,9.20866,3.07577,15.85768,8.497,14.40959,2.90543,35.0603,8.36731,20.31746,289.703,0.72576,1.05816,1.50998,0.66296,1.33461,1.02592,122.93
0.97143,1.09468,0.77136,5.81428,119.673,1.37041,1.45419,1.41276,1.08999,4.26426,9.20756,3.07128,15.87707,8.511,14.40477,2.89758,35.0589,8.39926,20.35396,290.061,0.7287,1.05975,1.50845,0.66554,1.33312,1.02851,123.101
0.97439,1.09486,0.76885,5.79388,119.678,1.37066,1.45609,1.41898,1.09118,4.27245,9.20773,3.06538,15.88077,8.473,14.47722,2.8896,35.0722,8.39017,20.34874,289.764,0.72829,1.06061,1.50651,0.66509,1.33792,1.0288,123.135
0.97874,1.09657,0.76955,5.79478,119.371,1.36646,1.45066,1.42001,1.093,4.27942,9.22793,3.07168,15.85517,8.482,14.43471,2.89277,35.0465,8.3733,20.36603,289.907,0.73168,1.06156,1.50734,0.66711,1.33767,1.02959,122.918
0.97788,1.09611,0.76775,5.80018,119.706,1.37039,1.45146,1.41999,1.09077,4.27837,9.23086,3.07038,15.84858,8.47,14.43494,2.88681,35.0573,8.3819,20.31534,289.996,0.73213,1.06317,1.50805,0.66738,1.33562,1.02574,122.848
0.97739,1.09822,0.7681,5.79988,119.718,1.36965,1.45204,1.4194,1.09047,4.27758,9.22426,3.07009,15.85707,8.484,14.42769,2.88942,34.9893,8.39104,20.31292,291.006,0.73141,1.06212,1.50724,0.6659,1.33639,1.02668,122.928
0.97734,1.09711,0.76774,5.79478,119.837,1.37139,1.45192,1.41916,1.08979,4.28037,9.23236,3.06845,15.87827,8.489,14.43937,2.89115,34.9729,8.38932,20.26582,290.503,0.73078,1.06121,1.50628,0.66603,1.33734,1.02693,123.078
0.9799,1.09905,0.7674,5.79588,119.975,1.37338,1.44869,1.41985,1.0899,4.28044,9.23495,3.05884,15.88788,8.552,14.34509,2.87969,34.972,8.39114,20.25733,290.869,0.73297,1.06213,1.50396,0.6668,1.337,1.02614,123.135
0.98052,1.10116,0.76619,5.78087,120.072,1.37441,1.44626,1.41829,1.08691,4.27104,9.21255,3.06027,15.91518,8.554,14.37025,2.89201,35.0329,8.37277,20.24167,290.355,0.73147,1.05804,1.49949,0.66419,1.34051,1.02728,123.363
0.97622,1.1018,0.76589,5.79938,120.648,1.3788,1.44864,1.41443,1.08354,4.2759,9.19806,3.06171,15.9349,8.564,14.3646,2.89166,34.9966,8.36247,20.23304,290.53,0.73057,1.05849,1.49317,0.66299,1.3363,1.02363,123.516
0.97495,1.09982,0.7631,5.80777,120.961,1.38602,1.45195,1.41618,1.08118,4.2748,9.21066,3.06489,15.90127,8.546,14.33902,2.88712,35.0111,8.36254,20.29133,290.15,0.73066,1.06132,1.49511,0.6636,1.33423,1.01817,123.246
0.97374,1.09865,0.76308,5.80587,120.977,1.38614,1.45315,1.41517,1.08012,4.27434,9.20686,3.07139,15.90368,8.535,14.37253,2.89477,35.0193,8.41782,20.32026,291.514,0.72954,1.06023,1.49348,0.66395,1.33477,1.01877,123.26
0.9746,1.10007,0.76624,5.81977,120.938,1.38141,1.44637,1.40975,1.08045,4.27577,9.20846,3.06228,15.9249,8.574,14.33307,2.8901,35.0072,8.39713,20.24843,290.762,0.73194,1.05876,1.49217,0.6653,1.33152,1.02045,123.428
0.97588,1.09988,0.76804,5.81532,120.616,1.37733,1.44185,1.40716,1.081,4.26769,9.19406,3.04827,15.93138,8.589,14.32167,2.88402,35.0618,8.40049,20.27426,291.178,0.73237,1.05607,1.49336,0.66574,1.33244,1.02363,123.474
0.97809,1.10218,0.75597,5.8172,122.257,1.39099,1.47381,1.44181,1.08996,4.30314,9.25466,3.1155,15.88557,8.598,14.26199,2.87616,35.0166,8.39507,20.24956,291.049,0.73434,1.0824,1.50426,0.66613,1.33202,1.00691,123.125
0.98094,1.10124,0.7459,5.79307,122.995,1.40054,1.48651,1.45828,1.08801,4.32083,9.26626,3.15084,15.83858,8.526,14.33828,2.88756,35.0128,8.39527,20.28604,292.081,0.73331,1.0902,1.51006,0.66575,1.3376,0.99793,122.758
0.97998,1.09718,0.74335,5.80078,123.385,1.40111,1.48952,1.46067,1.08663,4.31831,9.27416,3.15625,15.8199,8.492,14.3468,2.8799,34.9906,8.40542,20.41496,292.688,0.73385,1.09387,1.51425,0.66854,1.33534,0.99319,122.592
0.9785,1.09749,0.74408,5.80494,123.48,1.40605,1.48815,1.45633,1.08381,4.32324,9.27536,3.14983,15.8289,8.497,14.37323,2.88714,34.9894,8.35245,20.28243,291.113,0.73302,1.09098,1.51256,0.6678,1.33491,0.99345,122.689
0.97731,1.09442,0.74274,5.80247,123.555,1.40658,1.49455,1.4608,1.08533,4.32482,9.27626,3.15872,15.81848,8.492,14.37959,2.88776,34.9888,8.33522,20.2682,290.339,0.73182,1.09388,1.51232,0.66861,1.33544,0.99212,122.602
0.97644,1.09573,0.7491,5.80977,122.824,1.39795,1.48729,1.45246,1.08827,4.31273,9.25486,3.15165,15.83797,8.497,14.38914,2.89349,35.01,8.3267,20.27244,290.0,0.73209,1.08898,1.51238,0.66802,1.33379,0.9993,122.755
0.98053,1.09441,0.7455,5.79077,123.144,1.39825,1.49089,1.46196,1.0901,4.31554,9.26326,3.16604,15.85337,8.508,14.38866,2.89724,34.9905,8.32323,20.28395,289.977,0.73279,1.09256,1.51137,0.66952,1.33813,0.99779,122.884
0.98298,1.08894,0.74715,5.78767,123.111,1.39455,1.48009,1.4551,1.08741,4.30622,9.22662,3.13702,15.89427,8.556,14.34044,2.88566,34.9823,8.31101,20.34791,289.43,0.73414,1.08684,1.50994,0.67411,1.33884,1.00049,123.188
0.98125,1.08851,0.74534,5.79508,123.491,1.39556,1.4806,1.45335,1.08427,4.30203,9.23332,3.126,15.89191,8.528,14.33237,2.87592,34.9872,8.33247,20.33526,289.685,0.73395,1.08703,1.5107,0.67381,1.33687,0.99701,123.171
0.9817,1.09195,0.74497,5.78857,123.539,1.40171,1.4817,1.45477,1.08405,4.3063,9.22336,3.14372,15.90167,8.537,14.34795,2.8913,34.9874,8.29819,20.30456,288.511,0.73336,1.08678,1.51021,0.67147,1.33867,0.99744,123.242
0.98171,1.09416,0.74528,5.78477,123.429,1.4022,1.4819,1.45499,1.08464,4.30891,9.22786,3.13989,15.90491,8.553,14.35611,2.89031,34.9812,8.28574,20.37878,287.87,0.73285,1.08614,1.50979,0.66966,1.33959,0.99859,123.274
0.98011,1.09405,0.74605,5.77168,123.178,1.40012,1.48151,1.45224,1.08372,4.3102,9.21473,3.12839,15.92338,8.509,14.44779,2.89145,35.0131,8.28664,20.39499,287.967,0.73001,1.0817,1.50652,0.66717,1.34258,1.00186,123.417
0.98149,1.09415,0.74284,5.74627,123.186,1.40306,1.48599,1.45869,1.08374,4.3168,9.227,3.13886,15.92498,8.462,14.52621,2.90127,34.9882,8.28541,20.4009,288.023,0.72786,1.08172,1.50772,0.66512,1.34851,1.00189,123.43
0.98228,1.09333,0.74049,5.73165,123.071,1.40297,1.49333,1.46709,1.08658,4.32061,9.25814,3.15863,15.90148,8.455,14.51497,2.91004,34.9777,8.32718,20.45483,289.172,0.72654,1.0851,1.50607,0.66441,1.35202,1.00129,123.244
0.98079,1.09343,0.7406,5.74154,123.327,1.40359,1.4912,1.46282,1.08355,4.32046,9.25656,3.15353,15.91408,8.43,14.5021,2.9097,34.9893,8.31993,20.52444,289.312,0.72663,1.08369,1.50547,0.66423,1.34976,0.99979,123.366
0.98128,1.0941,0.7402,5.73787,123.181,1.40458,1.49265,1.46493,1.08463,4.31985,9.26236,3.15703,15.89487,8.461,14.49924,2.9095,35.0202,8.34242,20.41755,290.311,0.72655,1.08468,1.50506,0.66396,1.35053,1.0,123.197
0.97674,1.08865,0.7388,5.73197,123.202,1.40925,1.50299,1.46819,1.08488,4.31991,9.27086,3.16286,15.88058,8.439,14.52407,2.91164,35.0238,8.34352,20.39176,290.375,0.7225,1.08605,1.50429,0.66355,1.35187,0.99891,123.084
0.97563,1.08675,0.73709,5.72578,123.361,1.40869,1.50497,1.46849,1.08296,4.32801,9.26146,3.16446,15.8787,8.408,14.58091,2.91503,35.0199,8.35185,20.47919,290.349,0.72107,1.08536,1.50107,0.66334,1.35302,0.99758,123.08
0.97918,1.08588,0.72935,5.69098,123.629,1.42139,1.51465,1.48336,1.08222,4.33524,9.24846,3.17958,15.84617,8.335,14.67499,2.91805,35.0201,8.34206,20.46276,290.026,0.71915,1.08942,1.49659,0.66212,1.36164,0.99339,122.822
0.98034,1.08656,0.73004,5.70377,123.908,1.41834,1.50909,1.47963,1.08041,4.34134,9.25371,3.17192,15.86208,8.41,14.56249,2.91178,35.0063,8.34343,20.50352,290.115,0.72151,1.08892,1.50084,0.66392,1.35873,0.99214,122.948
0.97993,1.08508,0.73025,5.70348,123.835,1.41761,1.50906,1.47957,1.08078,4.34042,9.26656,3.16721,15.85857,8.382,14.57738,2.90693,35.0461,8.33651,20.46729,290.149,0.72136,1.08915,1.50057,0.66433,1.3584,0.99229,122.922
0.98115,1.08907,0.7311,5.70833,123.755,1.41745,1.5077,1.47953,1.08207,4.33999,9.26626,3.17148,15.85418,8.384,14.58427,2.91008,35.0421,8.34498,20.40515,290.16,0.72277,1.08989,1.50158,0.66355,1.35753,0.99282,122.882
0.97919,1.08863,0.7312,5.71011,123.643,1.41541,1.51142,1.48014,1.08258,4.34348,9.27256,3.17221,15.83557,8.379,14.58607,2.90785,35.036,8.33512,20.34743,289.716,0.72158,1.09074,1.50119,0.66273,1.35703,0.99252,122.733
0.97603,1.08679,0.72974,5.70287,123.708,1.41903,1.52161,1.48528,1.08411,4.33931,9.25611,3.18528,15.83198,8.357,14.62461,2.9129,35.046,8.35762,20.39384,290.686,0.71827,1.09308,1.5049,0.66082,1.35881,0.9918,122.702
0.9803,1.08682,0.7271,5.70768,123.655,1.42159,1.5192,1.48952,1.08316,4.34284,9.23625,3.19992,15.75227,8.35,14.56369,2.91591,35.0151,8.35756,20.40339,290.662,0.72203,1.09715,1.51107,0.66424,1.35767,0.98723,122.093
0.97928,1.08522,0.724,5.69818,123.257,1.42681,1.52774,1.49628,1.08361,4.34479,9.26631,3.20911,15.66091,8.286,14.58923,2.91579,35.0099,8.38491,20.45607,291.736,0.72007,1.10028,1.51674,0.66344,1.35998,0.98485,121.398
0.98162,1.07515,0.72348,5.7057,123.473,1.42684,1.52459,1.49691,1.08365,4.34399,9.26086,3.21181,15.6709,8.065,14.95759,2.90933,35.0094,8.36303,20.40785,291.216,0.72288,1.1024,1.51807,0.67182,1.35786,0.98306,121.439
0.98984,1.08299,0.7261,5.71517,123.422,1.4225,1.50748,1.49239,1.0838,4.3433,9.26975,3.20594,15.68168,8.128,14.88939,2.91194,35.0025,8.35527,20.43499,291.683,0.73003,1.10069,1.51771,0.67403,1.35591,0.98465,121.544
0.98774,1.08221,0.72626,5.71617,123.519,1.42577,1.50986,1.4915,1.08347,4.34337,9.26576,3.21156,15.69591,8.045,15.04539,2.91738,34.9987,8.35524,19.99514,291.698,0.72855,1.10013,1.51776,0.67309,1.35572,0.9848,121.663
0.98801,1.08372,0.7285,5.71357,123.191,1.42064,1.50528,1.48744,1.08385,4.34369,9.29214,3.1977,15.70808,8.067,15.02682,2.91305,34.9985,8.34127,20.01566,291.569,0.72854,1.09681,1.51795,0.67219,1.35614,0.98819,121.747
0.99061,1.07922,0.72545,5.71038,123.182,1.42284,1.50273,1.48886,1.08029,4.33917,9.28195,3.20182,15.65058,7.9,15.291,2.91608,34.9987,8.34534,20.01266,291.765,0.73,1.0971,1.51583,0.6763,1.35711,0.98469,121.304
0.9934,1.07868,0.72625,5.69268,122.823,1.41768,1.49983,1.49012,1.08241,4.34923,9.30692,3.20266,15.67027,7.922,15.26139,2.9233,35.001,8.37422,20.06776,292.257,0.7298,1.0947,1.51681,0.67641,1.36124,0.98872,121.452
0.99184,1.07772,0.72465,5.68702,123.037,1.41898,1.50229,1.49049,1.08046,4.34315,9.31616,3.19843,15.68691,7.818,15.37389,2.92134,34.9908,8.37902,20.02566,292.846,0.72796,1.09405,1.51592,0.67523,1.36233,0.98738,121.55
0.98974,1.07601,0.72444,5.67927,123.477,1.41999,1.50693,1.49162,1.08084,4.34351,9.31656,3.19427,15.75291,7.9,15.38785,2.9205,34.9862,8.37342,19.94718,291.77,0.72541,1.09322,1.51455,0.67409,1.36444,0.98864,122.094
0.98873,1.07397,0.72395,5.67689,123.501,1.42268,1.50972,1.49277,1.08086,4.34578,9.31896,3.20038,15.74877,7.855,15.46428,2.92556,34.9727,8.36402,19.89755,291.348,0.72437,1.09371,1.51326,0.67437,1.3649,0.98824,122.063
0.98729,1.07139,0.7231,5.67017,123.352,1.42604,1.51472,1.49573,1.08174,4.34613,9.32291,3.23071,15.73238,7.708,15.74479,2.95181,34.959,8.36922,19.90586,291.626,0.72239,1.09434,1.51359,0.67429,1.36678,0.98841,121.937
0.98626,1.07078,0.72215,5.66907,123.066,1.42746,1.51782,1.49721,1.08145,4.34538,9.30395,3.23803,15.67707,7.628,15.85049,2.95577,34.9578,8.35451,19.87052,291.324,0.72148,1.09525,1.51651,0.67368,1.367,0.98729,121.512
0.98826,1.07159,0.71515,5.63832,122.867,1.43692,1.52868,1.51105,1.08088,4.36469,9.3376,3.27782,15.58678,7.632,15.74789,2.98053,34.9596,8.35634,19.92933,291.933,0.71912,1.09942,1.5216,0.67095,1.37442,0.98312,120.809
0.98814,1.07216,0.71629,5.64543,123.112,1.4333,1.52445,1.50683,1.08086,4.36105,9.33566,3.24573,15.6169,7.973,15.19624,2.95348,34.9424,8.32212,19.74673,290.8,0.72023,1.09836,1.52308,0.67153,1.37188,0.98348,121.148
0.98628,1.07064,0.71615,5.63788,122.817,1.43437,1.52865,1.5078,1.08028,4.35078,9.34225,3.2596,15.60548,7.856,15.30829,2.97014,34.9048,8.34744,19.69276,291.369,0.71754,1.09701,1.51981,0.67012,1.37446,0.98476,120.955
0.98803,1.07335,0.71765,5.64652,122.991,1.43131,1.52276,1.50478,1.08013,4.35927,9.34476,3.24392,15.63547,7.967,15.13447,2.95883,34.8648,8.33632,19.66443,291.526,0.71995,1.09641,1.51969,0.6707,1.37241,0.98517,121.185
0.99017,1.07293,0.71805,5.64808,122.889,1.43202,1.51811,1.50339,1.07984,4.34887,9.33541,3.24492,15.62607,7.987,15.1001,2.96095,34.8568,8.34386,19.68566,291.857,0.72173,1.09581,1.51684,0.67255,1.37195,0.98542,121.111
0.9911,1.06995,0.71675,5.65892,123.077,1.43501,1.51768,1.50447,1.07857,4.3579,9.35025,3.28309,15.59037,7.893,15.24149,2.9873,34.9441,8.33865,19.69996,291.716,0.72381,1.09864,1.51399,0.67634,1.36937,0.98171,120.84
0.99624,1.06976,0.7164,5.64157,122.621,1.42942,1.51859,1.51318,1.08414,4.36248,9.33686,3.28367,15.57228,7.948,15.10979,2.98005,34.8603,8.32844,19.70564,291.197,0.72524,1.1015,1.51425,0.67786,1.37377,0.98424,120.704
0.99458,1.07128,0.7168,5.64227,122.798,1.42864,1.51742,1.50967,1.08279,4.36263,9.32036,3.27455,15.61491,7.969,15.08788,2.97813,34.8515,8.32754,19.77656,290.654,0.72418,1.09913,1.51407,0.67551,1.37319,0.98507,121.019
0.99529,1.06859,0.71677,5.65006,123.004,1.43297,1.51729,1.51027,1.08271,4.36319,9.32376,3.28833,15.60698,7.966,15.10789,2.98501,34.8436,8.34943,19.80775,291.496,0.72565,1.10116,1.51588,0.679,1.37157,0.98324,120.964
0.99395,1.06601,0.7165,5.65288,122.971,1.43436,1.52063,1.51168,1.08337,4.36007,9.32606,3.29244,15.58891,7.947,15.12819,2.98531,34.8433,8.35721,19.85326,291.503,0.72512,1.10276,1.51689,0.6801,1.37085,0.98234,120.818
0.99156,1.06617,0.71735,5.65888,123.064,1.42794,1.52242,1.50977,1.08338,4.35638,9.26696,3.28005,15.60547,8.015,15.01783,2.97489,34.935,8.36872,19.83026,291.618,0.72409,1.10254,1.51583,0.67904,1.36943,0.98278,120.958
0.98997,1.06439,0.71966,5.65134,122.831,1.42549,1.51939,1.50432,1.08289,4.34958,9.28306,3.23967,15.64377,8.111,14.87779,2.95199,34.9805,8.37014,19.86534,291.88,0.72198,1.09713,1.51642,0.67823,1.37119,0.98704,121.251
0.98428,1.06469,0.72345,5.65568,122.792,1.41917,1.52045,1.49669,1.08301,4.32448,9.28908,3.23619,15.70897,8.114,14.92929,2.96157,34.9896,8.35087,19.86096,290.881,0.71836,1.09238,1.50554,0.67455,1.37015,0.99141,121.755
0.9877,1.06227,0.7215,5.64287,122.679,1.41606,1.51899,1.50067,1.08356,4.30716,9.29756,3.23631,15.69668,8.102,14.95565,2.96056,34.973,8.34294,19.76116,290.37,0.71921,1.09282,1.50367,0.67629,1.37314,0.99106,121.658
0.98818,1.06614,0.7205,5.64078,122.927,1.42069,1.52101,1.50324,1.08342,4.30863,9.29276,3.24453,15.70518,8.111,14.91167,2.96586,35.0097,8.35677,19.88086,289.961,0.71932,1.09426,1.50439,0.67459,1.37378,0.99011,121.725
0.98956,1.06546,0.7205,5.64258,123.111,1.42108,1.51834,1.50276,1.08302,4.30702,9.29196,3.24466,15.7189,8.12,14.93664,2.96443,34.9576,8.36876,19.89998,290.288,0.72063,1.09433,1.50493,0.67626,1.37338,0.98956,121.837
0.98934,1.0648,0.71905,5.62688,123.16,1.4237,1.51947,1.50357,1.08158,4.32886,9.28265,3.24259,15.73469,8.097,14.99852,2.96902,34.9729,8.37152,19.90516,290.453,0.71867,1.09214,1.50198,0.67482,1.37669,0.99008,121.964
0.99077,1.06621,0.71765,5.62677,123.297,1.42388,1.5194,1.50557,1.08064,4.31195,9.29925,3.23545,15.72648,8.071,15.04074,2.95906,34.9947,8.36412,19.90506,290.221,0.71939,1.09317,1.5025,0.67461,1.37727,0.98853,121.893
0.99442,1.06457,0.7148,5.62058,123.592,1.42867,1.51473,1.50646,1.07706,4.30647,9.3043,3.23109,15.71987,8.073,15.03029,2.95619,34.9908,8.37946,19.92926,290.501,0.72125,1.0926,1.50099,0.67736,1.37878,0.98576,121.847
0.99641,1.06305,0.71805,5.62323,123.384,1.41793,1.50824,1.50338,1.08016,4.29132,9.27376,3.1979,15.76667,8.135,14.92599,2.92972,34.9883,8.37751,19.91114,290.896,0.72313,1.09116,1.50007,0.67918,1.37796,0.99,122.2
0.99015,1.06444,0.71919,5.60957,123.339,1.42375,1.51383,1.49918,1.07844,4.28872,9.27409,3.19651,15.8129,8.13,14.9902,2.94294,35.0088,8.37762,20.06202,290.478,0.71675,1.08521,1.49596,0.67326,1.38152,0.99371,122.568
0.98964,1.06575,0.72107,5.61578,123.021,1.42091,1.51348,1.49792,1.08033,4.29157,9.28036,3.19744,15.79718,8.12,15.00447,2.94392,35.039,8.39152,20.10539,291.042,0.71709,1.08543,1.49514,0.67275,1.38008,0.99532,122.457
0.99474,1.06712,0.7209,5.61188,122.929,1.41944,1.5069,1.49915,1.081,4.30296,9.28138,3.19097,15.79308,8.16,14.94099,2.93744,35.0432,8.38957,20.10592,291.317,0.7203,1.08552,1.49581,0.67485,1.38111,0.99585,122.429
0.99279,1.06414,0.71968,5.60517,123.112,1.42273,1.51203,1.50139,1.0807,4.28695,9.30607,3.18132,15.80748,8.085,15.08467,2.92759,35.023,8.40245,20.11936,291.826,0.71797,1.08571,1.49224,0.67463,1.38291,0.99536,122.554
0.99336,1.06171,0.71389,5.55408,123.063,1.42426,1.51952,1.50968,1.078,4.30258,9.27517,3.16751,15.81957,8.056,15.15879,2.92515,35.0367,8.40896,20.00113,291.882,0.71187,1.08189,1.48923,0.67041,1.39551,0.99637,122.633
0.99314,1.06311,0.71415,5.56209,123.002,1.42246,1.51845,1.50867,1.07781,4.29681,9.26876,3.17086,15.80791,8.005,15.21379,2.92497,35.0705,8.40908,20.07085,292.695,0.71266,1.08261,1.48966,0.66962,1.39363,0.9959,122.55
0.99439,1.06393,0.71361,5.55908,123.05,1.42395,1.51911,1.51067,1.07824,4.29852,9.26856,3.17226,15.79878,8.005,15.20888,2.92837,35.0617,8.40323,19.79601,291.065,0.71306,1.08335,1.4905,0.6701,1.39446,0.99525,122.489
0.99416,1.06511,0.71374,5.56697,122.609,1.42265,1.51958,1.51086,1.07864,4.30047,9.26516,3.17903,15.72027,7.978,15.20129,2.92666,35.0823,8.40842,19.79388,291.427,0.71397,1.08515,1.49284,0.67028,1.39237,0.99392,121.888
