Datetime,Current Positions,Bought,Sold,Holding,Avg Percent,Trading Balance
2021-12-13 12:12,0,[],[],[],0.0,106.26
2021-12-13 17:12,0,[],[],[],0.0,106.26
2021-12-13 20:12,0,[],[],[],0.0,106.26
2021-12-14 00:12,0,[],[],[],0.0,106.27
2021-12-14 04:12,0,[],[],[],0.0,106.27
2021-12-14 07:12,0,[],[],[],0.0,106.27
2021-12-14 09:12,5,"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",[],[],0.0,106.26
2021-12-14 12:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,107.01
2021-12-14 16:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,108.87
2021-12-14 20:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,109.13
2021-12-15 00:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,110.1
2021-12-15 04:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,108.82
2021-12-15 08:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,103.77
2021-12-15 12:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,113.23
2021-12-15 20:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,115.87
2021-12-16 00:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,115.12
2021-12-16 04:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,117.33
2021-12-16 08:12,5,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD', 'VETUSD']",0.0,119.0
2021-12-16 16:12,4,[],['VETUSD'],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",0.0,117.0
2021-12-17 00:12,4,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,113.16
2021-12-17 05:12,4,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,111.91
2021-12-17 09:12,4,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,113.93
2021-12-17 12:12,4,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,112.52
2021-12-17 16:12,4,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,112.88
2021-12-17 20:12,4,[],[],"['ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,112.54
2021-12-22 12:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,116.88
2021-12-22 16:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,115.36
2021-12-22 20:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,117.29
2021-12-23 09:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,119.8
2021-12-23 13:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,123.33
2021-12-23 17:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,124.97
2021-12-23 21:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,123.27
2021-12-24 01:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,123.72
2021-12-24 05:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,123.87
2021-12-24 09:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,122.55
2021-12-24 13:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,121.88
2021-12-24 17:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,122.23
2021-12-24 21:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,122.59
2021-12-25 01:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,123.4
2021-12-25 13:12,5,[],[],"['LTCUSD', 'ADAUSD', 'BATUSD', 'XLMUSD', 'WAVESUSD']",4.49,124.0
2021-12-28 23:12,0,[],[],[],11.37,220.82
2021-12-28 23:12,0,[],[],[],11.37,220.82
2021-12-29 00:12,5,"['ETCUSD', 'HBARUSD', 'MATICUSD', 'VTHOUSD', 'HNTUSD']",[],[],11.37,220.83
