BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD,GRTUSD,SUSHIUSD,ANKRUSD,AMPUSD,CRVUSD,AXSUSD,AVAXUSD,CTSIUSD,SHIBUSDT,Date
7749.48,153.9,223.89,48.31,0.0413,0.2127,4.0683,0.0589,0.2696,2.3028,0.0231,57.34,29.38,0.272,0.218,0.6256,4.027,9.623,1.869,0.9003,0.1327,0.0835,1.0333,0.0077,0.0066,1.367,0.0372,1.647,0.022,14.46,2.578,0.0039,1.63,0.0023,161.52,0.0972,1.75,692.8965,1.0078,0.0112,12.7766,0.5154,3.5305,2.9402,9.164,1875.17,0.3106,13.238,66.38,272.11,0.605,7.848,0.0842,0.0795,2.497,147.34,97.41,1.0985,6.86e-06,2021-09-15 05:09
7760.17,154.79,223.66,48.61,0.0415,0.2088,4.0566,0.059,0.2683,2.31,0.0233,56.63,29.42,0.282,0.216,0.6271,3.974,9.554,1.845,0.8917,0.1327,0.0839,1.0001,0.0074,0.0068,1.28,0.0367,1.6055,0.0209,14.55,2.5846,0.0047,1.594,0.0026,179.4,0.096,1.6615,673.2564,1.007,0.0114,12.7783,0.5101,3.4296,3.155,9.143,1880.77,0.3096,12.514,63.75,269.14,0.5995,8.066,0.0833,0.0744,2.711,147.23,100.5,1.075,6.76e-06,2021-09-15 09:09
7667.29,152.93,220.94,47.94,0.0409,0.2068,3.9909,0.0579,0.2627,2.2598,0.023,55.55,28.97,0.267,0.2116,0.6195,3.896,9.354,1.845,0.8744,0.1327,0.0839,1.0232,0.0075,0.0067,1.3077,0.0364,1.6159,0.0207,14.96,2.5683,0.0047,1.637,0.0025,195.67,0.0961,1.6574,663.2543,1.004,0.0116,12.6029,0.5357,4.1172,3.1002,9.196,1880.09,0.3011,12.03,65.48,270.75,0.5997,8.593,0.0833,0.0754,2.856,146.58,100.73,1.0517,6.76e-06,2021-09-15 13:09
7551.49,151.62,217.45,47.64,0.0403,0.2039,3.9516,0.0571,0.2615,2.2291,0.0227,55.33,28.59,0.264,0.209,0.6017,3.83,9.31,1.791,0.8555,0.1327,0.0841,1.0556,0.0073,0.0067,1.4098,0.0363,1.5809,0.0206,14.47,2.5783,0.0045,1.854,0.0021,232.77,0.0936,1.5982,654.6983,1.0049,0.0106,13.4482,0.5027,5.8102,3.15,9.235,1876.29,0.3022,12.255,65.02,277.53,0.6127,8.439,0.0838,0.0728,2.635,147.5,97.31,1.0351,6.68e-06,2021-09-15 17:09
7512.45,150.78,216.28,46.83,0.0402,0.202,3.9362,0.0572,0.2581,2.2156,0.0226,54.8,28.66,0.268,0.209,0.6028,3.83,9.211,1.778,0.8601,0.1326,0.083,1.0597,0.0072,0.0067,1.4329,0.037,1.5719,0.0205,14.52,2.5392,0.0045,1.815,0.0022,224.74,0.0934,1.5979,669.4614,1.0051,0.0104,13.3725,0.5008,4.8048,3.1414,9.262,1876.29,0.3019,12.235,65.52,267.24,0.5955,8.303,0.0836,0.0734,2.677,146.83,102.42,1.0,6.73e-06,2021-09-15 21:09
7556.2,151.72,217.39,47.33,0.0405,0.2036,3.9503,0.0575,0.2574,2.2402,0.0225,55.01,29.05,0.264,0.2105,0.6038,3.909,9.211,1.789,0.8745,0.1322,0.0829,1.072,0.0074,0.0067,1.3985,0.0372,1.5462,0.0208,14.67,2.5245,0.0048,1.789,0.0023,239.47,0.1,1.5057,650.0001,1.0051,0.0106,13.1847,0.4947,6.3802,3.0377,9.228,1881.75,0.2964,12.344,65.61,255.71,0.5784,8.327,0.08,0.0703,2.376,144.75,107.55,0.9176,6.66e-06,2021-09-16 01:09
7300.71,147.44,211.04,46.03,0.0388,0.1915,3.8372,0.0553,0.2479,2.1491,0.022,52.62,27.92,0.253,0.206,0.5834,3.762,9.037,1.731,0.8455,0.133,0.0818,1.0711,0.0073,0.0066,1.4068,0.036,1.5638,0.0207,14.58,2.5089,0.0043,1.793,0.0024,247.69,0.0957,1.5656,645.539,1.0074,0.0106,13.4552,0.4883,6.4055,3.0394,9.24,1881.13,0.3024,12.142,66.48,270.67,0.6062,8.101,0.0807,0.0709,2.391,142.33,109.05,0.9543,6.61e-06,2021-09-16 05:09
7285.29,146.8,211.98,46.11,0.0391,0.1933,3.8483,0.0561,0.2487,2.139,0.0222,53.05,27.77,0.247,0.2062,0.5851,3.722,9.136,1.737,0.8574,0.1331,0.0808,1.0601,0.0072,0.0065,1.4277,0.0362,1.545,0.0207,15.0,2.501,0.0041,1.763,0.0023,220.08,0.0958,1.6246,636.3354,1.0114,0.0107,12.9809,0.4684,6.9054,3.05,9.338,1862.45,0.3013,12.144,65.76,263.9,0.5984,7.984,0.0813,0.0717,2.396,141.62,109.47,0.9562,8.4e-06,2021-09-16 09:09
7330.21,147.65,212.74,46.51,0.0391,0.1952,3.8812,0.0567,0.2512,2.1551,0.0221,52.94,27.64,0.251,0.2062,0.5973,3.678,9.136,1.737,0.8574,0.1332,0.0777,1.0698,0.0071,0.0065,1.4263,0.0362,1.5791,0.0208,16.72,2.4868,0.0039,1.829,0.0023,216.58,0.095,1.575,604.0,1.0081,0.0107,12.6801,0.408,6.1888,3.0076,9.37,1862.45,0.3051,12.194,65.08,253.99,0.58,8.042,0.0847,0.0733,2.422,143.75,112.44,0.9818,8.75e-06,2021-09-16 13:09
7309.0,149.51,212.56,47.23,0.0391,0.1925,3.9036,0.0563,0.2563,2.1705,0.0224,53.05,27.79,0.254,0.2065,0.5982,3.826,9.364,1.819,0.9043,0.1332,0.0774,1.0501,0.0072,0.0067,1.4154,0.0364,1.5637,0.0207,16.38,2.5007,0.0038,1.755,0.0021,224.64,0.0981,1.5124,613.0864,1.0074,0.0107,12.8705,0.4472,6.3297,2.902,9.354,1862.45,0.3027,12.26,64.3,250.05,0.569,7.856,0.0837,0.0728,2.419,143.41,117.73,1.0501,9.14e-06,2021-09-16 17:09
