BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7659.65,153.11333333,220.68333333,48.06333333,0.0409,0.2065,3.9997,0.058,0.26416667,2.2663,0.023,55.83666667,28.99333333,0.271,0.2122,0.6161,3.9,9.406,1.827,0.87386667,0.1327,0.08396667,1.0263,0.0074,0.00673333,1.3325,0.03646667,1.60076667,0.02073333,14.66,2.57706667,0.00463333,1.695,0.0024,202.61333333,0.09523333,1.63903333,663.73633333,1.0053,0.0112,12.94313333,0.51616667,4.45233333,3.13506667,9.19133333,1879.05,0.3043,12.26633333,64.75,272.47333333
7577.07666667,151.77666667,218.22333333,47.47,0.04046667,0.20423333,3.95956667,0.0574,0.26076667,2.23483333,0.02276667,55.22666667,28.74,0.26633333,0.20986667,0.608,3.852,9.29166667,1.80466667,0.86333333,0.13266667,0.08366667,1.04616667,0.00733333,0.0067,1.38346667,0.03656667,1.58956667,0.0206,14.65,2.56193333,0.00456667,1.76866667,0.00226667,217.72666667,0.09436667,1.61783333,662.47133333,1.00466667,0.01086667,13.1412,0.51306667,4.91073333,3.13053333,9.231,1877.55666667,0.30173333,12.17333333,65.34,271.84
7540.04666667,151.37333333,217.04,47.26666667,0.04033333,0.20316667,3.94603333,0.05726667,0.259,2.2283,0.0226,55.04666667,28.76666667,0.26533333,0.2095,0.60276667,3.85633333,9.244,1.786,0.86336667,0.1325,0.08333333,1.06243333,0.0073,0.0067,1.41373333,0.03683333,1.56633333,0.02063333,14.55333333,2.54733333,0.0046,1.81933333,0.0022,232.32666667,0.09566667,1.56726667,658.05326667,1.00503333,0.01053333,13.33513333,0.4994,5.66506667,3.1097,9.24166667,1878.11,0.30016667,12.278,65.38333333,266.82666667
7456.45333333,149.98,214.90333333,46.73,0.03983333,0.19903333,3.9079,0.05666667,0.25446667,2.20163333,0.02236667,54.14333333,28.54333333,0.26166667,0.2085,0.59666667,3.83366667,9.153,1.766,0.86003333,0.1326,0.08256667,1.0676,0.0073,0.00666667,1.41273333,0.03673333,1.56063333,0.02066667,14.59,2.5242,0.00453333,1.799,0.0023,237.3,0.09636667,1.5564,655.00016667,1.00586667,0.01053333,13.33746667,0.4946,5.8635,3.07283333,9.24333333,1879.72333333,0.30023333,12.24033333,65.87,264.54
7380.73333333,148.65333333,213.47,46.49,0.03946667,0.19613333,3.8786,0.0563,0.25133333,2.1761,0.02223333,53.56,28.24666667,0.25466667,0.20756667,0.59076667,3.79766667,9.128,1.75233333,0.85913333,0.13276667,0.08183333,1.06773333,0.0073,0.0066,1.411,0.03646667,1.55166667,0.02073333,14.75,2.51146667,0.0044,1.78166667,0.00233333,235.74666667,0.09716667,1.5653,643.95816667,1.00796667,0.01063333,13.20693333,0.4838,6.5637,3.04236667,9.26866667,1875.11,0.30003333,12.21,65.95,263.42666667
7305.40333333,147.29666667,211.92,46.21666667,0.039,0.19333333,3.85556667,0.05603333,0.24926667,2.14773333,0.0221,52.87,27.77666667,0.25033333,0.20613333,0.5886,3.72066667,9.103,1.735,0.85343333,0.1331,0.0801,1.067,0.0072,0.00653333,1.42026667,0.03613333,1.56263333,0.02073333,15.43333333,2.4989,0.0041,1.795,0.00233333,228.11666667,0.0955,1.5884,628.6248,1.00896667,0.01066667,13.03873333,0.4549,6.4999,3.03233333,9.316,1868.67666667,0.30293333,12.16,65.77333333,262.85333333
7308.16666667,147.98666667,212.42666667,46.61666667,0.0391,0.19366667,3.8777,0.05636667,0.25206667,2.15486667,0.02223333,53.01333333,27.73333333,0.25066667,0.2063,0.59353333,3.742,9.212,1.76433333,0.87303333,0.13316667,0.07863333,1.06,0.00716667,0.00656667,1.42313333,0.03626667,1.5626,0.02073333,16.03333333,2.49616667,0.00393333,1.78233333,0.00223333,220.43333333,0.0963,1.57066667,617.80726667,1.00896667,0.0107,12.84383333,0.4412,6.47463333,2.98653333,9.354,1862.45,0.30303333,12.19933333,65.04666667,255.98
