BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD,GRTUSD,SUSHIUSD,ANKRUSD,AMPUSD,CRVUSD,AXSUSD,AVAXUSD,CTSIUSD,SHIBUSDT,Date
7753.68,154.72,224.2,48.53,0.0414,0.2149,4.0872,0.0589,0.2724,2.34,0.0231,57.04,29.41,0.275,0.2187,0.6277,4.02,9.651,1.869,0.9067,0.133,0.0836,1.0133,0.0075,0.0067,1.2001,0.0508,1.9999,0.0218,16.0,2.5726,1000.0,1.594,0.0035,165.23,0.0977,2.5,676.0458,1.0064,0.0107,12.5907,0.517,3.4366,3.0888,9.126,1872.65,0.3146,13.06,66.88,269.83,0.6019,13.0,0.082,0.7,2.4,146.14,102.65,1.1864,6.82e-06,2021-09-15 05:09
7749.48,153.92,224.35,48.16,0.0412,0.2115,4.0566,0.059,0.2694,2.304,0.0233,57.18,29.31,0.271,0.2174,0.6289,3.994,9.567,1.845,0.8985,0.1327,0.0839,1.0333,0.0078,0.0067,1.3805,0.0372,1.647,0.022,14.84,2.5783,0.0039,1.624,0.0023,161.55,0.0968,1.75,682.1674,1.0068,0.0112,12.7484,0.5133,3.5,2.9195,9.192,1877.94,0.3079,13.263,66.08,272.0,0.606,7.837,0.0843,0.0796,2.498,147.13,97.41,1.0967,6.88e-06,2021-09-15 09:09
7761.82,155.06,223.67,48.65,0.0419,0.2088,4.0494,0.059,0.2683,2.3205,0.0233,56.64,29.36,0.283,0.2126,0.6287,3.951,9.522,1.845,0.8896,0.1327,0.084,1.011,0.0074,0.007,1.28,0.0364,1.614,0.0207,14.81,2.5883,0.0047,1.592,0.0025,179.92,0.096,1.6615,676.1917,1.0069,0.0115,12.8455,0.5099,3.4843,3.155,9.127,1879.62,0.3083,12.5,64.07,270.19,0.6,8.079,0.0831,0.0744,2.711,147.23,100.5,1.075,6.75e-06,2021-09-15 13:09
7667.29,152.74,220.46,47.89,0.0406,0.207,3.9787,0.0579,0.2614,2.2625,0.023,55.3,29.04,0.267,0.206,0.6132,3.922,9.33,1.81,0.862,0.1331,0.0857,1.0233,0.0075,0.0068,1.3217,0.0364,1.6088,0.0207,14.96,2.5715,0.0048,1.637,0.0025,195.33,0.0962,1.6574,662.5892,1.0043,0.0116,12.7292,0.5355,4.123,3.1002,9.198,1876.0,0.3036,11.932,65.75,271.03,0.6007,8.598,0.0829,0.0754,2.854,146.27,101.74,1.0513,6.77e-06,2021-09-15 17:09
7547.36,151.79,217.18,47.62,0.0403,0.204,3.94,0.0571,0.26,2.2472,0.0226,55.58,28.59,0.263,0.209,0.6054,3.915,9.212,1.778,0.8601,0.1326,0.0838,1.06,0.0073,0.0068,1.3857,0.0368,1.5809,0.0206,14.47,2.5743,0.0046,1.862,0.0021,237.93,0.0929,1.5977,663.1941,1.005,0.0106,13.4676,0.5057,5.8001,3.15,9.235,1876.29,0.3003,12.255,65.25,278.88,0.6132,8.45,0.0839,0.0728,2.635,147.5,97.51,1.0351,6.68e-06,2021-09-15 21:09
7511.04,150.76,215.54,46.84,0.0399,0.202,3.9481,0.0571,0.2575,2.2156,0.0225,54.81,28.69,0.268,0.2082,0.599,3.864,9.211,1.778,0.8506,0.1327,0.083,1.0657,0.0071,0.0067,1.436,0.037,1.5703,0.0205,14.68,2.5279,0.0045,1.822,0.0022,222.3,0.0934,1.5995,662.8952,1.0051,0.0104,13.3536,0.5104,4.825,3.1572,9.262,1881.13,0.2989,12.384,65.52,267.74,0.5932,8.304,0.0832,0.0735,2.679,146.57,103.0,1.0,6.73e-06,2021-09-16 01:09
7551.51,151.61,217.41,47.11,0.0404,0.2035,3.9427,0.0574,0.2574,2.234,0.0225,54.69,28.94,0.264,0.2098,0.6061,3.839,9.313,1.767,0.8524,0.1322,0.0825,1.072,0.0074,0.0067,1.395,0.0378,1.5431,0.0208,14.6,2.5088,0.0047,1.789,0.0023,239.06,0.1,1.5057,646.9457,1.0077,0.0106,13.1966,0.4917,6.3786,3.0377,9.228,1881.13,0.2976,12.269,65.58,258.37,0.5813,8.321,0.0797,0.0703,2.376,144.61,107.5,0.9165,6.67e-06,2021-09-16 05:09
7292.9,147.27,211.82,46.01,0.0387,0.1939,3.8433,0.0556,0.2455,2.1536,0.0221,52.67,27.92,0.251,0.206,0.5776,3.789,9.078,1.753,0.847,0.133,0.0814,1.07,0.0073,0.0066,1.4684,0.036,1.5631,0.0207,14.98,2.5088,0.0043,1.829,0.0024,251.16,0.0955,1.5665,639.3554,1.0077,0.0106,13.4858,0.4883,6.4212,3.0348,9.259,1874.47,0.2995,12.142,66.29,270.78,0.6062,8.102,0.0807,0.0709,2.388,142.27,109.13,0.9597,6.63e-06,2021-09-16 09:09
7281.78,146.92,211.42,46.11,0.0387,0.1933,3.8572,0.0563,0.2514,2.1396,0.0222,52.55,27.44,0.248,0.2062,0.5833,3.724,9.136,1.737,0.8574,0.1332,0.0804,1.0601,0.0072,0.0065,1.4182,0.0362,1.5502,0.0206,14.85,2.5074,0.0041,1.769,0.0023,221.19,0.0957,1.6083,637.1448,1.0078,0.0107,12.9626,0.4683,6.9091,3.0867,9.336,1862.45,0.2988,12.253,65.79,264.13,0.5984,7.98,0.0813,0.0718,2.394,141.58,109.29,0.9636,8.49e-06,2021-09-16 13:09
7319.29,147.73,212.85,46.59,0.0388,0.1947,3.8838,0.0565,0.2523,2.1671,0.0222,52.99,27.74,0.25,0.2062,0.5973,3.704,9.388,1.818,0.8969,0.1332,0.0777,1.0666,0.0072,0.0066,1.4263,0.0362,1.5791,0.0206,16.71,2.5137,0.0039,1.833,0.0022,217.03,0.0963,1.5458,602.3948,1.0083,0.0107,12.7083,0.4079,6.1764,3.0042,9.369,1862.45,0.307,12.127,64.75,252.57,0.5775,8.041,0.0845,0.0735,2.43,143.6,112.0,0.9912,8.75e-06,2021-09-16 17:09
