Coin,Buy Date,Buy Price,Sell Date,Sell Price,Status,Gain/Loss
test trade1,2021-12-05 16:12,500.0,2021-12-09 16:12,500.0,Closed,0.0
test trade2,2021-12-05 16:12,500.0,2021-12-09 16:12,500.0,Closed,0.0
test trade3,2021-12-05 16:12,500.0,2021-12-09 16:12,500.0,Closed,0.0
BTCUSD,2021-12-05 16:12,500.0,2021-12-09 16:12,500.0,Closed,0.0
VETUSD,2021-12-14 09:12,0.0779,2021-12-16 08:12,0.0814,Closed,4.49
WAVESUSD,2021-12-14 08:12,14.8292,2021-12-14 08:12,15.609,Closed,5.26
ADAUSD,2021-12-14 08:12,1.2329,2021-12-14 08:12,1.4772,Closed,19.8
XLMUSD,2021-12-14 08:12,0.2605,2021-12-14 08:12,0.2865,Closed,9.98
BATUSD,2021-12-14 08:12,1.0396,2021-12-14 08:12,1.3175,Closed,26.7
LTCUSD,2021-12-15 08:12,148.46,2021-12-14 08:12,151.42,Closed,1.99
ETCUSD,2021-12-29 00:12,35.1219,2022-01-03 00:01,34.992,Closed,-0.37
HBARUSD,2021-12-29 00:12,0.2921,2022-01-03 00:01,0.3108,Closed,6.4
MATICUSD,2021-12-29 00:12,2.5349,2022-01-03 00:01,2.4825,Closed,-2.067
VTHOUSD,2021-12-29 00:12,0.0069,2022-01-03 00:01,0.0064,Closed,-7.246
HNTUSD,2021-12-29 00:12,38.7749,2022-01-03 00:01,40.6042,Closed,4.718
BANDUSD,2022-01-06 08:12,6.0,2022-01-06 11:01,5.8909,Closed,-1.818
HNTUSD,2022-01-07 16:01,35.442,2022-01-06 20:01,35.6968,Closed,1.08
HNTUSD,2022-01-08 04:01,35.4009,2022-01-08 09:01,31.9597,Closed,-9.721
RVNUSD,2022-01-08 08:01,0.1023,2022-01-08 09:01,0.0974,Closed,-4.79
CRVUSD,2022-01-08 08:01,4.819,2022-01-08 09:01,4.57,Closed,-5.167
FTMUSD,2022-01-08 12:01,2.2241,holding,2.2241,Open,0.0
