Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,0.96855,0.97179,0.96821,0.97140,24637.020099999998
01.12.2015 02:00:00.000 GMT-0800,0.97143,0.97569,0.97013,0.97438,22763.75
01.12.2015 06:00:00.000 GMT-0800,0.97439,0.97919,0.97414,0.97873,33082.7701
01.12.2015 10:00:00.000 GMT-0800,0.97874,0.98110,0.97791,0.97794,18036.6999
01.12.2015 14:00:00.000 GMT-0800,0.97788,0.98050,0.97658,0.97741,16288.32
01.12.2015 18:00:00.000 GMT-0800,0.97739,0.97862,0.97684,0.97729,11581.06
01.12.2015 22:00:00.000 GMT-0800,0.97734,0.98029,0.97688,0.97998,19671.2603
02.12.2015 02:00:00.000 GMT-0800,0.97990,0.98087,0.97855,0.98054,21336.450599999996
02.12.2015 06:00:00.000 GMT-0800,0.98052,0.98114,0.97478,0.97624,37494.489799999996
02.12.2015 10:00:00.000 GMT-0800,0.97622,0.97714,0.97458,0.97494,23015.5102
02.12.2015 14:00:00.000 GMT-0800,0.97495,0.97543,0.97224,0.97372,14783.8101
02.12.2015 18:00:00.000 GMT-0800,0.97374,0.97576,0.97268,0.97461,15214.9902
02.12.2015 22:00:00.000 GMT-0800,0.97460,0.97659,0.97346,0.97589,21177.259400000003
03.12.2015 02:00:00.000 GMT-0800,0.97588,0.97936,0.97453,0.97809,41615.5601
03.12.2015 06:00:00.000 GMT-0800,0.97809,0.98142,0.97563,0.98093,46601.4501
03.12.2015 10:00:00.000 GMT-0800,0.98094,0.98196,0.97955,0.98018,29916.1708
03.12.2015 14:00:00.000 GMT-0800,0.97998,0.98053,0.97728,0.97849,17413.629999999997
03.12.2015 18:00:00.000 GMT-0800,0.97850,0.97884,0.97657,0.97730,11469.6301
03.12.2015 22:00:00.000 GMT-0800,0.97731,0.97984,0.97616,0.97643,22974.2002
04.12.2015 02:00:00.000 GMT-0800,0.97644,0.98104,0.97437,0.98053,31913.440300000002
04.12.2015 06:00:00.000 GMT-0800,0.98053,0.98450,0.97981,0.98294,50653.880399999995
04.12.2015 10:00:00.000 GMT-0800,0.98298,0.98306,0.98010,0.98010,17041.840500000002
06.12.2015 14:00:00.000 GMT-0800,0.98125,0.98268,0.98025,0.98170,13913.650300000001
06.12.2015 18:00:00.000 GMT-0800,0.98170,0.98309,0.98075,0.98168,10980.190300000002
06.12.2015 22:00:00.000 GMT-0800,0.98171,0.98278,0.97948,0.98014,16337.3099
07.12.2015 02:00:00.000 GMT-0800,0.98011,0.98164,0.97875,0.98154,24109.8403
07.12.2015 06:00:00.000 GMT-0800,0.98149,0.98277,0.97959,0.98228,34641.8896
07.12.2015 10:00:00.000 GMT-0800,0.98228,0.98276,0.98073,0.98084,16906.489700000002
07.12.2015 14:00:00.000 GMT-0800,0.98079,0.98224,0.97956,0.98128,11397.639900000002
07.12.2015 18:00:00.000 GMT-0800,0.98128,0.98144,0.97608,0.97674,12708.26
07.12.2015 22:00:00.000 GMT-0800,0.97674,0.97881,0.97463,0.97563,24875.6794
08.12.2015 02:00:00.000 GMT-0800,0.97563,0.98057,0.97536,0.97919,30445.0406
08.12.2015 06:00:00.000 GMT-0800,0.97918,0.98144,0.97793,0.98038,36874.289600000004
08.12.2015 10:00:00.000 GMT-0800,0.98034,0.98133,0.97844,0.97993,17423.2002
08.12.2015 14:00:00.000 GMT-0800,0.97993,0.98232,0.97915,0.98115,13393.6099
08.12.2015 18:00:00.000 GMT-0800,0.98115,0.98119,0.97904,0.97919,11950.960000000001
