Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.09462,1.09567,1.09236,1.09470,20642.3298
01.12.2015 02:00:00.000 GMT-0800,1.09468,1.09676,1.09465,1.09490,16864.7095
01.12.2015 06:00:00.000 GMT-0800,1.09486,1.09836,1.09475,1.09657,26481.300300000003
01.12.2015 10:00:00.000 GMT-0800,1.09657,1.09814,1.09590,1.09638,14296.8698
01.12.2015 14:00:00.000 GMT-0800,1.09611,1.09918,1.09574,1.09822,18926.9898
01.12.2015 18:00:00.000 GMT-0800,1.09822,1.09895,1.09638,1.09708,13288.019699999999
01.12.2015 22:00:00.000 GMT-0800,1.09711,1.10020,1.09633,1.09905,17712.0996
02.12.2015 02:00:00.000 GMT-0800,1.09905,1.10155,1.09887,1.10116,18150.2702
02.12.2015 06:00:00.000 GMT-0800,1.10116,1.10293,1.09986,1.10183,26583.839799999998
02.12.2015 10:00:00.000 GMT-0800,1.10180,1.10221,1.09903,1.09996,17250.3501
02.12.2015 14:00:00.000 GMT-0800,1.09982,1.10052,1.09721,1.09865,18391.619700000003
02.12.2015 18:00:00.000 GMT-0800,1.09865,1.10024,1.09816,1.10007,14972.4201
02.12.2015 22:00:00.000 GMT-0800,1.10007,1.10047,1.09861,1.09988,17905.9602
03.12.2015 02:00:00.000 GMT-0800,1.09988,1.10498,1.09983,1.10219,27929.8401
03.12.2015 06:00:00.000 GMT-0800,1.10218,1.10438,1.10041,1.10124,34630.749599999996
03.12.2015 10:00:00.000 GMT-0800,1.10124,1.10164,1.09656,1.09711,17736.1202
03.12.2015 14:00:00.000 GMT-0800,1.09718,1.10228,1.09518,1.09749,15738.7697
03.12.2015 18:00:00.000 GMT-0800,1.09749,1.09806,1.09294,1.09441,11221.23
03.12.2015 22:00:00.000 GMT-0800,1.09442,1.09630,1.09347,1.09573,18507.8999
04.12.2015 02:00:00.000 GMT-0800,1.09573,1.09795,1.09371,1.09440,22425.860399999998
04.12.2015 06:00:00.000 GMT-0800,1.09441,1.09683,1.08680,1.08892,37095.130300000004
