Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,0.72576,0.72990,0.72540,0.72869,21475.9995
01.12.2015 02:00:00.000 GMT-0800,0.72870,0.72957,0.72770,0.72830,18768.6099
01.12.2015 06:00:00.000 GMT-0800,0.72829,0.73230,0.72821,0.73168,30886.6796
01.12.2015 10:00:00.000 GMT-0800,0.73168,0.73360,0.73139,0.73215,17119.72
01.12.2015 14:00:00.000 GMT-0800,0.73213,0.73424,0.73066,0.73141,16964.429900000003
01.12.2015 18:00:00.000 GMT-0800,0.73141,0.73194,0.73048,0.73080,13190.8596
01.12.2015 22:00:00.000 GMT-0800,0.73078,0.73339,0.73041,0.73297,20878.1298
02.12.2015 02:00:00.000 GMT-0800,0.73297,0.73350,0.73078,0.73149,22146.1499
02.12.2015 06:00:00.000 GMT-0800,0.73147,0.73316,0.72929,0.73057,30488.0703
02.12.2015 10:00:00.000 GMT-0800,0.73057,0.73138,0.72988,0.73070,21105.4497
02.12.2015 14:00:00.000 GMT-0800,0.73066,0.73111,0.72838,0.72955,15625.2495
02.12.2015 18:00:00.000 GMT-0800,0.72954,0.73210,0.72932,0.73193,14923.2
02.12.2015 22:00:00.000 GMT-0800,0.73194,0.73266,0.73096,0.73237,19368.0501
03.12.2015 02:00:00.000 GMT-0800,0.73237,0.73495,0.73166,0.73433,32449.5205
03.12.2015 06:00:00.000 GMT-0800,0.73434,0.73458,0.72889,0.73331,34577.7803
03.12.2015 10:00:00.000 GMT-0800,0.73331,0.73630,0.73310,0.73392,20804.1597
03.12.2015 14:00:00.000 GMT-0800,0.73385,0.73472,0.73209,0.73301,18488.659200000002
03.12.2015 18:00:00.000 GMT-0800,0.73302,0.73357,0.73127,0.73181,12772.070000000002
03.12.2015 22:00:00.000 GMT-0800,0.73182,0.73333,0.73122,0.73209,22625.469699999998
04.12.2015 02:00:00.000 GMT-0800,0.73209,0.73323,0.72794,0.73278,29309.8799
04.12.2015 06:00:00.000 GMT-0800,0.73279,0.73850,0.73229,0.73418,38483.470199999996
04.12.2015 10:00:00.000 GMT-0800,0.73414,0.73449,0.73351,0.73359,16038.7299
06.12.2015 14:00:00.000 GMT-0800,0.73395,0.73418,0.73213,0.73336,14250.830000000002
06.12.2015 18:00:00.000 GMT-0800,0.73336,0.73390,0.73226,0.73285,14926.480200000002
06.12.2015 22:00:00.000 GMT-0800,0.73285,0.73358,0.72955,0.73003,17574.5302
07.12.2015 02:00:00.000 GMT-0800,0.73001,0.73054,0.72707,0.72786,22211.2803
07.12.2015 06:00:00.000 GMT-0800,0.72786,0.72836,0.72564,0.72654,26051.3901
07.12.2015 10:00:00.000 GMT-0800,0.72654,0.72714,0.72604,0.72663,17693.5196
07.12.2015 14:00:00.000 GMT-0800,0.72663,0.72700,0.72488,0.72654,13984.3902
07.12.2015 18:00:00.000 GMT-0800,0.72655,0.72664,0.72191,0.72251,14733.9797
07.12.2015 22:00:00.000 GMT-0800,0.72250,0.72442,0.72001,0.72107,24068.180200000003
08.12.2015 02:00:00.000 GMT-0800,0.72107,0.72208,0.71862,0.71915,26236.6201
08.12.2015 06:00:00.000 GMT-0800,0.71915,0.72287,0.71898,0.72152,24437.289299999997
08.12.2015 10:00:00.000 GMT-0800,0.72151,0.72171,0.72011,0.72136,19039.869899999998
08.12.2015 14:00:00.000 GMT-0800,0.72136,0.72365,0.72113,0.72278,15149.3102
08.12.2015 18:00:00.000 GMT-0800,0.72277,0.72279,0.72079,0.72158,18562.8597
08.12.2015 22:00:00.000 GMT-0800,0.72158,0.72330,0.71719,0.71827,20013.53
09.12.2015 02:00:00.000 GMT-0800,0.71827,0.72309,0.71797,0.72207,21427.989800000003
09.12.2015 06:00:00.000 GMT-0800,0.72203,0.72448,0.71891,0.72008,25499.9503
09.12.2015 10:00:00.000 GMT-0800,0.72007,0.72417,0.71995,0.72284,24063.6103
09.12.2015 14:00:00.000 GMT-0800,0.72288,0.73340,0.72211,0.73003,25471.3897
09.12.2015 18:00:00.000 GMT-0800,0.73003,0.73010,0.72833,0.72855,13022.3898
09.12.2015 22:00:00.000 GMT-0800,0.72855,0.73007,0.72742,0.72854,21349.6799
10.12.2015 02:00:00.000 GMT-0800,0.72854,0.73108,0.72806,0.72999,22731.8502
10.12.2015 06:00:00.000 GMT-0800,0.73000,0.73124,0.72913,0.72977,23688.1802
10.12.2015 10:00:00.000 GMT-0800,0.72980,0.72985,0.72732,0.72796,15073.549899999998
10.12.2015 14:00:00.000 GMT-0800,0.72796,0.72813,0.72507,0.72540,11631.8601
10.12.2015 18:00:00.000 GMT-0800,0.72541,0.72580,0.72352,0.72436,10856.009699999999
10.12.2015 22:00:00.000 GMT-0800,0.72437,0.72633,0.72229,0.72238,17141.5501
11.12.2015 02:00:00.000 GMT-0800,0.72239,0.72277,0.72071,0.72149,23476.8296
11.12.2015 06:00:00.000 GMT-0800,0.72148,0.72204,0.71867,0.71909,30315.149999999998
11.12.2015 10:00:00.000 GMT-0800,0.71912,0.72015,0.71816,0.71846,15755.02
13.12.2015 14:00:00.000 GMT-0800,0.72023,0.72050,0.71596,0.71753,18568.7799
13.12.2015 18:00:00.000 GMT-0800,0.71754,0.72033,0.71723,0.71994,13026.909899999999
13.12.2015 22:00:00.000 GMT-0800,0.71995,0.72224,0.71940,0.72174,19586.5203
14.12.2015 02:00:00.000 GMT-0800,0.72173,0.72431,0.71948,0.72379,24248.130400000002
14.12.2015 06:00:00.000 GMT-0800,0.72381,0.72694,0.72263,0.72524,29518.5401
14.12.2015 10:00:00.000 GMT-0800,0.72524,0.72546,0.72358,0.72423,13368.9004
14.12.2015 14:00:00.000 GMT-0800,0.72418,0.72618,0.72360,0.72563,18238.069600000003
14.12.2015 18:00:00.000 GMT-0800,0.72565,0.72827,0.72442,0.72511,18828.27
14.12.2015 22:00:00.000 GMT-0800,0.72512,0.72636,0.72301,0.72408,24505.7402
15.12.2015 02:00:00.000 GMT-0800,0.72409,0.72670,0.72121,0.72198,27335.830199999997
15.12.2015 06:00:00.000 GMT-0800,0.72198,0.72249,0.71605,0.71836,28052.940499999997
15.12.2015 10:00:00.000 GMT-0800,0.71836,0.71995,0.71802,0.71915,16778.02
15.12.2015 14:00:00.000 GMT-0800,0.71921,0.72038,0.71879,0.71932,16386.1604
15.12.2015 18:00:00.000 GMT-0800,0.71932,0.72157,0.71932,0.72063,10380.1501
15.12.2015 22:00:00.000 GMT-0800,0.72063,0.72103,0.71788,0.71867,21816.2599
16.12.2015 02:00:00.000 GMT-0800,0.71867,0.72032,0.71826,0.71939,24278.8203
16.12.2015 06:00:00.000 GMT-0800,0.71939,0.72124,0.71903,0.72124,26222.5
16.12.2015 10:00:00.000 GMT-0800,0.72125,0.72799,0.71760,0.72313,36228.25
16.12.2015 14:00:00.000 GMT-0800,0.72313,0.72484,0.71651,0.71674,17419.1201
16.12.2015 18:00:00.000 GMT-0800,0.71675,0.71871,0.71626,0.71709,17084.9099
16.12.2015 22:00:00.000 GMT-0800,0.71709,0.72104,0.71646,0.72028,22786.260000000002
17.12.2015 02:00:00.000 GMT-0800,0.72030,0.72151,0.71693,0.71796,21704.2998
17.12.2015 06:00:00.000 GMT-0800,0.71797,0.71865,0.70967,0.71189,34747.69
17.12.2015 10:00:00.000 GMT-0800,0.71187,0.71291,0.71087,0.71274,16172.7002
17.12.2015 14:00:00.000 GMT-0800,0.71266,0.71322,0.71116,0.71306,16654.9298
17.12.2015 18:00:00.000 GMT-0800,0.71306,0.71441,0.71194,0.71401,17766.589799999998
17.12.2015 22:00:00.000 GMT-0800,0.71397,0.71542,0.71359,0.71362,22225.5298
18.12.2015 02:00:00.000 GMT-0800,0.71363,0.71424,0.71152,0.71338,21158.119700000003
18.12.2015 06:00:00.000 GMT-0800,0.71337,0.72002,0.71313,0.71753,25118.1602
18.12.2015 10:00:00.000 GMT-0800,0.71754,0.71892,0.71669,0.71700,10124.05
20.12.2015 14:00:00.000 GMT-0800,0.71701,0.71773,0.71549,0.71714,16741.6296
20.12.2015 18:00:00.000 GMT-0800,0.71714,0.71715,0.71559,0.71659,11370.3501
20.12.2015 22:00:00.000 GMT-0800,0.71663,0.71842,0.71566,0.71589,19104.4201
21.12.2015 02:00:00.000 GMT-0800,0.71593,0.71797,0.71589,0.71785,20472.7999
21.12.2015 06:00:00.000 GMT-0800,0.71781,0.71950,0.71690,0.71763,18274.6499
21.12.2015 10:00:00.000 GMT-0800,0.71761,0.71917,0.71760,0.71883,6074.119900000001
21.12.2015 14:00:00.000 GMT-0800,0.71881,0.72038,0.71814,0.71988,16605.28
21.12.2015 18:00:00.000 GMT-0800,0.71988,0.72265,0.71947,0.72189,11635.3201
21.12.2015 22:00:00.000 GMT-0800,0.72196,0.72469,0.72174,0.72328,11009.4202
22.12.2015 02:00:00.000 GMT-0800,0.72328,0.72487,0.72279,0.72418,11999.9299
22.12.2015 06:00:00.000 GMT-0800,0.72418,0.72486,0.72257,0.72315,16234.8802
22.12.2015 10:00:00.000 GMT-0800,0.72314,0.72354,0.72228,0.72346,12297.76
22.12.2015 14:00:00.000 GMT-0800,0.72346,0.72384,0.72260,0.72371,12877.0298
22.12.2015 18:00:00.000 GMT-0800,0.72371,0.72412,0.72308,0.72398,7526.119999999999
22.12.2015 22:00:00.000 GMT-0800,0.72398,0.72475,0.72198,0.72232,14979.4699
23.12.2015 02:00:00.000 GMT-0800,0.72232,0.72317,0.72088,0.72151,18793.1299
23.12.2015 06:00:00.000 GMT-0800,0.72152,0.72280,0.72108,0.72210,21185.450399999998
23.12.2015 10:00:00.000 GMT-0800,0.72215,0.72450,0.72183,0.72314,12489.6899
23.12.2015 14:00:00.000 GMT-0800,0.72314,0.72444,0.72260,0.72435,10578.379799999999
23.12.2015 18:00:00.000 GMT-0800,0.72434,0.72596,0.72432,0.72566,10732.1001
23.12.2015 22:00:00.000 GMT-0800,0.72567,0.72801,0.72544,0.72725,13997.8202
24.12.2015 02:00:00.000 GMT-0800,0.72726,0.72778,0.72593,0.72652,14049.500200000002
24.12.2015 06:00:00.000 GMT-0800,0.72654,0.72763,0.72617,0.72732,13671.9199
24.12.2015 10:00:00.000 GMT-0800,0.72731,0.72824,0.72459,0.72611,4591.6299
