Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,0.76854,0.77212,0.76835,0.77139,14386
01.12.2015 02:00:00.000 GMT-0800,0.77136,0.77275,0.76739,0.76879,15292.75
01.12.2015 06:00:00.000 GMT-0800,0.76885,0.77053,0.76839,0.76955,22918.5
01.12.2015 10:00:00.000 GMT-0800,0.76955,0.76965,0.76680,0.76775,10913.75
01.12.2015 14:00:00.000 GMT-0800,0.76775,0.76860,0.76695,0.76804,5341.25
01.12.2015 18:00:00.000 GMT-0800,0.76810,0.76820,0.76734,0.76775,3694
01.12.2015 22:00:00.000 GMT-0800,0.76774,0.76805,0.76644,0.76738,11673
02.12.2015 02:00:00.000 GMT-0800,0.76740,0.76946,0.76534,0.76620,16132.25
02.12.2015 06:00:00.000 GMT-0800,0.76619,0.77325,0.76484,0.76590,25169.75
02.12.2015 10:00:00.000 GMT-0800,0.76589,0.76621,0.76174,0.76300,15608.25
02.12.2015 14:00:00.000 GMT-0800,0.76310,0.76360,0.76229,0.76305,5070.25
02.12.2015 18:00:00.000 GMT-0800,0.76308,0.76742,0.76295,0.76626,6287
02.12.2015 22:00:00.000 GMT-0800,0.76624,0.76897,0.76591,0.76805,13398
03.12.2015 02:00:00.000 GMT-0800,0.76804,0.76925,0.75400,0.75597,30297.75
03.12.2015 06:00:00.000 GMT-0800,0.75597,0.75793,0.74485,0.74590,33617.25
03.12.2015 10:00:00.000 GMT-0800,0.74590,0.74650,0.74019,0.74345,18445.5
03.12.2015 14:00:00.000 GMT-0800,0.74335,0.74465,0.73956,0.74409,7370
03.12.2015 18:00:00.000 GMT-0800,0.74408,0.74451,0.74239,0.74274,5723
03.12.2015 22:00:00.000 GMT-0800,0.74274,0.74965,0.74214,0.74910,18957
04.12.2015 02:00:00.000 GMT-0800,0.74910,0.75043,0.73993,0.74550,25107.75
04.12.2015 06:00:00.000 GMT-0800,0.74550,0.74945,0.74351,0.74714,33811.25
04.12.2015 10:00:00.000 GMT-0800,0.74715,0.74845,0.74351,0.74369,12417.5
06.12.2015 14:00:00.000 GMT-0800,0.74534,0.74600,0.74381,0.74500,4774
06.12.2015 18:00:00.000 GMT-0800,0.74497,0.74570,0.74494,0.74527,2779
06.12.2015 22:00:00.000 GMT-0800,0.74528,0.74680,0.74444,0.74605,11893
07.12.2015 02:00:00.000 GMT-0800,0.74605,0.74634,0.74279,0.74285,16814
07.12.2015 06:00:00.000 GMT-0800,0.74284,0.74390,0.74015,0.74049,24659
07.12.2015 10:00:00.000 GMT-0800,0.74049,0.74097,0.73936,0.74055,12341.25
07.12.2015 14:00:00.000 GMT-0800,0.74060,0.74075,0.73995,0.74029,4234.75
07.12.2015 18:00:00.000 GMT-0800,0.74020,0.74028,0.73879,0.73879,5486
07.12.2015 22:00:00.000 GMT-0800,0.73880,0.73990,0.73597,0.73705,11713.75
08.12.2015 02:00:00.000 GMT-0800,0.73709,0.73755,0.72907,0.72943,19001.25
08.12.2015 06:00:00.000 GMT-0800,0.72935,0.73370,0.72887,0.73005,23620
08.12.2015 10:00:00.000 GMT-0800,0.73004,0.73150,0.72924,0.73025,12464.25
08.12.2015 14:00:00.000 GMT-0800,0.73025,0.73205,0.72931,0.73120,3967.25
08.12.2015 18:00:00.000 GMT-0800,0.73110,0.73160,0.73043,0.73128,4125
08.12.2015 22:00:00.000 GMT-0800,0.73120,0.73231,0.72869,0.72975,14811
09.12.2015 02:00:00.000 GMT-0800,0.72974,0.73184,0.72685,0.72710,17676
09.12.2015 06:00:00.000 GMT-0800,0.72710,0.73210,0.72389,0.72399,29882
09.12.2015 10:00:00.000 GMT-0800,0.72400,0.72561,0.72274,0.72329,18066.25
09.12.2015 14:00:00.000 GMT-0800,0.72348,0.72625,0.72337,0.72610,5699.5
09.12.2015 18:00:00.000 GMT-0800,0.72610,0.72668,0.72545,0.72628,3827
09.12.2015 22:00:00.000 GMT-0800,0.72626,0.72979,0.72479,0.72854,13758.5
10.12.2015 02:00:00.000 GMT-0800,0.72850,0.73084,0.72532,0.72545,20391
10.12.2015 06:00:00.000 GMT-0800,0.72545,0.72835,0.72539,0.72621,23813
10.12.2015 10:00:00.000 GMT-0800,0.72625,0.72725,0.72427,0.72470,10714.5
10.12.2015 14:00:00.000 GMT-0800,0.72465,0.72505,0.72404,0.72445,4419.25
10.12.2015 18:00:00.000 GMT-0800,0.72444,0.72446,0.72361,0.72390,3501
10.12.2015 22:00:00.000 GMT-0800,0.72395,0.72444,0.72178,0.72305,12275
11.12.2015 02:00:00.000 GMT-0800,0.72310,0.72430,0.72008,0.72210,19366.5
11.12.2015 06:00:00.000 GMT-0800,0.72215,0.72220,0.71495,0.71514,28083
11.12.2015 10:00:00.000 GMT-0800,0.71515,0.71636,0.71118,0.71198,13086.25
13.12.2015 14:00:00.000 GMT-0800,0.71629,0.71655,0.71458,0.71633,4226.5
13.12.2015 18:00:00.000 GMT-0800,0.71615,0.71783,0.71584,0.71760,3393
13.12.2015 22:00:00.000 GMT-0800,0.71765,0.72000,0.71745,0.71809,13322
14.12.2015 02:00:00.000 GMT-0800,0.71805,0.71810,0.71169,0.71675,22561
14.12.2015 06:00:00.000 GMT-0800,0.71675,0.71815,0.71164,0.71640,31943
14.12.2015 10:00:00.000 GMT-0800,0.71640,0.71800,0.71500,0.71705,13219.5
14.12.2015 14:00:00.000 GMT-0800,0.71680,0.71810,0.71650,0.71676,5088
14.12.2015 18:00:00.000 GMT-0800,0.71677,0.71795,0.71634,0.71650,4847
14.12.2015 22:00:00.000 GMT-0800,0.71650,0.71884,0.71447,0.71735,16227.5
15.12.2015 02:00:00.000 GMT-0800,0.71735,0.71970,0.71556,0.71965,22063
15.12.2015 06:00:00.000 GMT-0800,0.71966,0.72430,0.71834,0.72345,25861
15.12.2015 10:00:00.000 GMT-0800,0.72345,0.72345,0.72049,0.72150,11378.75
15.12.2015 14:00:00.000 GMT-0800,0.72150,0.72197,0.72030,0.72062,3467.25
15.12.2015 18:00:00.000 GMT-0800,0.72050,0.72109,0.72026,0.72049,3622
15.12.2015 22:00:00.000 GMT-0800,0.72050,0.72055,0.71742,0.71905,14423.75
16.12.2015 02:00:00.000 GMT-0800,0.71905,0.72115,0.71744,0.71764,17102
16.12.2015 06:00:00.000 GMT-0800,0.71765,0.71815,0.71124,0.71485,22128.75
16.12.2015 10:00:00.000 GMT-0800,0.71480,0.71905,0.70782,0.71810,27501.75
16.12.2015 14:00:00.000 GMT-0800,0.71805,0.72049,0.71484,0.71920,6987.75
16.12.2015 18:00:00.000 GMT-0800,0.71919,0.72183,0.71919,0.72105,6989
16.12.2015 22:00:00.000 GMT-0800,0.72107,0.72151,0.71965,0.72096,13869
17.12.2015 02:00:00.000 GMT-0800,0.72090,0.72259,0.71939,0.71969,14998.75
17.12.2015 06:00:00.000 GMT-0800,0.71968,0.72010,0.71130,0.71390,25546.25
17.12.2015 10:00:00.000 GMT-0800,0.71389,0.71515,0.71334,0.71420,10078
