Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,5.80767,5.82347,5.80378,5.81458,8177.25
01.12.2015 02:00:00.000 GMT-0800,5.81428,5.82337,5.77918,5.79388,11736.75
01.12.2015 06:00:00.000 GMT-0800,5.79388,5.81377,5.79308,5.79478,16207.4199
01.12.2015 10:00:00.000 GMT-0800,5.79478,5.80257,5.78987,5.80151,9461.58
01.12.2015 14:00:00.000 GMT-0800,5.80018,5.80399,5.79577,5.79988,2952.75
01.12.2015 18:00:00.000 GMT-0800,5.79988,5.80028,5.79447,5.79508,2103.75
01.12.2015 22:00:00.000 GMT-0800,5.79478,5.80070,5.79335,5.79588,7735.090099999999
02.12.2015 02:00:00.000 GMT-0800,5.79588,5.79831,5.78017,5.78087,9958.9702
02.12.2015 06:00:00.000 GMT-0800,5.78087,5.82197,5.77711,5.79918,18873.4502
02.12.2015 10:00:00.000 GMT-0800,5.79938,5.81272,5.79657,5.80783,11109.5
02.12.2015 14:00:00.000 GMT-0800,5.80777,5.80935,5.80087,5.80567,2857
02.12.2015 18:00:00.000 GMT-0800,5.80587,5.82897,5.80337,5.81978,3095.25
02.12.2015 22:00:00.000 GMT-0800,5.81977,5.82108,5.81076,5.81540,7535
03.12.2015 02:00:00.000 GMT-0800,5.81532,5.82489,5.80298,5.81765,14370.23
03.12.2015 06:00:00.000 GMT-0800,5.81720,5.81937,5.78257,5.79307,17410.75
03.12.2015 10:00:00.000 GMT-0800,5.79307,5.81347,5.79098,5.80138,11543
03.12.2015 14:00:00.000 GMT-0800,5.80078,5.81038,5.79848,5.80499,3339.75
03.12.2015 18:00:00.000 GMT-0800,5.80494,5.80769,5.80173,5.80254,3587.25
03.12.2015 22:00:00.000 GMT-0800,5.80247,5.81148,5.79420,5.80977,7735.5
04.12.2015 02:00:00.000 GMT-0800,5.80977,5.81558,5.78338,5.79077,16269.669999999998
04.12.2015 06:00:00.000 GMT-0800,5.79077,5.81876,5.77558,5.78768,25904.8403
04.12.2015 10:00:00.000 GMT-0800,5.78767,5.79957,5.78689,5.79848,7649.9199
06.12.2015 14:00:00.000 GMT-0800,5.79508,5.79748,5.78428,5.78858,2393.25
06.12.2015 18:00:00.000 GMT-0800,5.78857,5.78938,5.78268,5.78478,3404.5
06.12.2015 22:00:00.000 GMT-0800,5.78477,5.78668,5.77067,5.77168,5554
07.12.2015 02:00:00.000 GMT-0800,5.77168,5.77277,5.74547,5.74627,13645.440200000001
07.12.2015 06:00:00.000 GMT-0800,5.74627,5.75047,5.73078,5.73157,23859.3003
07.12.2015 10:00:00.000 GMT-0800,5.73165,5.74183,5.73025,5.74150,8925.579999999998
07.12.2015 14:00:00.000 GMT-0800,5.74154,5.74154,5.73341,5.73788,3012.04
07.12.2015 18:00:00.000 GMT-0800,5.73787,5.73888,5.73077,5.73198,4426.5
07.12.2015 22:00:00.000 GMT-0800,5.73197,5.73807,5.71371,5.72578,4458.3
08.12.2015 02:00:00.000 GMT-0800,5.72578,5.72882,5.68928,5.69108,15294.2302
08.12.2015 06:00:00.000 GMT-0800,5.69098,5.72028,5.68907,5.70377,18307.5398
08.12.2015 10:00:00.000 GMT-0800,5.70377,5.70917,5.69617,5.70348,8003.1699
08.12.2015 14:00:00.000 GMT-0800,5.70348,5.71038,5.69903,5.70837,2942.0299999999997
08.12.2015 18:00:00.000 GMT-0800,5.70833,5.71248,5.70425,5.71018,2948.5
08.12.2015 22:00:00.000 GMT-0800,5.71011,5.71597,5.69508,5.70287,9211.930199999999
09.12.2015 02:00:00.000 GMT-0800,5.70287,5.72017,5.70267,5.70768,16132.609800000002
09.12.2015 06:00:00.000 GMT-0800,5.70768,5.73319,5.68967,5.69821,30439.0502
09.12.2015 10:00:00.000 GMT-0800,5.69818,5.71467,5.69748,5.70447,16477.0703
09.12.2015 14:00:00.000 GMT-0800,5.70570,5.71777,5.70477,5.71508,3074
09.12.2015 18:00:00.000 GMT-0800,5.71517,5.71998,5.71258,5.71628,2130
09.12.2015 22:00:00.000 GMT-0800,5.71617,5.72148,5.71268,5.71430,8349.45
10.12.2015 02:00:00.000 GMT-0800,5.71357,5.72678,5.70908,5.71038,15271.5
10.12.2015 06:00:00.000 GMT-0800,5.71038,5.71594,5.68537,5.69257,19311.0196
10.12.2015 10:00:00.000 GMT-0800,5.69268,5.69578,5.68138,5.68718,11867.3499
10.12.2015 14:00:00.000 GMT-0800,5.68702,5.68728,5.67567,5.67927,2949.5
10.12.2015 18:00:00.000 GMT-0800,5.67927,5.68018,5.67348,5.67689,3029.19
10.12.2015 22:00:00.000 GMT-0800,5.67689,5.68507,5.66907,5.67017,6850.8301
11.12.2015 02:00:00.000 GMT-0800,5.67017,5.67758,5.66477,5.66890,11441.95
11.12.2015 06:00:00.000 GMT-0800,5.66907,5.67518,5.63811,5.63827,21307.8499
11.12.2015 10:00:00.000 GMT-0800,5.63832,5.64398,5.63028,5.63028,11141.1399
13.12.2015 14:00:00.000 GMT-0800,5.64543,5.64570,5.63367,5.63788,2379
13.12.2015 18:00:00.000 GMT-0800,5.63788,5.64718,5.63537,5.64627,3056.5
13.12.2015 22:00:00.000 GMT-0800,5.64652,5.65578,5.64417,5.64808,8588.25
14.12.2015 02:00:00.000 GMT-0800,5.64808,5.66626,5.62277,5.65885,17635.48
14.12.2015 06:00:00.000 GMT-0800,5.65892,5.66603,5.63146,5.64147,28395.9502
14.12.2015 10:00:00.000 GMT-0800,5.64157,5.64784,5.63456,5.64220,10417.060099999999
14.12.2015 14:00:00.000 GMT-0800,5.64227,5.65015,5.64097,5.64987,2771.75
14.12.2015 18:00:00.000 GMT-0800,5.65006,5.65657,5.64918,5.65297,3047.75
14.12.2015 22:00:00.000 GMT-0800,5.65288,5.66268,5.64877,5.65888,10046.0701
15.12.2015 02:00:00.000 GMT-0800,5.65888,5.66740,5.64297,5.65147,17993.8799
15.12.2015 06:00:00.000 GMT-0800,5.65134,5.65957,5.62938,5.65576,24020.6997
15.12.2015 10:00:00.000 GMT-0800,5.65568,5.65568,5.63767,5.64313,9802.78
15.12.2015 14:00:00.000 GMT-0800,5.64287,5.64499,5.63767,5.64077,2302.37
15.12.2015 18:00:00.000 GMT-0800,5.64078,5.64411,5.63995,5.64289,1021.5
15.12.2015 22:00:00.000 GMT-0800,5.64258,5.64308,5.62557,5.62900,7133.25
16.12.2015 02:00:00.000 GMT-0800,5.62688,5.63888,5.62427,5.62678,10651.25
16.12.2015 06:00:00.000 GMT-0800,5.62677,5.63037,5.59538,5.62058,19137.1001
16.12.2015 10:00:00.000 GMT-0800,5.62058,5.63947,5.59697,5.62316,16387.4199
16.12.2015 14:00:00.000 GMT-0800,5.62323,5.62378,5.60950,5.60953,3001.75
16.12.2015 18:00:00.000 GMT-0800,5.60957,5.61949,5.60943,5.61578,5904.5
16.12.2015 22:00:00.000 GMT-0800,5.61578,5.62117,5.60887,5.61226,9298.1101
17.12.2015 02:00:00.000 GMT-0800,5.61188,5.61538,5.59798,5.60524,11999.71
17.12.2015 06:00:00.000 GMT-0800,5.60517,5.61074,5.54198,5.55408,25848.4196
17.12.2015 10:00:00.000 GMT-0800,5.55408,5.56190,5.54888,5.56189,8904.25
17.12.2015 14:00:00.000 GMT-0800,5.56209,5.56618,5.55477,5.55908,4165.75
17.12.2015 18:00:00.000 GMT-0800,5.55908,5.56718,5.55137,5.56698,4163.5
17.12.2015 22:00:00.000 GMT-0800,5.56697,5.57377,5.56426,5.56628,9025.6001
18.12.2015 02:00:00.000 GMT-0800,5.56637,5.56677,5.53507,5.54948,13951.720000000001
18.12.2015 06:00:00.000 GMT-0800,5.54948,5.59531,5.54438,5.56805,20821.0997
18.12.2015 10:00:00.000 GMT-0800,5.56818,5.56975,5.55187,5.55276,10433.069800000001
20.12.2015 14:00:00.000 GMT-0800,5.56147,5.56228,5.55128,5.55967,2775.25
20.12.2015 18:00:00.000 GMT-0800,5.55967,5.56768,5.55787,5.56527,3668.2200000000003
20.12.2015 22:00:00.000 GMT-0800,5.56527,5.57168,5.56328,5.56581,7462.54
21.12.2015 02:00:00.000 GMT-0800,5.56581,5.56988,5.54888,5.56464,12897.8401
21.12.2015 06:00:00.000 GMT-0800,5.56459,5.56737,5.53917,5.54596,16659.019999999997
21.12.2015 10:00:00.000 GMT-0800,5.54591,5.55728,5.54477,5.55247,10070.0302
21.12.2015 14:00:00.000 GMT-0800,5.55261,5.55661,5.54825,5.55559,2713.25
21.12.2015 18:00:00.000 GMT-0800,5.55559,5.56535,5.55467,5.56108,3868
21.12.2015 22:00:00.000 GMT-0800,5.56109,5.56598,5.55767,5.55994,9527.9502
22.12.2015 02:00:00.000 GMT-0800,5.55991,5.57088,5.55784,5.56062,11842.9099
22.12.2015 06:00:00.000 GMT-0800,5.56074,5.56888,5.55502,5.56217,13237.1899
22.12.2015 10:00:00.000 GMT-0800,5.56177,5.56857,5.55818,5.56857,3977.99
22.12.2015 14:00:00.000 GMT-0800,5.56857,5.57051,5.56507,5.56928,1341
22.12.2015 18:00:00.000 GMT-0800,5.56928,5.57087,5.56648,5.56857,1246.75
22.12.2015 22:00:00.000 GMT-0800,5.56857,5.57258,5.56147,5.56627,5995
23.12.2015 02:00:00.000 GMT-0800,5.56627,5.57666,5.55065,5.56691,9234.130000000001
