Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,119.805,119.854,119.419,119.665,21374.97
01.12.2015 02:00:00.000 GMT-0800,119.673,119.830,119.611,119.680,18416.309699999998
01.12.2015 06:00:00.000 GMT-0800,119.678,119.850,119.282,119.371,32171.2901
01.12.2015 10:00:00.000 GMT-0800,119.371,119.805,119.351,119.726,12706.1199
01.12.2015 14:00:00.000 GMT-0800,119.706,119.812,119.630,119.718,10435.72
01.12.2015 18:00:00.000 GMT-0800,119.718,119.893,119.708,119.837,9709.6899
01.12.2015 22:00:00.000 GMT-0800,119.837,120.121,119.792,119.979,22811.5097
02.12.2015 02:00:00.000 GMT-0800,119.975,120.093,119.655,120.075,30838.98
02.12.2015 06:00:00.000 GMT-0800,120.072,120.832,119.723,120.648,34993.3198
02.12.2015 10:00:00.000 GMT-0800,120.648,121.085,120.608,120.989,17794.0001
02.12.2015 14:00:00.000 GMT-0800,120.961,121.050,120.888,120.977,12813.95
02.12.2015 18:00:00.000 GMT-0800,120.977,120.998,120.788,120.936,10340.980099999999
02.12.2015 22:00:00.000 GMT-0800,120.938,120.990,120.516,120.616,22524.5902
03.12.2015 02:00:00.000 GMT-0800,120.616,122.441,120.080,122.253,44017.770000000004
03.12.2015 06:00:00.000 GMT-0800,122.257,123.204,121.790,122.997,53263.1513
03.12.2015 10:00:00.000 GMT-0800,122.995,123.834,122.964,123.385,30502.9707
03.12.2015 14:00:00.000 GMT-0800,123.385,123.588,123.321,123.481,17264.5796
03.12.2015 18:00:00.000 GMT-0800,123.480,123.588,123.337,123.559,12242.450299999999
03.12.2015 22:00:00.000 GMT-0800,123.555,123.579,122.703,122.827,30508.410200000002
04.12.2015 02:00:00.000 GMT-0800,122.824,123.337,122.681,123.143,38789.621
04.12.2015 06:00:00.000 GMT-0800,123.144,123.430,122.837,123.108,45123.75
04.12.2015 10:00:00.000 GMT-0800,123.111,123.675,122.999,123.438,15151.1502
06.12.2015 14:00:00.000 GMT-0800,123.491,123.633,123.444,123.535,10247.51
06.12.2015 18:00:00.000 GMT-0800,123.539,123.544,123.393,123.431,8616.440200000001
06.12.2015 22:00:00.000 GMT-0800,123.429,123.576,123.112,123.177,18666.0403
07.12.2015 02:00:00.000 GMT-0800,123.178,123.327,123.121,123.186,19903.4301
07.12.2015 06:00:00.000 GMT-0800,123.186,123.268,122.902,123.070,32171.6899
07.12.2015 10:00:00.000 GMT-0800,123.071,123.389,123.042,123.337,15305.8298
