Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.37453,1.37501,1.36916,1.37039,5861.6401
01.12.2015 02:00:00.000 GMT-0800,1.37041,1.37221,1.36910,1.37069,4014.37
01.12.2015 06:00:00.000 GMT-0800,1.37066,1.37220,1.36576,1.36651,6354.5799
01.12.2015 10:00:00.000 GMT-0800,1.36646,1.37101,1.36636,1.37035,2298.15
01.12.2015 14:00:00.000 GMT-0800,1.37039,1.37045,1.36743,1.36966,2385.38
01.12.2015 18:00:00.000 GMT-0800,1.36965,1.37178,1.36924,1.37142,2274.36
01.12.2015 22:00:00.000 GMT-0800,1.37139,1.37463,1.37035,1.37357,5101.4899000000005
02.12.2015 02:00:00.000 GMT-0800,1.37338,1.37493,1.36909,1.37441,6092.6301
02.12.2015 06:00:00.000 GMT-0800,1.37441,1.38091,1.36826,1.37888,7366.4202000000005
02.12.2015 10:00:00.000 GMT-0800,1.37880,1.38594,1.37839,1.38578,3692.85
02.12.2015 14:00:00.000 GMT-0800,1.38602,1.38731,1.38175,1.38621,2538.89
02.12.2015 18:00:00.000 GMT-0800,1.38614,1.38645,1.38075,1.38161,2691.16
02.12.2015 22:00:00.000 GMT-0800,1.38141,1.38257,1.37580,1.37735,5082.48
03.12.2015 02:00:00.000 GMT-0800,1.37733,1.39658,1.36845,1.39081,13685.069800000001
03.12.2015 06:00:00.000 GMT-0800,1.39099,1.40274,1.38602,1.40049,12498.069900000002
03.12.2015 10:00:00.000 GMT-0800,1.40054,1.41105,1.39988,1.40265,4906.6101
03.12.2015 14:00:00.000 GMT-0800,1.40111,1.40679,1.39814,1.40603,5136.7401
03.12.2015 18:00:00.000 GMT-0800,1.40605,1.40771,1.40495,1.40657,4005.3599999999997
03.12.2015 22:00:00.000 GMT-0800,1.40658,1.40703,1.39585,1.39795,8771.210000000001
04.12.2015 02:00:00.000 GMT-0800,1.39795,1.39966,1.38628,1.39832,10162.9601
04.12.2015 06:00:00.000 GMT-0800,1.39825,1.39949,1.39175,1.39457,13110.1298
04.12.2015 10:00:00.000 GMT-0800,1.39455,1.40296,1.39325,1.40079,4391.73
06.12.2015 14:00:00.000 GMT-0800,1.39556,1.40246,1.39342,1.40169,2067.27
06.12.2015 18:00:00.000 GMT-0800,1.40171,1.40304,1.40104,1.40220,1948.19
06.12.2015 22:00:00.000 GMT-0800,1.40220,1.40554,1.39955,1.40011,5446.8101
07.12.2015 02:00:00.000 GMT-0800,1.40012,1.40385,1.39980,1.40303,5088.6799
07.12.2015 06:00:00.000 GMT-0800,1.40306,1.40393,1.39973,1.40293,5858.8901000000005
07.12.2015 10:00:00.000 GMT-0800,1.40297,1.40644,1.40235,1.40495,2044.9
07.12.2015 14:00:00.000 GMT-0800,1.40359,1.40597,1.40299,1.40449,2054.49
07.12.2015 18:00:00.000 GMT-0800,1.40458,1.40945,1.40450,1.40916,2520.1
07.12.2015 22:00:00.000 GMT-0800,1.40925,1.41249,1.40715,1.40885,3293.9100000000003
08.12.2015 02:00:00.000 GMT-0800,1.40869,1.42205,1.40865,1.42141,5123.65
08.12.2015 06:00:00.000 GMT-0800,1.42139,1.42224,1.41574,1.41834,5349.009999999999
08.12.2015 10:00:00.000 GMT-0800,1.41834,1.42016,1.41721,1.41807,2498.7999999999997
08.12.2015 14:00:00.000 GMT-0800,1.41761,1.41803,1.41412,1.41762,2322.04
08.12.2015 18:00:00.000 GMT-0800,1.41745,1.41859,1.41307,1.41531,2675.1
08.12.2015 22:00:00.000 GMT-0800,1.41541,1.42107,1.41364,1.41903,5666.599999999999
09.12.2015 02:00:00.000 GMT-0800,1.41903,1.42333,1.41797,1.42157,5691.88
09.12.2015 06:00:00.000 GMT-0800,1.42159,1.42688,1.41782,1.42683,7932.920099999999
09.12.2015 10:00:00.000 GMT-0800,1.42681,1.43125,1.42415,1.42798,4665.6801000000005
