Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.45786,1.45889,1.45277,1.45419,35890.3896
01.12.2015 02:00:00.000 GMT-0800,1.45419,1.45694,1.45279,1.45610,31372.94
01.12.2015 06:00:00.000 GMT-0800,1.45609,1.45650,1.44961,1.45064,48542.211
01.12.2015 10:00:00.000 GMT-0800,1.45066,1.45210,1.44920,1.45146,22103.0102
01.12.2015 14:00:00.000 GMT-0800,1.45146,1.45344,1.44724,1.45204,22466.8496
01.12.2015 18:00:00.000 GMT-0800,1.45204,1.45274,1.45081,1.45195,18947.73
01.12.2015 22:00:00.000 GMT-0800,1.45192,1.45312,1.44867,1.44869,32690.4804
02.12.2015 02:00:00.000 GMT-0800,1.44869,1.44877,1.44359,1.44628,37855.9902
02.12.2015 06:00:00.000 GMT-0800,1.44626,1.44974,1.44133,1.44865,49135.3408
02.12.2015 10:00:00.000 GMT-0800,1.44864,1.45493,1.44800,1.45195,30118.3911
02.12.2015 14:00:00.000 GMT-0800,1.45195,1.45617,1.45136,1.45313,21483.1398
02.12.2015 18:00:00.000 GMT-0800,1.45315,1.45333,1.44614,1.44633,22204.2701
02.12.2015 22:00:00.000 GMT-0800,1.44637,1.44839,1.44049,1.44184,32166.3404
03.12.2015 02:00:00.000 GMT-0800,1.44185,1.48307,1.43494,1.47381,57223.509900000005
03.12.2015 06:00:00.000 GMT-0800,1.47381,1.49659,1.47151,1.48649,68017.25
03.12.2015 10:00:00.000 GMT-0800,1.48651,1.49427,1.48651,1.48971,35545.750499999995
03.12.2015 14:00:00.000 GMT-0800,1.48952,1.49305,1.48755,1.48816,30804.8598
03.12.2015 18:00:00.000 GMT-0800,1.48815,1.49600,1.48726,1.49455,23594.5303
03.12.2015 22:00:00.000 GMT-0800,1.49455,1.49583,1.48167,1.48731,44993.7003
04.12.2015 02:00:00.000 GMT-0800,1.48729,1.49329,1.48571,1.49089,50627.0303
04.12.2015 06:00:00.000 GMT-0800,1.49089,1.49247,1.47653,1.48009,60724.6796
04.12.2015 10:00:00.000 GMT-0800,1.48009,1.48261,1.47738,1.48172,21345.0303
06.12.2015 14:00:00.000 GMT-0800,1.48060,1.48455,1.48027,1.48170,19340.6702
06.12.2015 18:00:00.000 GMT-0800,1.48170,1.48248,1.47965,1.48189,15051.400099999999
06.12.2015 22:00:00.000 GMT-0800,1.48190,1.48334,1.48003,1.48151,29754.9602
07.12.2015 02:00:00.000 GMT-0800,1.48151,1.48722,1.47905,1.48599,34494.4796
07.12.2015 06:00:00.000 GMT-0800,1.48599,1.49455,1.48385,1.49332,45568.6205
07.12.2015 10:00:00.000 GMT-0800,1.49333,1.49400,1.49058,1.49110,22344.76
07.12.2015 14:00:00.000 GMT-0800,1.49120,1.49528,1.49013,1.49266,19388.2805
07.12.2015 18:00:00.000 GMT-0800,1.49265,1.50362,1.49244,1.50299,19435.7202
07.12.2015 22:00:00.000 GMT-0800,1.50299,1.50834,1.49900,1.50500,37771.8404
08.12.2015 02:00:00.000 GMT-0800,1.50497,1.51550,1.50189,1.51464,43063.1602
08.12.2015 06:00:00.000 GMT-0800,1.51465,1.51536,1.50360,1.50910,46596.1807
08.12.2015 10:00:00.000 GMT-0800,1.50909,1.51211,1.50856,1.50937,23181.070099999997
08.12.2015 14:00:00.000 GMT-0800,1.50906,1.50938,1.50462,1.50767,16441.290399999998
08.12.2015 18:00:00.000 GMT-0800,1.50770,1.51348,1.50753,1.51141,17258.270099999998
08.12.2015 22:00:00.000 GMT-0800,1.51142,1.52441,1.50916,1.52161,34926.399900000004
09.12.2015 02:00:00.000 GMT-0800,1.52161,1.52306,1.51494,1.51919,37037.5396
09.12.2015 06:00:00.000 GMT-0800,1.51920,1.52909,1.51235,1.52771,54669.0507
09.12.2015 10:00:00.000 GMT-0800,1.52774,1.53035,1.52137,1.52471,36696.6504
09.12.2015 14:00:00.000 GMT-0800,1.52459,1.52553,1.50189,1.50749,32642.1299
09.12.2015 18:00:00.000 GMT-0800,1.50748,1.51151,1.50748,1.50989,18543.4395
09.12.2015 22:00:00.000 GMT-0800,1.50986,1.51180,1.50266,1.50528,34181.6308
10.12.2015 02:00:00.000 GMT-0800,1.50528,1.50619,1.49715,1.50273,42192.3896
10.12.2015 06:00:00.000 GMT-0800,1.50273,1.50277,1.49535,1.49983,42534.870599999995
10.12.2015 10:00:00.000 GMT-0800,1.49983,1.50483,1.49920,1.50240,17534.31
10.12.2015 14:00:00.000 GMT-0800,1.50229,1.50748,1.50215,1.50691,17540.3001
10.12.2015 18:00:00.000 GMT-0800,1.50693,1.51086,1.50639,1.50973,12753.4099
10.12.2015 22:00:00.000 GMT-0800,1.50972,1.51793,1.50718,1.51472,29933.73
11.12.2015 02:00:00.000 GMT-0800,1.51472,1.52196,1.51349,1.51780,40032.8897
11.12.2015 06:00:00.000 GMT-0800,1.51782,1.53421,1.51744,1.52868,55865.739199999996
11.12.2015 10:00:00.000 GMT-0800,1.52868,1.52999,1.52473,1.52925,22618.6496
13.12.2015 14:00:00.000 GMT-0800,1.52445,1.53347,1.52361,1.52865,26428.73
13.12.2015 18:00:00.000 GMT-0800,1.52865,1.52974,1.52073,1.52273,20302.610399999998
13.12.2015 22:00:00.000 GMT-0800,1.52276,1.52405,1.51562,1.51813,33778.4302
14.12.2015 02:00:00.000 GMT-0800,1.51811,1.52717,1.51573,1.51768,43551.4697
14.12.2015 06:00:00.000 GMT-0800,1.51768,1.52567,1.51622,1.51857,56534.289
14.12.2015 10:00:00.000 GMT-0800,1.51859,1.52195,1.51681,1.51742,23110.8697
14.12.2015 14:00:00.000 GMT-0800,1.51742,1.51920,1.51474,1.51729,22971.21
14.12.2015 18:00:00.000 GMT-0800,1.51729,1.52151,1.51171,1.52063,20228.3501
14.12.2015 22:00:00.000 GMT-0800,1.52063,1.52767,1.51896,1.52245,36738.8393
15.12.2015 02:00:00.000 GMT-0800,1.52242,1.52304,1.51450,1.51940,43829.8701
15.12.2015 06:00:00.000 GMT-0800,1.51939,1.52507,1.51618,1.52051,48797.380399999995
15.12.2015 10:00:00.000 GMT-0800,1.52045,1.52187,1.51650,1.51901,19624.1001
15.12.2015 14:00:00.000 GMT-0800,1.51899,1.52186,1.51730,1.52099,20214.7002
15.12.2015 18:00:00.000 GMT-0800,1.52101,1.52119,1.51588,1.51835,16255.08
15.12.2015 22:00:00.000 GMT-0800,1.51834,1.52319,1.51722,1.51953,36303.8613
16.12.2015 02:00:00.000 GMT-0800,1.51947,1.52080,1.51669,1.51938,38857.6802
16.12.2015 06:00:00.000 GMT-0800,1.51940,1.52233,1.51461,1.51473,41009.7002
16.12.2015 10:00:00.000 GMT-0800,1.51473,1.52214,1.50790,1.50832,51046.04
16.12.2015 14:00:00.000 GMT-0800,1.50824,1.51457,1.50483,1.51387,26304.220299999997
16.12.2015 18:00:00.000 GMT-0800,1.51383,1.51412,1.50951,1.51346,26837.390199999998
16.12.2015 22:00:00.000 GMT-0800,1.51348,1.51452,1.50620,1.50688,36473.9307
17.12.2015 02:00:00.000 GMT-0800,1.50690,1.51239,1.50316,1.51202,30765.8701
17.12.2015 06:00:00.000 GMT-0800,1.51203,1.52713,1.51115,1.51955,47397.5205
17.12.2015 10:00:00.000 GMT-0800,1.51952,1.52052,1.51666,1.51845,17763.3402
17.12.2015 14:00:00.000 GMT-0800,1.51845,1.52369,1.51795,1.51909,20712.1299
17.12.2015 18:00:00.000 GMT-0800,1.51911,1.52254,1.51852,1.51955,29028.069300000003
17.12.2015 22:00:00.000 GMT-0800,1.51958,1.52127,1.51131,1.51651,37264.8998
18.12.2015 02:00:00.000 GMT-0800,1.51652,1.52208,1.51492,1.51605,33890.590299999996
18.12.2015 06:00:00.000 GMT-0800,1.51603,1.51679,1.50578,1.51004,40240.0801
18.12.2015 10:00:00.000 GMT-0800,1.51007,1.51565,1.50880,1.51355,15039.0705
20.12.2015 14:00:00.000 GMT-0800,1.51309,1.51914,1.51287,1.51578,21492.4002
20.12.2015 18:00:00.000 GMT-0800,1.51578,1.51849,1.51542,1.51710,15618.430400000001
20.12.2015 22:00:00.000 GMT-0800,1.51713,1.51766,1.51333,1.51590,28013.27
21.12.2015 02:00:00.000 GMT-0800,1.51592,1.51819,1.51442,1.51772,28839.4096
21.12.2015 06:00:00.000 GMT-0800,1.51785,1.52540,1.51528,1.52022,41068.9697
21.12.2015 10:00:00.000 GMT-0800,1.52026,1.52062,1.51768,1.51775,11443.790100000002
21.12.2015 14:00:00.000 GMT-0800,1.51779,1.51917,1.51413,1.51646,21112.9595
21.12.2015 18:00:00.000 GMT-0800,1.51649,1.51738,1.51031,1.51103,17368.3101
21.12.2015 22:00:00.000 GMT-0800,1.51103,1.51276,1.50566,1.51162,25314.8501
22.12.2015 02:00:00.000 GMT-0800,1.51166,1.51348,1.50941,1.51272,27907
22.12.2015 06:00:00.000 GMT-0800,1.51269,1.51913,1.51118,1.51684,33067.6299
22.12.2015 10:00:00.000 GMT-0800,1.51684,1.51744,1.51356,1.51378,11403.8103
22.12.2015 14:00:00.000 GMT-0800,1.51365,1.51536,1.51169,1.51184,13965.9903
22.12.2015 18:00:00.000 GMT-0800,1.51184,1.51352,1.51037,1.51089,10222.560099999999
22.12.2015 22:00:00.000 GMT-0800,1.51089,1.51364,1.50833,1.51199,21864.5598
23.12.2015 02:00:00.000 GMT-0800,1.51198,1.51361,1.51012,1.51064,25176.1202
23.12.2015 06:00:00.000 GMT-0800,1.51063,1.51274,1.50457,1.50685,30315.739700000002
23.12.2015 10:00:00.000 GMT-0800,1.50679,1.51011,1.50626,1.50760,12387.1597
23.12.2015 14:00:00.000 GMT-0800,1.50771,1.50903,1.50641,1.50690,13400.420000000002
23.12.2015 18:00:00.000 GMT-0800,1.50692,1.50931,1.50402,1.50691,13501.899899999999
23.12.2015 22:00:00.000 GMT-0800,1.50692,1.50855,1.50397,1.50679,17922.740299999998
24.12.2015 02:00:00.000 GMT-0800,1.50682,1.50782,1.50287,1.50592,14934.6702
24.12.2015 06:00:00.000 GMT-0800,1.50592,1.50880,1.50397,1.50572,15150.1399
24.12.2015 10:00:00.000 GMT-0800,1.50577,1.50948,1.50423,1.50437,5732.7901
24.12.2015 14:00:00.000 GMT-0800,1.50823,1.50937,1.50309,1.50483,2564.7200000000003
24.12.2015 18:00:00.000 GMT-0800,1.50486,1.50723,1.50376,1.50614,2229.4700000000003
24.12.2015 22:00:00.000 GMT-0800,1.50615,1.50644,1.50284,1.50435,1113.33
27.12.2015 14:00:00.000 GMT-0800,1.50453,1.51072,1.50432,1.50917,14498.3499
27.12.2015 18:00:00.000 GMT-0800,1.50915,1.51051,1.50754,1.50991,11498.609900000001
27.12.2015 22:00:00.000 GMT-0800,1.50994,1.51222,1.50853,1.51159,17459.0302
28.12.2015 02:00:00.000 GMT-0800,1.51159,1.51387,1.50852,1.51104,17607.3505
28.12.2015 06:00:00.000 GMT-0800,1.51106,1.51405,1.50955,1.51353,21346.0901
28.12.2015 10:00:00.000 GMT-0800,1.51353,1.51403,1.51190,1.51266,8545.1302
28.12.2015 14:00:00.000 GMT-0800,1.51266,1.51374,1.51146,1.51319,14178.2598
28.12.2015 18:00:00.000 GMT-0800,1.51320,1.51320,1.50966,1.51041,11039.8001
28.12.2015 22:00:00.000 GMT-0800,1.51041,1.51160,1.50800,1.51012,21391.2698
29.12.2015 02:00:00.000 GMT-0800,1.51011,1.51041,1.49831,1.50016,25932.6503
29.12.2015 06:00:00.000 GMT-0800,1.50015,1.50096,1.49450,1.49869,28671.2102
29.12.2015 10:00:00.000 GMT-0800,1.49869,1.49892,1.49635,1.49652,10456.7201
29.12.2015 14:00:00.000 GMT-0800,1.49651,1.50208,1.49597,1.49998,17333.56
29.12.2015 18:00:00.000 GMT-0800,1.49999,1.50110,1.49850,1.49928,12440.550099999999
29.12.2015 22:00:00.000 GMT-0800,1.49929,1.50187,1.49815,1.49837,24865.6899
30.12.2015 02:00:00.000 GMT-0800,1.49837,1.50063,1.49502,1.50029,31218.369700000003
30.12.2015 06:00:00.000 GMT-0800,1.50029,1.50083,1.49551,1.49758,29679.3501
30.12.2015 10:00:00.000 GMT-0800,1.49758,1.50046,1.49668,1.49996,10507.2402
30.12.2015 14:00:00.000 GMT-0800,1.49977,1.50275,1.49775,1.49777,11194.9899
30.12.2015 18:00:00.000 GMT-0800,1.49775,1.49800,1.49555,1.49569,10002.179900000001
30.12.2015 22:00:00.000 GMT-0800,1.49569,1.49745,1.49012,1.49279,17020.6302
31.12.2015 02:00:00.000 GMT-0800,1.49279,1.49382,1.48774,1.48826,24887.3301
31.12.2015 06:00:00.000 GMT-0800,1.48826,1.49409,1.48628,1.49046,24937.75
31.12.2015 10:00:00.000 GMT-0800,1.49036,1.49260,1.48833,1.48884,8451.9601
03.01.2016 14:00:00.000 GMT-0800,1.49136,1.50338,1.48699,1.50313,21539.819499999998
03.01.2016 18:00:00.000 GMT-0800,1.50311,1.51130,1.50221,1.50994,22294.800300000003
03.01.2016 22:00:00.000 GMT-0800,1.50994,1.51697,1.50866,1.51455,36004.5693
04.01.2016 02:00:00.000 GMT-0800,1.51455,1.51816,1.50947,1.51017,33405.94
04.01.2016 06:00:00.000 GMT-0800,1.51022,1.51193,1.50528,1.50706,40505.3506
04.01.2016 10:00:00.000 GMT-0800,1.50709,1.50872,1.50522,1.50582,16556.260299999998
04.01.2016 14:00:00.000 GMT-0800,1.50582,1.50926,1.50070,1.50101,18089.880400000002
04.01.2016 18:00:00.000 GMT-0800,1.50089,1.50566,1.49912,1.50435,17375.869599999998
04.01.2016 22:00:00.000 GMT-0800,1.50435,1.50690,1.49899,1.50096,36958.2905
05.01.2016 02:00:00.000 GMT-0800,1.50100,1.50350,1.49722,1.49795,38168.640699999996
05.01.2016 06:00:00.000 GMT-0800,1.49799,1.50399,1.49743,1.50340,43875.201199999996
05.01.2016 10:00:00.000 GMT-0800,1.50339,1.50432,1.49967,1.50047,17440.979499999998
05.01.2016 14:00:00.000 GMT-0800,1.50047,1.51087,1.49818,1.50981,26881.08
05.01.2016 18:00:00.000 GMT-0800,1.50979,1.51474,1.50663,1.50894,28120.090299999996
05.01.2016 22:00:00.000 GMT-0800,1.50894,1.52063,1.50781,1.51668,41278.960399999996
06.01.2016 02:00:00.000 GMT-0800,1.51655,1.52047,1.51614,1.51632,42240.1895
06.01.2016 06:00:00.000 GMT-0800,1.51633,1.52529,1.51510,1.52402,44711.9102
06.01.2016 10:00:00.000 GMT-0800,1.52405,1.52951,1.52352,1.52409,27982.1301
06.01.2016 14:00:00.000 GMT-0800,1.52396,1.53863,1.52089,1.53664,27466.9198
06.01.2016 18:00:00.000 GMT-0800,1.53664,1.54031,1.53254,1.53941,28461.58
06.01.2016 22:00:00.000 GMT-0800,1.53941,1.54765,1.52695,1.54310,48809.5693
07.01.2016 02:00:00.000 GMT-0800,1.54309,1.55700,1.54093,1.55403,47860.6807
07.01.2016 06:00:00.000 GMT-0800,1.55405,1.55409,1.54125,1.54604,52411.3199
07.01.2016 10:00:00.000 GMT-0800,1.54604,1.56336,1.54604,1.55834,30643.309500000003
07.01.2016 14:00:00.000 GMT-0800,1.55846,1.55930,1.53644,1.54407,37410.0801
07.01.2016 18:00:00.000 GMT-0800,1.54394,1.54487,1.53940,1.54268,27577.4497
07.01.2016 22:00:00.000 GMT-0800,1.54272,1.55005,1.53652,1.54796,37141.359899999996
08.01.2016 02:00:00.000 GMT-0800,1.54798,1.55257,1.54009,1.54733,40644.9199
08.01.2016 06:00:00.000 GMT-0800,1.54711,1.56746,1.54472,1.55686,58626.4902
08.01.2016 10:00:00.000 GMT-0800,1.55687,1.57210,1.55658,1.57075,22682.6399
10.01.2016 14:00:00.000 GMT-0800,1.56588,1.58273,1.56470,1.57048,33680.1895
10.01.2016 18:00:00.000 GMT-0800,1.57051,1.57169,1.56289,1.56642,25922.439899999998
10.01.2016 22:00:00.000 GMT-0800,1.56642,1.57055,1.55174,1.55284,41979.7495
11.01.2016 02:00:00.000 GMT-0800,1.55285,1.55890,1.54634,1.54922,41407.210999999996
11.01.2016 06:00:00.000 GMT-0800,1.54919,1.56148,1.54505,1.55878,51978.8096
11.01.2016 10:00:00.000 GMT-0800,1.55878,1.56404,1.54981,1.55198,25384.1699
11.01.2016 14:00:00.000 GMT-0800,1.55179,1.55552,1.54789,1.55152,27312.2506
11.01.2016 18:00:00.000 GMT-0800,1.55152,1.56063,1.55106,1.55745,28124.23
11.01.2016 22:00:00.000 GMT-0800,1.55746,1.57031,1.55305,1.55387,44757.6602
12.01.2016 02:00:00.000 GMT-0800,1.55389,1.55652,1.54461,1.54883,43630.928700000004
12.01.2016 06:00:00.000 GMT-0800,1.54883,1.55585,1.54438,1.55272,55873.1798
12.01.2016 10:00:00.000 GMT-0800,1.55270,1.55840,1.55084,1.55389,25931.449699999997
12.01.2016 14:00:00.000 GMT-0800,1.55389,1.55547,1.53997,1.54135,29078.3698
12.01.2016 18:00:00.000 GMT-0800,1.54134,1.54303,1.53406,1.54131,26882.710199999998
12.01.2016 22:00:00.000 GMT-0800,1.54131,1.54660,1.53424,1.53988,41614.0899
13.01.2016 02:00:00.000 GMT-0800,1.53988,1.54288,1.53707,1.54197,35790.5293
13.01.2016 06:00:00.000 GMT-0800,1.54194,1.55577,1.54074,1.55275,56537.1396
13.01.2016 10:00:00.000 GMT-0800,1.55277,1.56606,1.55275,1.56345,34282.2998
13.01.2016 14:00:00.000 GMT-0800,1.56328,1.57388,1.56251,1.56668,36271.8999
13.01.2016 18:00:00.000 GMT-0800,1.56669,1.57467,1.56485,1.56642,26379.1997
13.01.2016 22:00:00.000 GMT-0800,1.56642,1.58232,1.55758,1.57249,48443.6299
14.01.2016 02:00:00.000 GMT-0800,1.57251,1.58086,1.56342,1.56664,54531.9405
14.01.2016 06:00:00.000 GMT-0800,1.56668,1.57300,1.55384,1.55589,62860.4902
14.01.2016 10:00:00.000 GMT-0800,1.55589,1.55710,1.55191,1.55527,24383.5903
14.01.2016 14:00:00.000 GMT-0800,1.55527,1.56231,1.55030,1.55903,25950.5205
14.01.2016 18:00:00.000 GMT-0800,1.55909,1.56907,1.55818,1.56433,27430.730499999998
14.01.2016 22:00:00.000 GMT-0800,1.56431,1.58855,1.56306,1.58346,53689.08010000001
15.01.2016 02:00:00.000 GMT-0800,1.58343,1.59603,1.58201,1.59218,52865.918900000004
15.01.2016 06:00:00.000 GMT-0800,1.59218,1.60760,1.58470,1.59965,70000.7099
15.01.2016 10:00:00.000 GMT-0800,1.59968,1.60125,1.58639,1.58972,33600.239700000006
17.01.2016 14:00:00.000 GMT-0800,1.59561,1.59566,1.57973,1.58026,26884.659399999997
17.01.2016 18:00:00.000 GMT-0800,1.58028,1.58379,1.57171,1.57923,29918.649800000003
17.01.2016 22:00:00.000 GMT-0800,1.57921,1.58646,1.57288,1.58466,46566.489799999996
18.01.2016 02:00:00.000 GMT-0800,1.58463,1.58706,1.57955,1.58314,38787.6295
18.01.2016 06:00:00.000 GMT-0800,1.58312,1.58847,1.58085,1.58783,27480.7705
18.01.2016 10:00:00.000 GMT-0800,1.58776,1.58940,1.58582,1.58584,16464.8396
18.01.2016 14:00:00.000 GMT-0800,1.58579,1.58690,1.57871,1.58234,23953.0305
18.01.2016 18:00:00.000 GMT-0800,1.58282,1.59430,1.57516,1.57588,33066.8497
18.01.2016 22:00:00.000 GMT-0800,1.57588,1.57809,1.56785,1.56990,43760.220199999996
19.01.2016 02:00:00.000 GMT-0800,1.56988,1.57170,1.56120,1.56741,42297.0507
19.01.2016 06:00:00.000 GMT-0800,1.56740,1.57948,1.56708,1.57668,54604.1992
