Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.41223,1.41447,1.41151,1.41276,33561.3897
01.12.2015 02:00:00.000 GMT-0800,1.41276,1.42085,1.41087,1.41897,35079.6299
01.12.2015 06:00:00.000 GMT-0800,1.41898,1.42043,1.41632,1.41999,55919.2499
01.12.2015 10:00:00.000 GMT-0800,1.42001,1.42261,1.41976,1.41999,26151.800399999996
01.12.2015 14:00:00.000 GMT-0800,1.41999,1.42068,1.41888,1.41939,13812.98
01.12.2015 18:00:00.000 GMT-0800,1.41940,1.42021,1.41902,1.41915,12407.459700000001
01.12.2015 22:00:00.000 GMT-0800,1.41916,1.42133,1.41844,1.41990,29082.2102
02.12.2015 02:00:00.000 GMT-0800,1.41985,1.42030,1.41511,1.41830,40306.8895
02.12.2015 06:00:00.000 GMT-0800,1.41829,1.42043,1.40703,1.41443,56654.9492
02.12.2015 10:00:00.000 GMT-0800,1.41443,1.41989,1.41387,1.41602,34044.1899
02.12.2015 14:00:00.000 GMT-0800,1.41618,1.41681,1.41500,1.41516,13144.6402
02.12.2015 18:00:00.000 GMT-0800,1.41517,1.41529,1.40846,1.40975,18744.3
02.12.2015 22:00:00.000 GMT-0800,1.40975,1.41102,1.40622,1.40716,31238.1489
03.12.2015 02:00:00.000 GMT-0800,1.40716,1.44973,1.40351,1.44181,57410.32949999999
03.12.2015 06:00:00.000 GMT-0800,1.44181,1.46410,1.43913,1.45826,72285.8106
03.12.2015 10:00:00.000 GMT-0800,1.45828,1.46498,1.45809,1.46070,40938.8912
03.12.2015 14:00:00.000 GMT-0800,1.46067,1.46112,1.45541,1.45630,19769.6101
03.12.2015 18:00:00.000 GMT-0800,1.45633,1.46161,1.45552,1.46080,18642.9598
03.12.2015 22:00:00.000 GMT-0800,1.46080,1.46200,1.45072,1.45247,39946.109899999996
04.12.2015 02:00:00.000 GMT-0800,1.45246,1.46227,1.44827,1.46198,49610.9004
04.12.2015 06:00:00.000 GMT-0800,1.46196,1.46703,1.45077,1.45513,66302.0595
04.12.2015 10:00:00.000 GMT-0800,1.45510,1.45534,1.45185,1.45312,25001.370199999998
06.12.2015 14:00:00.000 GMT-0800,1.45335,1.45740,1.45293,1.45479,13823.0398
06.12.2015 18:00:00.000 GMT-0800,1.45477,1.45570,1.45364,1.45496,12344.0798
06.12.2015 22:00:00.000 GMT-0800,1.45499,1.45639,1.45091,1.45221,26299.18
07.12.2015 02:00:00.000 GMT-0800,1.45224,1.45886,1.45103,1.45869,33767.7197
07.12.2015 06:00:00.000 GMT-0800,1.45869,1.46775,1.45707,1.46708,47027.2111
07.12.2015 10:00:00.000 GMT-0800,1.46709,1.46783,1.46262,1.46274,24303.3698
07.12.2015 14:00:00.000 GMT-0800,1.46282,1.46579,1.46246,1.46493,12549.470000000001
07.12.2015 18:00:00.000 GMT-0800,1.46493,1.46819,1.46486,1.46819,13423
07.12.2015 22:00:00.000 GMT-0800,1.46819,1.47197,1.46646,1.46849,32770.4194
08.12.2015 02:00:00.000 GMT-0800,1.46849,1.48383,1.46708,1.48335,42191.08
08.12.2015 06:00:00.000 GMT-0800,1.48336,1.48406,1.47246,1.47966,57361.810600000004
08.12.2015 10:00:00.000 GMT-0800,1.47963,1.48260,1.47751,1.47956,32041.429600000003
08.12.2015 14:00:00.000 GMT-0800,1.47957,1.48031,1.47772,1.47953,10927.9799
08.12.2015 18:00:00.000 GMT-0800,1.47953,1.48195,1.47928,1.48016,12926.220000000001
08.12.2015 22:00:00.000 GMT-0800,1.48014,1.48790,1.47999,1.48528,30965.239200000004
09.12.2015 02:00:00.000 GMT-0800,1.48528,1.48959,1.47983,1.48949,36619.6894
09.12.2015 06:00:00.000 GMT-0800,1.48952,1.49758,1.48026,1.49631,58382.9004
09.12.2015 10:00:00.000 GMT-0800,1.49628,1.49994,1.49412,1.49704,40702.8798
09.12.2015 14:00:00.000 GMT-0800,1.49691,1.49703,1.49230,1.49242,15882.2398
09.12.2015 18:00:00.000 GMT-0800,1.49239,1.49365,1.49128,1.49147,13594.5297
09.12.2015 22:00:00.000 GMT-0800,1.49150,1.49188,1.48477,1.48742,31773.1904
10.12.2015 02:00:00.000 GMT-0800,1.48744,1.48918,1.48091,1.48886,42587.2901
10.12.2015 06:00:00.000 GMT-0800,1.48886,1.49192,1.48352,1.49017,48109.3106
10.12.2015 10:00:00.000 GMT-0800,1.49012,1.49299,1.48767,1.49057,23468.7298
10.12.2015 14:00:00.000 GMT-0800,1.49049,1.49299,1.49039,1.49162,13773.600199999999
10.12.2015 18:00:00.000 GMT-0800,1.49162,1.49367,1.49159,1.49277,10450.3001
10.12.2015 22:00:00.000 GMT-0800,1.49277,1.49919,1.49178,1.49572,28258.8707
11.12.2015 02:00:00.000 GMT-0800,1.49573,1.50079,1.49284,1.49719,39725.75
11.12.2015 06:00:00.000 GMT-0800,1.49721,1.51211,1.49690,1.51105,57911.409100000004
11.12.2015 10:00:00.000 GMT-0800,1.51105,1.51276,1.50792,1.51198,27133.4503
13.12.2015 14:00:00.000 GMT-0800,1.50683,1.51080,1.50623,1.50779,15301.180199999999
13.12.2015 18:00:00.000 GMT-0800,1.50780,1.50865,1.50396,1.50478,16147.089799999998
13.12.2015 22:00:00.000 GMT-0800,1.50478,1.50540,1.50045,1.50339,33963.6799
14.12.2015 02:00:00.000 GMT-0800,1.50339,1.51433,1.50222,1.50449,49194.7695
14.12.2015 06:00:00.000 GMT-0800,1.50447,1.52021,1.50196,1.51317,69431.4112
14.12.2015 10:00:00.000 GMT-0800,1.51318,1.51611,1.50797,1.50967,32701.679200000002
14.12.2015 14:00:00.000 GMT-0800,1.50967,1.51055,1.50818,1.51027,15969.9502
14.12.2015 18:00:00.000 GMT-0800,1.51027,1.51197,1.50751,1.51168,15197.430100000001
14.12.2015 22:00:00.000 GMT-0800,1.51168,1.51603,1.50704,1.50977,38250.5293
15.12.2015 02:00:00.000 GMT-0800,1.50977,1.51049,1.50422,1.50430,47707.6397
15.12.2015 06:00:00.000 GMT-0800,1.50432,1.50518,1.49423,1.49673,55397.3408
15.12.2015 10:00:00.000 GMT-0800,1.49669,1.50220,1.49669,1.50067,28953.599599999998
15.12.2015 14:00:00.000 GMT-0800,1.50067,1.50371,1.50013,1.50323,13836.4499
15.12.2015 18:00:00.000 GMT-0800,1.50324,1.50377,1.50170,1.50276,12590.029999999999
15.12.2015 22:00:00.000 GMT-0800,1.50276,1.50703,1.50144,1.50357,33808.5989
16.12.2015 02:00:00.000 GMT-0800,1.50357,1.50610,1.50013,1.50556,36771.8302
16.12.2015 06:00:00.000 GMT-0800,1.50557,1.51571,1.50389,1.50648,46439.209
16.12.2015 10:00:00.000 GMT-0800,1.50646,1.51633,1.50251,1.50340,57897.0796
16.12.2015 14:00:00.000 GMT-0800,1.50338,1.50430,1.49753,1.49919,18243.119899999998
16.12.2015 18:00:00.000 GMT-0800,1.49918,1.49924,1.49571,1.49794,17883.4001
16.12.2015 22:00:00.000 GMT-0800,1.49792,1.50169,1.49743,1.49917,31212.249799999998
17.12.2015 02:00:00.000 GMT-0800,1.49915,1.50210,1.49661,1.50138,31388.81
17.12.2015 06:00:00.000 GMT-0800,1.50139,1.51527,1.49992,1.50976,50688.1807
17.12.2015 10:00:00.000 GMT-0800,1.50968,1.51051,1.50628,1.50867,21597.369899999998
17.12.2015 14:00:00.000 GMT-0800,1.50867,1.51273,1.50841,1.51067,13987.2202
