Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,4.26415,4.26878,4.26120,4.26401,4719.8901000000005
01.12.2015 02:00:00.000 GMT-0800,4.26426,4.27266,4.26418,4.27247,6712.83
01.12.2015 06:00:00.000 GMT-0800,4.27245,4.28604,4.26827,4.27943,11081.949999999999
01.12.2015 10:00:00.000 GMT-0800,4.27942,4.28156,4.27731,4.27928,1693.87
01.12.2015 14:00:00.000 GMT-0800,4.27837,4.28034,4.27595,4.27757,441.39
01.12.2015 18:00:00.000 GMT-0800,4.27758,4.27858,4.27735,4.27850,303
01.12.2015 22:00:00.000 GMT-0800,4.28037,4.28226,4.27549,4.28040,7769.8498
02.12.2015 02:00:00.000 GMT-0800,4.28044,4.28074,4.26927,4.27104,20129.9099
02.12.2015 06:00:00.000 GMT-0800,4.27104,4.27885,4.26907,4.27576,9406.16
02.12.2015 10:00:00.000 GMT-0800,4.27590,4.28045,4.27470,4.27480,1381.8600000000001
02.12.2015 14:00:00.000 GMT-0800,4.27480,4.27648,4.26822,4.27446,319.7
02.12.2015 18:00:00.000 GMT-0800,4.27434,4.27471,4.27423,4.27449,513.25
02.12.2015 22:00:00.000 GMT-0800,4.27577,4.27648,4.26506,4.26769,6713.9202000000005
03.12.2015 02:00:00.000 GMT-0800,4.26769,4.31447,4.26699,4.30307,19637.5205
03.12.2015 06:00:00.000 GMT-0800,4.30314,4.32137,4.29532,4.32080,20284.2902
03.12.2015 10:00:00.000 GMT-0800,4.32083,4.33712,4.31241,4.32121,6292.7801
03.12.2015 14:00:00.000 GMT-0800,4.31831,4.33612,4.31469,4.32324,2916.2799999999997
03.12.2015 18:00:00.000 GMT-0800,4.32324,4.32623,4.32309,4.32482,12864.8899
03.12.2015 22:00:00.000 GMT-0800,4.32482,4.33127,4.30534,4.31273,17202.850199999997
04.12.2015 02:00:00.000 GMT-0800,4.31273,4.31569,4.30266,4.31548,19698.9502
04.12.2015 06:00:00.000 GMT-0800,4.31554,4.32031,4.30208,4.30622,11907.299900000002
04.12.2015 10:00:00.000 GMT-0800,4.30622,4.31417,4.30554,4.30832,1282.25
06.12.2015 14:00:00.000 GMT-0800,4.30203,4.30636,4.29771,4.30630,1382.57
06.12.2015 18:00:00.000 GMT-0800,4.30630,4.30947,4.30317,4.30886,1327.78
06.12.2015 22:00:00.000 GMT-0800,4.30891,4.31358,4.30216,4.31021,8912.8199
07.12.2015 02:00:00.000 GMT-0800,4.31020,4.31785,4.30669,4.31680,6967.8701
07.12.2015 06:00:00.000 GMT-0800,4.31680,4.32091,4.31038,4.32056,9270.7501
07.12.2015 10:00:00.000 GMT-0800,4.32061,4.32190,4.31128,4.32040,2633.7
07.12.2015 14:00:00.000 GMT-0800,4.32046,4.32184,4.31637,4.31981,306.75
07.12.2015 18:00:00.000 GMT-0800,4.31985,4.32207,4.31979,4.31991,268.61
07.12.2015 22:00:00.000 GMT-0800,4.31991,4.32864,4.31956,4.32804,5098.870000000001
08.12.2015 02:00:00.000 GMT-0800,4.32801,4.33592,4.32636,4.33518,10220.6299
08.12.2015 06:00:00.000 GMT-0800,4.33524,4.34404,4.33278,4.34118,10176.1401
08.12.2015 10:00:00.000 GMT-0800,4.34134,4.34383,4.33654,4.33974,954.8199999999999
08.12.2015 14:00:00.000 GMT-0800,4.34042,4.34419,4.33198,4.33999,555
08.12.2015 18:00:00.000 GMT-0800,4.33999,4.34432,4.33979,4.34339,604
08.12.2015 22:00:00.000 GMT-0800,4.34348,4.34470,4.33747,4.33921,3140.6799
09.12.2015 02:00:00.000 GMT-0800,4.33931,4.34382,4.33592,4.34268,6042.649800000001
09.12.2015 06:00:00.000 GMT-0800,4.34284,4.34492,4.33734,4.34480,8523.25
09.12.2015 10:00:00.000 GMT-0800,4.34479,4.34823,4.34198,4.34699,2293.0499999999997
09.12.2015 14:00:00.000 GMT-0800,4.34399,4.34728,4.33628,4.34329,573.5699999999999
09.12.2015 18:00:00.000 GMT-0800,4.34330,4.34465,4.34174,4.34211,369.5
09.12.2015 22:00:00.000 GMT-0800,4.34337,4.34737,4.33948,4.34347,3596.7200000000003
10.12.2015 02:00:00.000 GMT-0800,4.34369,4.34370,4.33639,4.33927,5605.51
10.12.2015 06:00:00.000 GMT-0800,4.33917,4.34923,4.33736,4.34923,8311.5799
10.12.2015 10:00:00.000 GMT-0800,4.34923,4.34980,4.34222,4.34317,2910.4399999999996
10.12.2015 14:00:00.000 GMT-0800,4.34315,4.34519,4.33566,4.34349,523.49
10.12.2015 18:00:00.000 GMT-0800,4.34351,4.34643,4.34292,4.34370,450.03
10.12.2015 22:00:00.000 GMT-0800,4.34578,4.34925,4.34064,4.34613,3822.5699999999997
11.12.2015 02:00:00.000 GMT-0800,4.34613,4.35297,4.34260,4.34538,6895.5701
11.12.2015 06:00:00.000 GMT-0800,4.34538,4.36484,4.34527,4.36470,5702.21
11.12.2015 10:00:00.000 GMT-0800,4.36469,4.36624,4.35831,4.36193,1178.63
13.12.2015 14:00:00.000 GMT-0800,4.36105,4.37024,4.34899,4.35157,655.79
13.12.2015 18:00:00.000 GMT-0800,4.35078,4.36016,4.35044,4.35766,2355.01
13.12.2015 22:00:00.000 GMT-0800,4.35927,4.36279,4.32648,4.34887,9135.3999
14.12.2015 02:00:00.000 GMT-0800,4.34887,4.36632,4.34855,4.35783,8873.5801
14.12.2015 06:00:00.000 GMT-0800,4.35790,4.36546,4.35461,4.36250,10485.6199
14.12.2015 10:00:00.000 GMT-0800,4.36248,4.36565,4.36187,4.36260,1621.1999999999998
14.12.2015 14:00:00.000 GMT-0800,4.36263,4.36487,4.35450,4.36069,520.16
14.12.2015 18:00:00.000 GMT-0800,4.36319,4.36366,4.35951,4.35967,216.25
14.12.2015 22:00:00.000 GMT-0800,4.36007,4.36959,4.35344,4.35658,5388.6901
15.12.2015 02:00:00.000 GMT-0800,4.35638,4.35768,4.34567,4.34957,9233.8799
15.12.2015 06:00:00.000 GMT-0800,4.34958,4.35022,4.32305,4.32440,13441.7101
15.12.2015 10:00:00.000 GMT-0800,4.32448,4.32763,4.30113,4.30475,2602.62
15.12.2015 14:00:00.000 GMT-0800,4.30716,4.31534,4.30150,4.30862,890.46
15.12.2015 18:00:00.000 GMT-0800,4.30863,4.31264,4.30287,4.30639,3657.9799
15.12.2015 22:00:00.000 GMT-0800,4.30702,4.33584,4.30320,4.32886,5285.65
16.12.2015 02:00:00.000 GMT-0800,4.32886,4.33438,4.30516,4.31194,6924.660099999999
16.12.2015 06:00:00.000 GMT-0800,4.31195,4.31246,4.29302,4.31071,9530.3701
16.12.2015 10:00:00.000 GMT-0800,4.30647,4.31111,4.28608,4.28956,13200.7002
16.12.2015 14:00:00.000 GMT-0800,4.29132,4.29312,4.28387,4.28875,906.24
16.12.2015 18:00:00.000 GMT-0800,4.28872,4.29503,4.28690,4.29059,719.95
16.12.2015 22:00:00.000 GMT-0800,4.29157,4.30624,4.29048,4.30289,7535.3899
17.12.2015 02:00:00.000 GMT-0800,4.30296,4.30308,4.28632,4.28693,8564.0298
17.12.2015 06:00:00.000 GMT-0800,4.28695,4.30253,4.27827,4.30238,12064.3702
17.12.2015 10:00:00.000 GMT-0800,4.30258,4.30270,4.29552,4.29888,2479.23
17.12.2015 14:00:00.000 GMT-0800,4.29681,4.30194,4.29362,4.29855,546.31
17.12.2015 18:00:00.000 GMT-0800,4.29852,4.30177,4.29600,4.29883,309.17
17.12.2015 22:00:00.000 GMT-0800,4.30047,4.30147,4.27584,4.27928,5497.979799999999
18.12.2015 02:00:00.000 GMT-0800,4.27928,4.28599,4.26995,4.27284,6088.6298
18.12.2015 06:00:00.000 GMT-0800,4.27284,4.28223,4.25617,4.26538,7434.8301
18.12.2015 10:00:00.000 GMT-0800,4.26507,4.27484,4.25737,4.25793,1194.15
20.12.2015 14:00:00.000 GMT-0800,4.25597,4.27518,4.25546,4.26937,1005.36
20.12.2015 18:00:00.000 GMT-0800,4.26938,4.26983,4.26857,4.26975,393.75
20.12.2015 22:00:00.000 GMT-0800,4.27167,4.27557,4.25329,4.25343,4576.549999999999
21.12.2015 02:00:00.000 GMT-0800,4.25343,4.25466,4.23212,4.24037,5132.3201
21.12.2015 06:00:00.000 GMT-0800,4.24037,4.25134,4.23298,4.25082,5756.619900000001
21.12.2015 10:00:00.000 GMT-0800,4.25082,4.25206,4.24707,4.24822,1347.44
21.12.2015 14:00:00.000 GMT-0800,4.24820,4.25220,4.24458,4.24552,922.5699999999999
21.12.2015 18:00:00.000 GMT-0800,4.24551,4.24587,4.24550,4.24557,461.5
21.12.2015 22:00:00.000 GMT-0800,4.24556,4.24810,4.23132,4.24047,3455.11
22.12.2015 02:00:00.000 GMT-0800,4.24048,4.24048,4.23187,4.23452,3395.8900000000003
22.12.2015 06:00:00.000 GMT-0800,4.23452,4.25652,4.23393,4.25434,7234.310100000001
22.12.2015 10:00:00.000 GMT-0800,4.25430,4.25742,4.24445,4.24763,1077.24
22.12.2015 14:00:00.000 GMT-0800,4.24763,4.24958,4.24160,4.24512,746.91
22.12.2015 18:00:00.000 GMT-0800,4.24512,4.24527,4.24379,4.24478,12133.5
22.12.2015 22:00:00.000 GMT-0800,4.24797,4.24818,4.23517,4.24204,2495.23
23.12.2015 02:00:00.000 GMT-0800,4.24191,4.24858,4.23974,4.24227,3975.63
23.12.2015 06:00:00.000 GMT-0800,4.24228,4.24644,4.23489,4.23877,3713.49
23.12.2015 10:00:00.000 GMT-0800,4.23877,4.24377,4.23741,4.23894,2166.49
23.12.2015 14:00:00.000 GMT-0800,4.24012,4.24134,4.23488,4.23811,588.39
23.12.2015 18:00:00.000 GMT-0800,4.23811,4.24305,4.23810,4.24223,1001.74
23.12.2015 22:00:00.000 GMT-0800,4.24517,4.24695,4.23830,4.23985,2289.24
24.12.2015 02:00:00.000 GMT-0800,4.23983,4.25113,4.23604,4.23615,2537.04
24.12.2015 06:00:00.000 GMT-0800,4.23634,4.23904,4.23068,4.23308,1591.9
24.12.2015 10:00:00.000 GMT-0800,4.23721,4.23723,4.23119,4.23119,707.4
24.12.2015 14:00:00.000 GMT-0800,4.23119,4.23321,4.22720,4.22987,577.61
24.12.2015 18:00:00.000 GMT-0800,4.23024,4.23098,4.22610,4.23082,233.89
24.12.2015 22:00:00.000 GMT-0800,4.23095,4.23405,4.23071,4.23224,281.25
27.12.2015 14:00:00.000 GMT-0800,4.23097,4.23428,4.22654,4.23401,1654.76
27.12.2015 18:00:00.000 GMT-0800,4.23405,4.23419,4.22867,4.23254,1850.2299
27.12.2015 22:00:00.000 GMT-0800,4.23547,4.24604,4.22953,4.24224,3257.53
28.12.2015 02:00:00.000 GMT-0800,4.24137,4.24923,4.23951,4.24634,3625.86
28.12.2015 06:00:00.000 GMT-0800,4.24646,4.25023,4.23851,4.24378,3424.85
28.12.2015 10:00:00.000 GMT-0800,4.24378,4.24524,4.24034,4.24034,424.94
28.12.2015 14:00:00.000 GMT-0800,4.24001,4.24863,4.23363,4.24062,931.6800000000001
28.12.2015 18:00:00.000 GMT-0800,4.24069,4.24112,4.23867,4.24111,1454.25
28.12.2015 22:00:00.000 GMT-0800,4.24408,4.24806,4.23960,4.24308,3517.68
29.12.2015 02:00:00.000 GMT-0800,4.24307,4.24587,4.23389,4.23639,5567.2501
29.12.2015 06:00:00.000 GMT-0800,4.23648,4.23709,4.22820,4.23507,7514.6601
29.12.2015 10:00:00.000 GMT-0800,4.23505,4.23648,4.22695,4.22695,2188.17
29.12.2015 14:00:00.000 GMT-0800,4.22541,4.23113,4.21849,4.22799,1225.0299999999997
29.12.2015 18:00:00.000 GMT-0800,4.22801,4.23392,4.22801,4.22997,1713.78
29.12.2015 22:00:00.000 GMT-0800,4.23052,4.24244,4.22916,4.24092,3451.5499999999997
30.12.2015 02:00:00.000 GMT-0800,4.24064,4.24777,4.23577,4.24103,5015.0100999999995
30.12.2015 06:00:00.000 GMT-0800,4.24103,4.25743,4.23566,4.25363,3987.1099
30.12.2015 10:00:00.000 GMT-0800,4.25398,4.25750,4.25184,4.25306,575.3100000000001
30.12.2015 14:00:00.000 GMT-0800,4.25306,4.25663,4.24595,4.25230,547.27
30.12.2015 18:00:00.000 GMT-0800,4.25226,4.25784,4.25160,4.25218,829.87
30.12.2015 22:00:00.000 GMT-0800,4.25557,4.26273,4.24923,4.26022,2547.64
31.12.2015 02:00:00.000 GMT-0800,4.26017,4.26952,4.25470,4.26678,4955.3299
31.12.2015 06:00:00.000 GMT-0800,4.26677,4.29384,4.26477,4.27937,3292.6099999999997
31.12.2015 10:00:00.000 GMT-0800,4.25640,4.25785,4.25277,4.25472,2233.6400000000003
03.01.2016 14:00:00.000 GMT-0800,4.25516,4.27650,4.25139,4.27603,3228.34
03.01.2016 18:00:00.000 GMT-0800,4.27531,4.28938,4.26561,4.27968,3972.97
03.01.2016 22:00:00.000 GMT-0800,4.27958,4.29872,4.27885,4.29249,6641.610000000001
04.01.2016 02:00:00.000 GMT-0800,4.29246,4.30244,4.28443,4.29984,9734.5301
04.01.2016 06:00:00.000 GMT-0800,4.29985,4.30166,4.29105,4.30047,13818.509900000001
04.01.2016 10:00:00.000 GMT-0800,4.30046,4.30226,4.29302,4.29845,1458.38
