Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,70.13448,70.29737,69.93564,70.26867,11380.259900000001
01.12.2015 02:00:00.000 GMT-0800,70.26868,70.92728,70.21660,70.80427,14460.4599
01.12.2015 06:00:00.000 GMT-0800,70.80427,70.82387,70.43488,70.61697,20025.4103
01.12.2015 10:00:00.000 GMT-0800,70.61948,70.87622,70.61197,70.79752,9957.8498
01.12.2015 22:00:00.000 GMT-0800,70.67239,71.28448,70.53651,71.13556,13195.1597
02.12.2015 02:00:00.000 GMT-0800,71.13504,71.17918,70.80868,70.97407,14611.7703
02.12.2015 06:00:00.000 GMT-0800,70.97648,71.24947,70.43397,71.16447,19936.3999
02.12.2015 10:00:00.000 GMT-0800,71.16448,71.64126,71.13895,71.59517,12638.850100000001
02.12.2015 22:00:00.000 GMT-0800,71.32235,71.95447,71.30436,71.58746,12741.02
03.12.2015 02:00:00.000 GMT-0800,71.58724,73.67072,71.37378,73.32532,21509.4702
03.12.2015 06:00:00.000 GMT-0800,73.32250,74.41217,73.10591,73.90947,25155.3301
03.12.2015 10:00:00.000 GMT-0800,73.90948,74.24898,73.69073,73.76062,14894.0703
03.12.2015 22:00:00.000 GMT-0800,73.78305,73.99928,73.40447,73.47080,16401.7895
04.12.2015 02:00:00.000 GMT-0800,73.46945,74.19647,73.11820,74.19050,23548.4101
04.12.2015 06:00:00.000 GMT-0800,74.19098,74.66948,73.74228,74.01698,29630.659699999997
04.12.2015 10:00:00.000 GMT-0800,74.01697,74.11448,73.82697,73.97412,12853.0399
06.12.2015 22:00:00.000 GMT-0800,74.38573,74.61391,73.99422,74.09928,12928.1303
07.12.2015 02:00:00.000 GMT-0800,74.09528,74.80158,73.98161,74.75698,17856.6645
07.12.2015 06:00:00.000 GMT-0800,74.75697,75.12447,74.30348,75.05448,20605.1552
07.12.2015 10:00:00.000 GMT-0800,75.05447,75.42448,75.04947,75.33310,8499.0898
