Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,9.20866,9.21556,9.19445,9.20766,9751.4101
01.12.2015 02:00:00.000 GMT-0800,9.20756,9.21249,9.20135,9.20796,12459.750200000002
01.12.2015 06:00:00.000 GMT-0800,9.20773,9.23704,9.20376,9.22776,21128.620199999998
01.12.2015 10:00:00.000 GMT-0800,9.22793,9.23238,9.21737,9.22906,7496.74
01.12.2015 14:00:00.000 GMT-0800,9.23086,9.23086,9.22075,9.22316,3602.8999999999996
01.12.2015 18:00:00.000 GMT-0800,9.22426,9.23466,9.22226,9.23256,2251.7400000000002
01.12.2015 22:00:00.000 GMT-0800,9.23236,9.24337,9.22446,9.23398,9648.469799999999
02.12.2015 02:00:00.000 GMT-0800,9.23495,9.23495,9.20286,9.21265,13349.930199999999
02.12.2015 06:00:00.000 GMT-0800,9.21255,9.21417,9.19261,9.19806,13933.2799
02.12.2015 10:00:00.000 GMT-0800,9.19806,9.21352,9.19806,9.21066,7469.009899999999
02.12.2015 14:00:00.000 GMT-0800,9.21066,9.21506,9.19921,9.20686,5407.1801
02.12.2015 18:00:00.000 GMT-0800,9.20686,9.21516,9.20356,9.20846,8015.6801000000005
02.12.2015 22:00:00.000 GMT-0800,9.20846,9.22346,9.19185,9.19392,12940.560200000002
03.12.2015 02:00:00.000 GMT-0800,9.19406,9.28176,9.17870,9.25636,22357.3105
03.12.2015 06:00:00.000 GMT-0800,9.25466,9.27776,9.23466,9.26616,28634.0798
03.12.2015 10:00:00.000 GMT-0800,9.26626,9.28376,9.26576,9.27576,12591.4604
03.12.2015 14:00:00.000 GMT-0800,9.27416,9.28186,9.25562,9.27706,8109.64
03.12.2015 18:00:00.000 GMT-0800,9.27536,9.28446,9.26736,9.27596,6994.34
03.12.2015 22:00:00.000 GMT-0800,9.27626,9.28436,9.24646,9.25496,17788.2201
04.12.2015 02:00:00.000 GMT-0800,9.25486,9.28193,9.24390,9.26341,18283.27
04.12.2015 06:00:00.000 GMT-0800,9.26326,9.28248,9.22246,9.22652,23152.839900000003
04.12.2015 10:00:00.000 GMT-0800,9.22662,9.23636,9.21526,9.21826,12981.5803
06.12.2015 14:00:00.000 GMT-0800,9.23332,9.23926,9.22006,9.22331,9044.3801
06.12.2015 18:00:00.000 GMT-0800,9.22336,9.23376,9.22006,9.22726,5100.5802
06.12.2015 22:00:00.000 GMT-0800,9.22786,9.24026,9.18616,9.21485,19195.1603
07.12.2015 02:00:00.000 GMT-0800,9.21473,9.23555,9.20468,9.22712,17490.059800000003
07.12.2015 06:00:00.000 GMT-0800,9.22700,9.27033,9.22566,9.25830,16421.0399
07.12.2015 10:00:00.000 GMT-0800,9.25814,9.27685,9.25506,9.25666,13352.779999999999
07.12.2015 14:00:00.000 GMT-0800,9.25656,9.26633,9.24176,9.26236,5400.2
07.12.2015 18:00:00.000 GMT-0800,9.26236,9.27176,9.26186,9.27126,2610.1800000000003
07.12.2015 22:00:00.000 GMT-0800,9.27086,9.28026,9.24966,9.26167,17734.0804
08.12.2015 02:00:00.000 GMT-0800,9.26146,9.26706,9.21966,9.24846,19316.759700000002
08.12.2015 06:00:00.000 GMT-0800,9.24846,9.27333,9.24411,9.25371,19328.4603
08.12.2015 10:00:00.000 GMT-0800,9.25371,9.27454,9.25282,9.26766,8291.83
08.12.2015 14:00:00.000 GMT-0800,9.26656,9.27046,9.26066,9.26586,4006.01
08.12.2015 18:00:00.000 GMT-0800,9.26626,9.27406,9.26506,9.27236,4624.4
08.12.2015 22:00:00.000 GMT-0800,9.27256,9.27266,9.24956,9.25611,18346.309999999998
09.12.2015 02:00:00.000 GMT-0800,9.25611,9.26274,9.23196,9.23625,20608.58
09.12.2015 06:00:00.000 GMT-0800,9.23625,9.26710,9.23625,9.26608,17739.7901
09.12.2015 10:00:00.000 GMT-0800,9.26631,9.27990,9.25867,9.25926,14408.2003
09.12.2015 14:00:00.000 GMT-0800,9.26086,9.27365,9.26086,9.26896,6083.239999999999
09.12.2015 18:00:00.000 GMT-0800,9.26975,9.27406,9.26546,9.26576,1265.1599999999999
09.12.2015 22:00:00.000 GMT-0800,9.26576,9.30171,9.23946,9.29214,14338.64
10.12.2015 02:00:00.000 GMT-0800,9.29214,9.29821,9.26316,9.28185,14962.820199999998
10.12.2015 06:00:00.000 GMT-0800,9.28195,9.30715,9.27176,9.30692,16668.510000000002
10.12.2015 10:00:00.000 GMT-0800,9.30692,9.32266,9.30266,9.31646,7025.0299
10.12.2015 14:00:00.000 GMT-0800,9.31616,9.32193,9.31066,9.31656,3980.91
10.12.2015 18:00:00.000 GMT-0800,9.31656,9.32273,9.31486,9.31886,4044.2399000000005
10.12.2015 22:00:00.000 GMT-0800,9.31896,9.34204,9.29536,9.32305,12935.5997
11.12.2015 02:00:00.000 GMT-0800,9.32291,9.32459,9.29573,9.30409,16337.3799
11.12.2015 06:00:00.000 GMT-0800,9.30395,9.33788,9.30166,9.33760,13440.2198
11.12.2015 10:00:00.000 GMT-0800,9.33760,9.34076,9.32667,9.33966,4733.370100000001
13.12.2015 14:00:00.000 GMT-0800,9.33566,9.34676,9.33566,9.34126,4073.42
13.12.2015 18:00:00.000 GMT-0800,9.34225,9.34506,9.33595,9.34496,3345.44
13.12.2015 22:00:00.000 GMT-0800,9.34476,9.34626,9.32068,9.33524,13553.27
14.12.2015 02:00:00.000 GMT-0800,9.33541,9.37209,9.32839,9.35034,14606.080199999999
14.12.2015 06:00:00.000 GMT-0800,9.35025,9.37858,9.33584,9.33675,18813.3595
14.12.2015 10:00:00.000 GMT-0800,9.33686,9.35089,9.32036,9.32036,7702.6199
14.12.2015 14:00:00.000 GMT-0800,9.32036,9.32476,9.31995,9.32355,3576.37
