Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,3.07577,3.07720,3.06903,3.07127,12895.4799
01.12.2015 02:00:00.000 GMT-0800,3.07128,3.07149,3.05769,3.06542,16546.1897
01.12.2015 06:00:00.000 GMT-0800,3.06538,3.07464,3.05898,3.07168,17061.52
01.12.2015 10:00:00.000 GMT-0800,3.07168,3.07806,3.07024,3.07038,2503.09
01.12.2015 14:00:00.000 GMT-0800,3.07038,3.07132,3.06459,3.07019,1193.53
01.12.2015 18:00:00.000 GMT-0800,3.07009,3.07056,3.06690,3.06837,1314.75
01.12.2015 22:00:00.000 GMT-0800,3.06845,3.06892,3.05413,3.05876,13289.0398
02.12.2015 02:00:00.000 GMT-0800,3.05884,3.06099,3.04272,3.06044,16888.3101
02.12.2015 06:00:00.000 GMT-0800,3.06027,3.06472,3.05021,3.06171,18815.8701
02.12.2015 10:00:00.000 GMT-0800,3.06171,3.07409,3.05964,3.06515,6239.119900000001
02.12.2015 14:00:00.000 GMT-0800,3.06489,3.07349,3.06273,3.07149,1139.98
02.12.2015 18:00:00.000 GMT-0800,3.07139,3.07159,3.06059,3.06093,1840.5
02.12.2015 22:00:00.000 GMT-0800,3.06228,3.06519,3.04522,3.04829,13232
03.12.2015 02:00:00.000 GMT-0800,3.04827,3.13919,3.03509,3.11542,27280.9799
03.12.2015 06:00:00.000 GMT-0800,3.11550,3.16675,3.10406,3.15067,29889.389600000002
03.12.2015 10:00:00.000 GMT-0800,3.15084,3.16675,3.15081,3.15625,10570.899899999999
03.12.2015 14:00:00.000 GMT-0800,3.15625,3.15778,3.14218,3.14974,2412.67
03.12.2015 18:00:00.000 GMT-0800,3.14983,3.16019,3.14826,3.15871,1643.5900000000001
03.12.2015 22:00:00.000 GMT-0800,3.15872,3.16191,3.13015,3.15159,13914.990099999999
04.12.2015 02:00:00.000 GMT-0800,3.15165,3.17686,3.14394,3.16604,20285.4399
04.12.2015 06:00:00.000 GMT-0800,3.16604,3.17154,3.12954,3.13702,22922.609800000002
04.12.2015 10:00:00.000 GMT-0800,3.13702,3.14652,3.13089,3.14536,5123.5199999999995
06.12.2015 14:00:00.000 GMT-0800,3.12600,3.14645,3.12503,3.14352,1797.77
06.12.2015 18:00:00.000 GMT-0800,3.14372,3.14396,3.13408,3.13948,3199.84
06.12.2015 22:00:00.000 GMT-0800,3.13989,3.14158,3.12276,3.12832,12399.5098
07.12.2015 02:00:00.000 GMT-0800,3.12839,3.14121,3.12660,3.13883,15448.6003
07.12.2015 06:00:00.000 GMT-0800,3.13886,3.16531,3.13789,3.15863,17043.3799
07.12.2015 10:00:00.000 GMT-0800,3.15863,3.16336,3.15172,3.15402,5068.8699
07.12.2015 14:00:00.000 GMT-0800,3.15353,3.15834,3.15064,3.15702,1014.33
07.12.2015 18:00:00.000 GMT-0800,3.15703,3.16228,3.15634,3.16228,1506
07.12.2015 22:00:00.000 GMT-0800,3.16286,3.17261,3.15891,3.16432,13885.1299
08.12.2015 02:00:00.000 GMT-0800,3.16446,3.18247,3.15873,3.17976,15291.2002
08.12.2015 06:00:00.000 GMT-0800,3.17958,3.18153,3.16172,3.17197,18360.3398
08.12.2015 10:00:00.000 GMT-0800,3.17192,3.17527,3.16643,3.16689,6731.3699
08.12.2015 14:00:00.000 GMT-0800,3.16721,3.17157,3.16600,3.17143,1555.5
08.12.2015 18:00:00.000 GMT-0800,3.17148,3.17622,3.17039,3.17223,4980
08.12.2015 22:00:00.000 GMT-0800,3.17221,3.19016,3.16840,3.18446,14679.28
09.12.2015 02:00:00.000 GMT-0800,3.18528,3.20151,3.17746,3.19986,17582.0403
09.12.2015 06:00:00.000 GMT-0800,3.19992,3.20990,3.18720,3.20902,23071.1699
09.12.2015 10:00:00.000 GMT-0800,3.20911,3.23127,3.20738,3.21258,11687.120099999998
09.12.2015 14:00:00.000 GMT-0800,3.21181,3.21579,3.20406,3.20594,2144.54
