Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.05816,1.06188,1.05776,1.05976,38462.9301
01.12.2015 02:00:00.000 GMT-0800,1.05975,1.06112,1.05856,1.06060,41734.7197
01.12.2015 06:00:00.000 GMT-0800,1.06061,1.06369,1.06022,1.06155,70793.17970000001
01.12.2015 10:00:00.000 GMT-0800,1.06156,1.06370,1.06154,1.06320,21520.5098
01.12.2015 14:00:00.000 GMT-0800,1.06317,1.06363,1.06204,1.06210,15317.7497
01.12.2015 18:00:00.000 GMT-0800,1.06212,1.06241,1.06111,1.06121,14054.01
01.12.2015 22:00:00.000 GMT-0800,1.06121,1.06324,1.06074,1.06213,37504.7097
02.12.2015 02:00:00.000 GMT-0800,1.06213,1.06213,1.05782,1.05805,55798.0595
02.12.2015 06:00:00.000 GMT-0800,1.05804,1.05979,1.05508,1.05848,63953.5411
02.12.2015 10:00:00.000 GMT-0800,1.05849,1.06267,1.05810,1.06132,30618.280499999997
02.12.2015 14:00:00.000 GMT-0800,1.06132,1.06178,1.06013,1.06023,15171.9897
02.12.2015 18:00:00.000 GMT-0800,1.06023,1.06025,1.05875,1.05876,17208.7795
02.12.2015 22:00:00.000 GMT-0800,1.05876,1.05949,1.05528,1.05609,37836.870200000005
03.12.2015 02:00:00.000 GMT-0800,1.05607,1.08924,1.05220,1.08245,87380.9679
03.12.2015 06:00:00.000 GMT-0800,1.08240,1.09422,1.07890,1.09018,90196.93059999999
03.12.2015 10:00:00.000 GMT-0800,1.09020,1.09812,1.09020,1.09387,42234.908599999995
03.12.2015 14:00:00.000 GMT-0800,1.09387,1.09562,1.08997,1.09098,27066.739999999998
03.12.2015 18:00:00.000 GMT-0800,1.09098,1.09460,1.09043,1.09388,27382.8198
03.12.2015 22:00:00.000 GMT-0800,1.09388,1.09450,1.08588,1.08899,54398.0591
04.12.2015 02:00:00.000 GMT-0800,1.08898,1.09482,1.08553,1.09259,62625.6406
04.12.2015 06:00:00.000 GMT-0800,1.09256,1.09507,1.08361,1.08685,76032.16010000001
04.12.2015 10:00:00.000 GMT-0800,1.08684,1.08854,1.08509,1.08818,22095.08
06.12.2015 14:00:00.000 GMT-0800,1.08703,1.08871,1.08631,1.08676,17374.110099999998
06.12.2015 18:00:00.000 GMT-0800,1.08678,1.08696,1.08540,1.08613,16095.579899999999
06.12.2015 22:00:00.000 GMT-0800,1.08614,1.08726,1.08113,1.08168,36295.2095
07.12.2015 02:00:00.000 GMT-0800,1.08170,1.08261,1.07960,1.08172,39301.6796
07.12.2015 06:00:00.000 GMT-0800,1.08172,1.08599,1.08052,1.08510,51991.6709
07.12.2015 10:00:00.000 GMT-0800,1.08510,1.08601,1.08320,1.08369,22287.7098
07.12.2015 14:00:00.000 GMT-0800,1.08369,1.08484,1.08301,1.08468,12414.7201
07.12.2015 18:00:00.000 GMT-0800,1.08468,1.08606,1.08431,1.08606,17598.2295
07.12.2015 22:00:00.000 GMT-0800,1.08605,1.08824,1.08531,1.08536,40298.8101
08.12.2015 02:00:00.000 GMT-0800,1.08536,1.08965,1.08406,1.08941,50878.4502
08.12.2015 06:00:00.000 GMT-0800,1.08942,1.09002,1.08659,1.08892,54602.7294
08.12.2015 10:00:00.000 GMT-0800,1.08892,1.09023,1.08846,1.08916,26436.289500000003
08.12.2015 14:00:00.000 GMT-0800,1.08915,1.08995,1.08791,1.08987,13917.3896
08.12.2015 18:00:00.000 GMT-0800,1.08989,1.09209,1.08936,1.09074,14822.9999
08.12.2015 22:00:00.000 GMT-0800,1.09074,1.09375,1.09063,1.09309,39209.640699999996
09.12.2015 02:00:00.000 GMT-0800,1.09308,1.09758,1.09161,1.09713,43124.8301
09.12.2015 06:00:00.000 GMT-0800,1.09715,1.10046,1.09501,1.10025,64969.0294
09.12.2015 10:00:00.000 GMT-0800,1.10028,1.10426,1.09982,1.10238,42193.3795
09.12.2015 14:00:00.000 GMT-0800,1.10240,1.10245,1.10064,1.10069,18320.78
09.12.2015 18:00:00.000 GMT-0800,1.10069,1.10142,1.10011,1.10012,13870.720000000001
09.12.2015 22:00:00.000 GMT-0800,1.10013,1.10026,1.09612,1.09680,36025.2797
10.12.2015 02:00:00.000 GMT-0800,1.09681,1.09725,1.09336,1.09710,47811.371199999994
10.12.2015 06:00:00.000 GMT-0800,1.09710,1.09713,1.09252,1.09470,56446.3486
10.12.2015 10:00:00.000 GMT-0800,1.09470,1.09567,1.09300,1.09402,22593.6904
10.12.2015 14:00:00.000 GMT-0800,1.09405,1.09476,1.09265,1.09323,15567.77
10.12.2015 18:00:00.000 GMT-0800,1.09322,1.09439,1.09273,1.09372,9538.6401
10.12.2015 22:00:00.000 GMT-0800,1.09371,1.09702,1.09351,1.09434,33015.0196
11.12.2015 02:00:00.000 GMT-0800,1.09434,1.09780,1.09347,1.09524,46247.29
11.12.2015 06:00:00.000 GMT-0800,1.09525,1.10307,1.09519,1.09942,69960.3506
11.12.2015 10:00:00.000 GMT-0800,1.09942,1.09992,1.09793,1.09928,22278.5107
13.12.2015 14:00:00.000 GMT-0800,1.09836,1.09926,1.09673,1.09702,25129.0398
13.12.2015 18:00:00.000 GMT-0800,1.09701,1.09745,1.09542,1.09645,18173.2998
13.12.2015 22:00:00.000 GMT-0800,1.09641,1.09718,1.09455,1.09582,36199.1498
14.12.2015 02:00:00.000 GMT-0800,1.09581,1.09910,1.09499,1.09864,51756.0908
14.12.2015 06:00:00.000 GMT-0800,1.09864,1.10485,1.09772,1.10149,70357.20989999999
14.12.2015 10:00:00.000 GMT-0800,1.10150,1.10243,1.09844,1.09913,29342.3799
14.12.2015 14:00:00.000 GMT-0800,1.09913,1.10136,1.09891,1.10114,19276.2496
14.12.2015 18:00:00.000 GMT-0800,1.10116,1.10300,1.10013,1.10278,14338.6304
14.12.2015 22:00:00.000 GMT-0800,1.10276,1.10596,1.10106,1.10259,42378.7608
15.12.2015 02:00:00.000 GMT-0800,1.10254,1.10381,1.09706,1.09711,52072.5703
15.12.2015 06:00:00.000 GMT-0800,1.09713,1.09744,1.09046,1.09242,58212.9404
15.12.2015 10:00:00.000 GMT-0800,1.09238,1.09340,1.09091,1.09284,25696.1602
15.12.2015 14:00:00.000 GMT-0800,1.09282,1.09458,1.09225,1.09422,14412.0798
15.12.2015 18:00:00.000 GMT-0800,1.09426,1.09485,1.09318,1.09434,15797.739699999998
15.12.2015 22:00:00.000 GMT-0800,1.09433,1.09588,1.09153,1.09213,39848.2801
16.12.2015 02:00:00.000 GMT-0800,1.09214,1.09414,1.09127,1.09317,44250.3105
16.12.2015 06:00:00.000 GMT-0800,1.09317,1.09516,1.09219,1.09261,50976.8301
16.12.2015 10:00:00.000 GMT-0800,1.09260,1.10116,1.08879,1.09116,66811.4908
16.12.2015 14:00:00.000 GMT-0800,1.09116,1.09134,1.08521,1.08521,24927.0898
16.12.2015 18:00:00.000 GMT-0800,1.08521,1.08562,1.08320,1.08542,22883.3599
16.12.2015 22:00:00.000 GMT-0800,1.08543,1.08782,1.08502,1.08550,39734.04
17.12.2015 02:00:00.000 GMT-0800,1.08552,1.08630,1.08314,1.08571,39703.5401
17.12.2015 06:00:00.000 GMT-0800,1.08571,1.08709,1.08026,1.08189,58793.6504
17.12.2015 10:00:00.000 GMT-0800,1.08189,1.08272,1.08033,1.08254,23393.6897
17.12.2015 14:00:00.000 GMT-0800,1.08261,1.08458,1.08245,1.08335,15417.510299999998
17.12.2015 18:00:00.000 GMT-0800,1.08335,1.08537,1.08281,1.08516,31098.6499
17.12.2015 22:00:00.000 GMT-0800,1.08515,1.08685,1.08049,1.08237,42961.270599999996
18.12.2015 02:00:00.000 GMT-0800,1.08237,1.08462,1.08152,1.08167,39001.219600000004
18.12.2015 06:00:00.000 GMT-0800,1.08166,1.08633,1.08086,1.08369,50853.4697
18.12.2015 10:00:00.000 GMT-0800,1.08370,1.08745,1.08333,1.08632,23707.75
20.12.2015 14:00:00.000 GMT-0800,1.08539,1.08830,1.08483,1.08716,19583.0003
20.12.2015 18:00:00.000 GMT-0800,1.08716,1.08747,1.08641,1.08730,19758.2896
20.12.2015 22:00:00.000 GMT-0800,1.08731,1.08831,1.08507,1.08539,36491.9106
21.12.2015 02:00:00.000 GMT-0800,1.08540,1.08972,1.08479,1.08965,36950.0899
21.12.2015 06:00:00.000 GMT-0800,1.08964,1.09389,1.08830,1.09113,53292.450300000004
21.12.2015 10:00:00.000 GMT-0800,1.09113,1.09296,1.09098,1.09142,17640.389900000002
21.12.2015 14:00:00.000 GMT-0800,1.09143,1.09188,1.09060,1.09185,16907.460199999998
21.12.2015 18:00:00.000 GMT-0800,1.09185,1.09230,1.09095,1.09097,15726.0197
21.12.2015 22:00:00.000 GMT-0800,1.09098,1.09440,1.09022,1.09351,29184.7503
22.12.2015 02:00:00.000 GMT-0800,1.09350,1.09608,1.09262,1.09558,35639.970199999996
22.12.2015 06:00:00.000 GMT-0800,1.09558,1.09842,1.09484,1.09707,46779.2099
22.12.2015 10:00:00.000 GMT-0800,1.09707,1.09708,1.09466,1.09560,16917.750200000002
22.12.2015 14:00:00.000 GMT-0800,1.09563,1.09569,1.09410,1.09427,14615.249399999999
22.12.2015 18:00:00.000 GMT-0800,1.09427,1.09479,1.09328,1.09400,11951.2502
22.12.2015 22:00:00.000 GMT-0800,1.09401,1.09423,1.09146,1.09223,24744.2008
23.12.2015 02:00:00.000 GMT-0800,1.09223,1.09346,1.08996,1.09007,27473.5703
23.12.2015 06:00:00.000 GMT-0800,1.09005,1.09134,1.08700,1.08818,37161.0795
23.12.2015 10:00:00.000 GMT-0800,1.08818,1.09239,1.08797,1.09111,20398.100000000002
23.12.2015 14:00:00.000 GMT-0800,1.09111,1.09213,1.09032,1.09165,12731.7098
23.12.2015 18:00:00.000 GMT-0800,1.09164,1.09414,1.09164,1.09367,13070.6598
23.12.2015 22:00:00.000 GMT-0800,1.09367,1.09673,1.09292,1.09598,16530.8201
24.12.2015 02:00:00.000 GMT-0800,1.09598,1.09647,1.09322,1.09426,17039.9704
24.12.2015 06:00:00.000 GMT-0800,1.09427,1.09620,1.09350,1.09522,19602.2998
