Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.50998,1.51255,1.50788,1.50846,27299.5395
01.12.2015 02:00:00.000 GMT-0800,1.50845,1.50948,1.50593,1.50651,23016.2398
01.12.2015 06:00:00.000 GMT-0800,1.50651,1.50950,1.50503,1.50733,35729.390199999994
01.12.2015 10:00:00.000 GMT-0800,1.50734,1.50865,1.50700,1.50805,15115.4902
01.12.2015 14:00:00.000 GMT-0800,1.50805,1.50817,1.50679,1.50723,11792.3401
01.12.2015 18:00:00.000 GMT-0800,1.50724,1.50726,1.50619,1.50628,8897.8
01.12.2015 22:00:00.000 GMT-0800,1.50628,1.50806,1.50325,1.50395,25576.1397
02.12.2015 02:00:00.000 GMT-0800,1.50396,1.50584,1.49936,1.49950,28608.4404
02.12.2015 06:00:00.000 GMT-0800,1.49949,1.50111,1.48946,1.49315,43839.5498
02.12.2015 10:00:00.000 GMT-0800,1.49317,1.49563,1.49264,1.49511,22562.76
02.12.2015 14:00:00.000 GMT-0800,1.49511,1.49512,1.49329,1.49347,11136.0798
02.12.2015 18:00:00.000 GMT-0800,1.49348,1.49354,1.49210,1.49218,11334.91
02.12.2015 22:00:00.000 GMT-0800,1.49217,1.49495,1.49044,1.49337,29259.6604
03.12.2015 02:00:00.000 GMT-0800,1.49336,1.50690,1.49209,1.50422,57278.1606
03.12.2015 06:00:00.000 GMT-0800,1.50426,1.51220,1.50229,1.51004,59219.1504
03.12.2015 10:00:00.000 GMT-0800,1.51006,1.51590,1.50989,1.51425,30074.0699
03.12.2015 14:00:00.000 GMT-0800,1.51425,1.51559,1.51187,1.51256,17229.499499999998
03.12.2015 18:00:00.000 GMT-0800,1.51256,1.51324,1.51134,1.51233,14818.6701
03.12.2015 22:00:00.000 GMT-0800,1.51232,1.51367,1.50778,1.51239,36472.7803
04.12.2015 02:00:00.000 GMT-0800,1.51238,1.51559,1.50804,1.51136,49848.668900000004
04.12.2015 06:00:00.000 GMT-0800,1.51137,1.51497,1.50820,1.50996,58149.579000000005
04.12.2015 10:00:00.000 GMT-0800,1.50994,1.51164,1.50956,1.51032,18482.1401
06.12.2015 14:00:00.000 GMT-0800,1.51070,1.51139,1.50977,1.51010,14106.580100000001
06.12.2015 18:00:00.000 GMT-0800,1.51021,1.51039,1.50945,1.50979,10914.2303
