Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,15.85768,15.88297,15.84578,15.87727,22323
01.12.2015 02:00:00.000 GMT-0800,15.87707,15.89018,15.87147,15.88127,16245.75
01.12.2015 06:00:00.000 GMT-0800,15.88077,15.88757,15.83838,15.85537,29276.25
01.12.2015 10:00:00.000 GMT-0800,15.85517,15.85518,15.83647,15.84727,17366.25
01.12.2015 14:00:00.000 GMT-0800,15.84858,15.85991,15.84490,15.85708,5799
01.12.2015 18:00:00.000 GMT-0800,15.85707,15.87997,15.85677,15.87817,9282.75
01.12.2015 22:00:00.000 GMT-0800,15.87827,15.89628,15.87047,15.88667,19787.25
02.12.2015 02:00:00.000 GMT-0800,15.88788,15.91738,15.88167,15.91568,20811
02.12.2015 06:00:00.000 GMT-0800,15.91518,15.95577,15.90667,15.93491,29070
02.12.2015 10:00:00.000 GMT-0800,15.93490,15.93937,15.88217,15.89991,27993.75
02.12.2015 14:00:00.000 GMT-0800,15.90127,15.91188,15.89697,15.90297,8658.25
02.12.2015 18:00:00.000 GMT-0800,15.90368,15.92958,15.90208,15.92490,9875.5
02.12.2015 22:00:00.000 GMT-0800,15.92490,15.94308,15.91807,15.93137,19991.25
03.12.2015 02:00:00.000 GMT-0800,15.93138,15.93407,15.85177,15.88617,37083.75
03.12.2015 06:00:00.000 GMT-0800,15.88557,15.92018,15.82647,15.83898,47378.25
03.12.2015 10:00:00.000 GMT-0800,15.83858,15.84177,15.77908,15.81738,38447.25
03.12.2015 14:00:00.000 GMT-0800,15.81990,15.85078,15.80447,15.82990,14024.5
03.12.2015 18:00:00.000 GMT-0800,15.82890,15.83491,15.80191,15.81890,7314.75
03.12.2015 22:00:00.000 GMT-0800,15.81848,15.84748,15.81490,15.83868,23787.75
04.12.2015 02:00:00.000 GMT-0800,15.83797,15.91767,15.83567,15.85369,30657
04.12.2015 06:00:00.000 GMT-0800,15.85337,15.90337,15.83769,15.89397,36870
04.12.2015 10:00:00.000 GMT-0800,15.89427,15.90777,15.88108,15.88490,14749.5
06.12.2015 14:00:00.000 GMT-0800,15.89191,15.90190,15.88869,15.90168,7657.25
06.12.2015 18:00:00.000 GMT-0800,15.90167,15.91191,15.89937,15.90517,8539.5
06.12.2015 22:00:00.000 GMT-0800,15.90491,15.92858,15.90190,15.92337,17040.75
07.12.2015 02:00:00.000 GMT-0800,15.92338,15.93167,15.91338,15.92507,17686.5
07.12.2015 06:00:00.000 GMT-0800,15.92498,15.92807,15.89598,15.90138,31964.25
07.12.2015 10:00:00.000 GMT-0800,15.90148,15.91691,15.89727,15.91590,21411.75
07.12.2015 14:00:00.000 GMT-0800,15.91408,15.91918,15.89291,15.89488,10988.5
07.12.2015 18:00:00.000 GMT-0800,15.89487,15.89487,15.87690,15.87958,7618.5
07.12.2015 22:00:00.000 GMT-0800,15.88058,15.88757,15.86977,15.87870,23301.75
08.12.2015 02:00:00.000 GMT-0800,15.87870,15.89418,15.84418,15.84637,26573.25
08.12.2015 06:00:00.000 GMT-0800,15.84617,15.87008,15.83337,15.86168,34782
08.12.2015 10:00:00.000 GMT-0800,15.86208,15.87987,15.85007,15.86097,23205
08.12.2015 14:00:00.000 GMT-0800,15.85857,15.87591,15.84848,15.85417,8563.5
08.12.2015 18:00:00.000 GMT-0800,15.85418,15.85418,15.82290,15.83557,8556.75
08.12.2015 22:00:00.000 GMT-0800,15.83557,15.84838,15.82390,15.83168,23275.5
09.12.2015 02:00:00.000 GMT-0800,15.83198,15.83537,15.73990,15.75327,29498.25
09.12.2015 06:00:00.000 GMT-0800,15.75227,15.77427,15.66047,15.66091,45776.25
09.12.2015 10:00:00.000 GMT-0800,15.66091,15.67538,15.62038,15.66777,40289.25
09.12.2015 14:00:00.000 GMT-0800,15.67090,15.70838,15.64790,15.68168,17687
09.12.2015 18:00:00.000 GMT-0800,15.68168,15.70191,15.67078,15.69617,10631.25
09.12.2015 22:00:00.000 GMT-0800,15.69591,15.72268,15.68917,15.70798,23244.75
10.12.2015 02:00:00.000 GMT-0800,15.70808,15.71367,15.64327,15.65037,31739.25
10.12.2015 06:00:00.000 GMT-0800,15.65058,15.69137,15.65037,15.66987,38500.5
10.12.2015 10:00:00.000 GMT-0800,15.67027,15.69758,15.66158,15.68691,19675.5
10.12.2015 14:00:00.000 GMT-0800,15.68691,15.76091,15.68690,15.75291,11552.25
10.12.2015 18:00:00.000 GMT-0800,15.75291,15.76991,15.73937,15.74877,9873.75
10.12.2015 22:00:00.000 GMT-0800,15.74877,15.74891,15.71797,15.73278,22820.25
11.12.2015 02:00:00.000 GMT-0800,15.73238,15.73238,15.64818,15.67747,33259.5
11.12.2015 06:00:00.000 GMT-0800,15.67707,15.67708,15.55558,15.58678,47975.25
11.12.2015 10:00:00.000 GMT-0800,15.58678,15.60421,15.56590,15.60421,29010.75
13.12.2015 14:00:00.000 GMT-0800,15.61690,15.62258,15.56290,15.60590,9822.5
13.12.2015 18:00:00.000 GMT-0800,15.60548,15.63768,15.59890,15.63547,12459.75
13.12.2015 22:00:00.000 GMT-0800,15.63547,15.65791,15.61697,15.62627,25405.5
14.12.2015 02:00:00.000 GMT-0800,15.62607,15.64057,15.56477,15.59007,34006.5
14.12.2015 06:00:00.000 GMT-0800,15.59037,15.60018,15.52567,15.57198,49311.75
14.12.2015 10:00:00.000 GMT-0800,15.57228,15.61718,15.56557,15.61270,27464.25
14.12.2015 14:00:00.000 GMT-0800,15.61491,15.63491,15.59690,15.60697,13027.25
14.12.2015 18:00:00.000 GMT-0800,15.60698,15.62407,15.58391,15.58838,8271
14.12.2015 22:00:00.000 GMT-0800,15.58891,15.61267,15.55687,15.60538,26868
15.12.2015 02:00:00.000 GMT-0800,15.60547,15.64807,15.60367,15.64397,32279.25
15.12.2015 06:00:00.000 GMT-0800,15.64377,15.70878,15.63828,15.70878,37313.25
15.12.2015 10:00:00.000 GMT-0800,15.70897,15.71358,15.69291,15.69969,15192.75
15.12.2015 14:00:00.000 GMT-0800,15.69668,15.72691,15.68657,15.70517,10432.5
15.12.2015 18:00:00.000 GMT-0800,15.70518,15.73382,15.69290,15.71891,7464.75
15.12.2015 22:00:00.000 GMT-0800,15.71890,15.75438,15.71497,15.73370,25311.75
16.12.2015 02:00:00.000 GMT-0800,15.73469,15.74898,15.70558,15.72607,25891.5
16.12.2015 06:00:00.000 GMT-0800,15.72648,15.73067,15.70967,15.71948,28740
16.12.2015 10:00:00.000 GMT-0800,15.71987,15.79490,15.65891,15.76738,37953.75
16.12.2015 14:00:00.000 GMT-0800,15.76667,15.81691,15.76608,15.81290,12917.75
16.12.2015 18:00:00.000 GMT-0800,15.81290,15.82191,15.78898,15.79718,7656
16.12.2015 22:00:00.000 GMT-0800,15.79718,15.80283,15.76768,15.79258,24516
17.12.2015 02:00:00.000 GMT-0800,15.79308,15.81298,15.77328,15.80818,22490.25
17.12.2015 06:00:00.000 GMT-0800,15.80748,15.83967,15.80147,15.81938,32514.75
17.12.2015 10:00:00.000 GMT-0800,15.81957,15.84888,15.80590,15.80791,22329
17.12.2015 14:00:00.000 GMT-0800,15.80791,15.81458,15.78958,15.79877,13870.5
17.12.2015 18:00:00.000 GMT-0800,15.79878,15.92913,15.71237,15.72097,34476
17.12.2015 22:00:00.000 GMT-0800,15.72027,15.75128,15.61427,15.66457,44260.5
18.12.2015 02:00:00.000 GMT-0800,15.66438,15.68947,15.61469,15.67008,31403.25
18.12.2015 06:00:00.000 GMT-0800,15.67017,15.70367,15.62990,15.66027,37875
18.12.2015 10:00:00.000 GMT-0800,15.65998,15.66467,15.62491,15.62491,25834.5
20.12.2015 14:00:00.000 GMT-0800,15.64218,15.65558,15.61127,15.62690,12557.5
20.12.2015 18:00:00.000 GMT-0800,15.62690,15.67197,15.62127,15.65847,13116
20.12.2015 22:00:00.000 GMT-0800,15.65788,15.67138,15.63917,15.66278,25247.25
21.12.2015 02:00:00.000 GMT-0800,15.66218,15.66278,15.62969,15.63347,20563.5
21.12.2015 06:00:00.000 GMT-0800,15.63408,15.64770,15.58569,15.62418,31707
21.12.2015 10:00:00.000 GMT-0800,15.62447,15.63591,15.60747,15.63457,11919
21.12.2015 14:00:00.000 GMT-0800,15.62908,15.64718,15.61847,15.63167,11618.5
21.12.2015 18:00:00.000 GMT-0800,15.63168,15.64588,15.63138,15.63368,9905.25
21.12.2015 22:00:00.000 GMT-0800,15.63390,15.64137,15.58527,15.60438,26383.5
22.12.2015 02:00:00.000 GMT-0800,15.60437,15.61470,15.58669,15.60370,28524.75
22.12.2015 06:00:00.000 GMT-0800,15.60369,15.61438,15.57027,15.60667,26157
22.12.2015 10:00:00.000 GMT-0800,15.60638,15.62191,15.60478,15.61657,11319.75
22.12.2015 14:00:00.000 GMT-0800,15.61490,15.62491,15.60077,15.60748,4541
22.12.2015 18:00:00.000 GMT-0800,15.60798,15.61427,15.60337,15.61038,5525.25
22.12.2015 22:00:00.000 GMT-0800,15.61037,15.61658,15.59690,15.61008,15207.75
23.12.2015 02:00:00.000 GMT-0800,15.61018,15.61047,15.58898,15.59678,16347
23.12.2015 06:00:00.000 GMT-0800,15.59687,15.61388,15.59237,15.59928,20872.5
23.12.2015 10:00:00.000 GMT-0800,15.59938,15.60228,15.58690,15.59890,10269.75
23.12.2015 14:00:00.000 GMT-0800,15.60091,15.60878,15.58708,15.59367,9665.25
23.12.2015 18:00:00.000 GMT-0800,15.59368,15.59368,15.54637,15.54838,10075.5
23.12.2015 22:00:00.000 GMT-0800,15.54877,15.56398,15.51397,15.52770,18475.5
24.12.2015 02:00:00.000 GMT-0800,15.52770,15.54507,15.51308,15.52578,18383.25
24.12.2015 06:00:00.000 GMT-0800,15.52618,15.53277,15.51170,15.51769,14567.25
24.12.2015 10:00:00.000 GMT-0800,15.51769,15.53137,15.51269,15.53048,2136.75
24.12.2015 14:00:00.000 GMT-0800,15.52737,15.52998,15.49707,15.50607,275.25
24.12.2015 18:00:00.000 GMT-0800,15.50607,15.51108,15.49028,15.49718,435
24.12.2015 22:00:00.000 GMT-0800,15.49457,15.49977,15.49197,15.49327,56.25
27.12.2015 14:00:00.000 GMT-0800,15.52091,15.54991,15.51170,15.53837,9943.5
27.12.2015 18:00:00.000 GMT-0800,15.53787,15.54797,15.52617,15.53397,11017.5
27.12.2015 22:00:00.000 GMT-0800,15.53191,15.56148,15.53169,15.54707,13815
28.12.2015 02:00:00.000 GMT-0800,15.54728,15.55537,15.53057,15.53657,12180
28.12.2015 06:00:00.000 GMT-0800,15.53667,15.53997,15.50738,15.52598,15628.5
28.12.2015 10:00:00.000 GMT-0800,15.52607,15.53467,15.52188,15.53448,5826
28.12.2015 14:00:00.000 GMT-0800,15.53191,15.53591,15.51258,15.52518,6604.5
28.12.2015 18:00:00.000 GMT-0800,15.52517,15.53208,15.51537,15.52398,6732
28.12.2015 22:00:00.000 GMT-0800,15.52397,15.54667,15.51988,15.54007,12174.75
29.12.2015 02:00:00.000 GMT-0800,15.54028,15.54328,15.52837,15.54148,10456.5
29.12.2015 06:00:00.000 GMT-0800,15.54198,15.54778,15.53127,15.53591,16092.25
29.12.2015 10:00:00.000 GMT-0800,15.53577,15.54691,15.52517,15.54191,6637.75
29.12.2015 14:00:00.000 GMT-0800,15.54690,15.55691,15.54090,15.54868,3238.75
29.12.2015 18:00:00.000 GMT-0800,15.54990,15.55198,15.52737,15.53017,6358.5
29.12.2015 22:00:00.000 GMT-0800,15.53017,15.54587,15.52690,15.54438,14484.75
30.12.2015 02:00:00.000 GMT-0800,15.54437,15.56238,15.53477,15.55497,18042.75
30.12.2015 06:00:00.000 GMT-0800,15.55527,15.56207,15.54648,15.55907,23166
30.12.2015 10:00:00.000 GMT-0800,15.55891,15.56547,15.54090,15.54791,6860.25
30.12.2015 14:00:00.000 GMT-0800,15.54491,15.55391,15.53477,15.53798,3069.75
30.12.2015 18:00:00.000 GMT-0800,15.53787,15.54288,15.52867,15.53148,3918
30.12.2015 22:00:00.000 GMT-0800,15.53218,15.53908,15.52327,15.52838,9219.75
31.12.2015 02:00:00.000 GMT-0800,15.52837,15.53898,15.52387,15.52870,13185.75
31.12.2015 06:00:00.000 GMT-0800,15.52870,15.53477,15.48070,15.50737,23577.75
31.12.2015 10:00:00.000 GMT-0800,15.50817,15.52391,15.49807,15.51791,8328.75
03.01.2016 14:00:00.000 GMT-0800,15.50938,15.54157,15.47927,15.48157,12057
03.01.2016 18:00:00.000 GMT-0800,15.48158,15.48337,15.38147,15.39957,25214.25
03.01.2016 22:00:00.000 GMT-0800,15.39990,15.41208,15.31217,15.33707,38430
04.01.2016 02:00:00.000 GMT-0800,15.33648,15.39798,15.31548,15.38537,30146.25
04.01.2016 06:00:00.000 GMT-0800,15.38538,15.40738,15.35218,15.40438,34083.75
04.01.2016 10:00:00.000 GMT-0800,15.40438,15.41638,15.38678,15.40790,18876
04.01.2016 14:00:00.000 GMT-0800,15.40667,15.43018,15.36369,15.42391,15050
04.01.2016 18:00:00.000 GMT-0800,15.42647,15.44227,15.39390,15.40598,15844.5
04.01.2016 22:00:00.000 GMT-0800,15.40538,15.42717,15.34617,15.35858,33024
05.01.2016 02:00:00.000 GMT-0800,15.35857,15.37317,15.32467,15.36897,34746.75
05.01.2016 06:00:00.000 GMT-0800,15.36937,15.38678,15.32991,15.34957,35152.5
05.01.2016 10:00:00.000 GMT-0800,15.34957,15.35948,15.33248,15.35790,17124.75
05.01.2016 14:00:00.000 GMT-0800,15.35791,15.37178,15.26640,15.29508,24796
05.01.2016 18:00:00.000 GMT-0800,15.29438,15.32688,15.27107,15.31857,30419.25
05.01.2016 22:00:00.000 GMT-0800,15.31817,15.32468,15.27527,15.28370,33019.5
06.01.2016 02:00:00.000 GMT-0800,15.28370,15.31217,15.25269,15.31217,37572.75
06.01.2016 06:00:00.000 GMT-0800,15.31177,15.31808,15.28518,15.29838,32118.75
06.01.2016 10:00:00.000 GMT-0800,15.29837,15.30698,15.26517,15.27990,30270.75
06.01.2016 14:00:00.000 GMT-0800,15.28077,15.31697,15.17590,15.20191,30973.75
06.01.2016 18:00:00.000 GMT-0800,15.20190,15.25057,15.19669,15.22157,29810.25
06.01.2016 22:00:00.000 GMT-0800,15.22127,15.24648,15.13148,15.16087,48265.5
07.01.2016 02:00:00.000 GMT-0800,15.16248,15.19647,15.14677,15.19570,45471.75
07.01.2016 06:00:00.000 GMT-0800,15.19569,15.25148,15.18857,15.21057,56063.25
07.01.2016 10:00:00.000 GMT-0800,15.21091,15.21107,15.13418,15.16390,24449.25
07.01.2016 14:00:00.000 GMT-0800,15.16477,15.29290,15.15038,15.24890,27513
07.01.2016 18:00:00.000 GMT-0800,15.24990,15.26418,15.23057,15.25088,23164.5
07.01.2016 22:00:00.000 GMT-0800,15.25088,15.28397,15.23067,15.24837,35104.5
08.01.2016 02:00:00.000 GMT-0800,15.24857,15.30528,15.23037,15.24068,41279.25
08.01.2016 06:00:00.000 GMT-0800,15.24108,15.24787,15.12569,15.17190,64749.75
