Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,0.66296,0.66672,0.66264,0.66552,16088.5104
01.12.2015 02:00:00.000 GMT-0800,0.66554,0.66554,0.66389,0.66509,14018.790099999998
01.12.2015 06:00:00.000 GMT-0800,0.66509,0.66797,0.66435,0.66709,21063.3399
01.12.2015 10:00:00.000 GMT-0800,0.66711,0.66875,0.66695,0.66739,9720.4401
01.12.2015 14:00:00.000 GMT-0800,0.66738,0.66795,0.66531,0.66589,13562.7398
01.12.2015 18:00:00.000 GMT-0800,0.66590,0.66669,0.66565,0.66604,11689.23
01.12.2015 22:00:00.000 GMT-0800,0.66603,0.66751,0.66596,0.66680,16266.42
02.12.2015 02:00:00.000 GMT-0800,0.66680,0.66680,0.66404,0.66420,16019.27
02.12.2015 06:00:00.000 GMT-0800,0.66419,0.66570,0.66129,0.66304,23589.380400000002
02.12.2015 10:00:00.000 GMT-0800,0.66299,0.66470,0.66267,0.66378,13428.050199999998
02.12.2015 14:00:00.000 GMT-0800,0.66360,0.66445,0.66280,0.66396,12789.6301
02.12.2015 18:00:00.000 GMT-0800,0.66395,0.66584,0.66353,0.66529,12074.4001
02.12.2015 22:00:00.000 GMT-0800,0.66530,0.66623,0.66472,0.66576,17283.4702
03.12.2015 02:00:00.000 GMT-0800,0.66574,0.66709,0.66322,0.66614,23246.3594
03.12.2015 06:00:00.000 GMT-0800,0.66613,0.66638,0.66075,0.66577,31505.3793
03.12.2015 10:00:00.000 GMT-0800,0.66575,0.67057,0.66574,0.66847,15815.350299999998
03.12.2015 14:00:00.000 GMT-0800,0.66854,0.66955,0.66531,0.66779,11189.860200000001
03.12.2015 18:00:00.000 GMT-0800,0.66780,0.66937,0.66695,0.66860,10163.139899999998
03.12.2015 22:00:00.000 GMT-0800,0.66861,0.67007,0.66743,0.66802,16214.210200000001
04.12.2015 02:00:00.000 GMT-0800,0.66802,0.66992,0.66345,0.66953,19315.239500000003
04.12.2015 06:00:00.000 GMT-0800,0.66952,0.67875,0.66820,0.67411,36393.06
04.12.2015 10:00:00.000 GMT-0800,0.67411,0.67479,0.67348,0.67431,10670.240099999999
06.12.2015 14:00:00.000 GMT-0800,0.67381,0.67422,0.67087,0.67147,18109.1199
06.12.2015 18:00:00.000 GMT-0800,0.67147,0.67151,0.66899,0.66965,11171.359900000001
06.12.2015 22:00:00.000 GMT-0800,0.66966,0.67037,0.66717,0.66717,14192.14
07.12.2015 02:00:00.000 GMT-0800,0.66717,0.66781,0.66447,0.66512,15753.25
07.12.2015 06:00:00.000 GMT-0800,0.66512,0.66570,0.66376,0.66438,20389.899600000004
07.12.2015 10:00:00.000 GMT-0800,0.66441,0.66505,0.66267,0.66421,9917.44
07.12.2015 14:00:00.000 GMT-0800,0.66423,0.66492,0.66310,0.66393,8655.9398
07.12.2015 18:00:00.000 GMT-0800,0.66396,0.66469,0.66267,0.66354,13795.48
07.12.2015 22:00:00.000 GMT-0800,0.66355,0.66576,0.66291,0.66335,19892.3797
08.12.2015 02:00:00.000 GMT-0800,0.66334,0.66349,0.66111,0.66212,20043.9601
08.12.2015 06:00:00.000 GMT-0800,0.66212,0.66472,0.66197,0.66392,20899.8299
08.12.2015 10:00:00.000 GMT-0800,0.66392,0.66511,0.66260,0.66430,7870.420099999999
08.12.2015 14:00:00.000 GMT-0800,0.66433,0.66583,0.66313,0.66355,11077.869999999999
08.12.2015 18:00:00.000 GMT-0800,0.66355,0.66357,0.66218,0.66273,9007.1999
08.12.2015 22:00:00.000 GMT-0800,0.66273,0.66444,0.65937,0.66081,14212.990500000002
09.12.2015 02:00:00.000 GMT-0800,0.66082,0.66564,0.66035,0.66425,18700.8798
09.12.2015 06:00:00.000 GMT-0800,0.66424,0.66625,0.66187,0.66343,26725.5903
09.12.2015 10:00:00.000 GMT-0800,0.66344,0.67587,0.65684,0.67181,19029.1206
09.12.2015 14:00:00.000 GMT-0800,0.67182,0.67816,0.67164,0.67401,15948.999800000001
09.12.2015 18:00:00.000 GMT-0800,0.67403,0.67411,0.67267,0.67308,10866.820099999999
09.12.2015 22:00:00.000 GMT-0800,0.67309,0.67560,0.67217,0.67219,13668.660100000001
10.12.2015 02:00:00.000 GMT-0800,0.67219,0.67673,0.67193,0.67632,16374.9499
10.12.2015 06:00:00.000 GMT-0800,0.67630,0.67766,0.67518,0.67642,17425.6497
10.12.2015 10:00:00.000 GMT-0800,0.67641,0.67672,0.67375,0.67521,8419.8701
10.12.2015 14:00:00.000 GMT-0800,0.67523,0.67619,0.67345,0.67409,10174.23
10.12.2015 18:00:00.000 GMT-0800,0.67409,0.67485,0.67374,0.67437,8831.4002
10.12.2015 22:00:00.000 GMT-0800,0.67437,0.67812,0.67399,0.67427,11654.340100000001
11.12.2015 02:00:00.000 GMT-0800,0.67429,0.67510,0.67222,0.67368,14133.800000000001
11.12.2015 06:00:00.000 GMT-0800,0.67368,0.67406,0.67027,0.67095,20885.98
11.12.2015 10:00:00.000 GMT-0800,0.67095,0.67219,0.67055,0.67116,6496.8099999999995
13.12.2015 14:00:00.000 GMT-0800,0.67153,0.67192,0.66962,0.67013,8543.8801
13.12.2015 18:00:00.000 GMT-0800,0.67012,0.67100,0.66910,0.67071,8790.7899
13.12.2015 22:00:00.000 GMT-0800,0.67070,0.67276,0.67035,0.67258,10204.4201
14.12.2015 02:00:00.000 GMT-0800,0.67255,0.67674,0.67198,0.67633,15092.8303
14.12.2015 06:00:00.000 GMT-0800,0.67634,0.67895,0.67416,0.67786,19836.5504
14.12.2015 10:00:00.000 GMT-0800,0.67786,0.67786,0.67541,0.67551,8357.44
14.12.2015 14:00:00.000 GMT-0800,0.67551,0.67954,0.67542,0.67901,11845.509900000001
14.12.2015 18:00:00.000 GMT-0800,0.67900,0.68101,0.67840,0.68011,11234.929699999999
14.12.2015 22:00:00.000 GMT-0800,0.68010,0.68258,0.67873,0.67905,16548.7798
15.12.2015 02:00:00.000 GMT-0800,0.67904,0.68067,0.67713,0.67824,19924.4902
15.12.2015 06:00:00.000 GMT-0800,0.67823,0.67824,0.67403,0.67457,19929.21
15.12.2015 10:00:00.000 GMT-0800,0.67455,0.67769,0.67432,0.67621,8621.7001
15.12.2015 14:00:00.000 GMT-0800,0.67629,0.67763,0.67399,0.67459,9693.6199
15.12.2015 18:00:00.000 GMT-0800,0.67459,0.67692,0.67459,0.67625,9299.3301
15.12.2015 22:00:00.000 GMT-0800,0.67626,0.67654,0.67416,0.67482,13969.500200000002
16.12.2015 02:00:00.000 GMT-0800,0.67482,0.67544,0.67385,0.67462,12921.8298
16.12.2015 06:00:00.000 GMT-0800,0.67461,0.67750,0.67445,0.67737,18498.5097
16.12.2015 10:00:00.000 GMT-0800,0.67736,0.68346,0.67144,0.67931,29065.069799999997
16.12.2015 14:00:00.000 GMT-0800,0.67918,0.68000,0.67300,0.67325,11792.930400000001
16.12.2015 18:00:00.000 GMT-0800,0.67326,0.67452,0.67168,0.67274,14120.829600000001
16.12.2015 22:00:00.000 GMT-0800,0.67275,0.67573,0.67225,0.67487,15349.8698
17.12.2015 02:00:00.000 GMT-0800,0.67485,0.67694,0.67321,0.67465,14480.710200000001
17.12.2015 06:00:00.000 GMT-0800,0.67463,0.67525,0.66877,0.67040,20273.5796
17.12.2015 10:00:00.000 GMT-0800,0.67041,0.67101,0.66890,0.66962,8678.6401
17.12.2015 14:00:00.000 GMT-0800,0.66962,0.67060,0.66839,0.67010,10104.08
17.12.2015 18:00:00.000 GMT-0800,0.67010,0.67051,0.66810,0.67030,15121.310099999999
17.12.2015 22:00:00.000 GMT-0800,0.67028,0.67163,0.66926,0.67032,16319.9797
18.12.2015 02:00:00.000 GMT-0800,0.67033,0.67166,0.66930,0.67096,23253.2195
18.12.2015 06:00:00.000 GMT-0800,0.67095,0.67523,0.67064,0.67372,15820.429900000001
18.12.2015 10:00:00.000 GMT-0800,0.67372,0.67457,0.67245,0.67257,5023.6
20.12.2015 14:00:00.000 GMT-0800,0.67260,0.67419,0.67205,0.67392,5971.7798999999995
20.12.2015 18:00:00.000 GMT-0800,0.67391,0.67527,0.67360,0.67477,6062.7699
20.12.2015 22:00:00.000 GMT-0800,0.67478,0.67703,0.67392,0.67406,9548.0798
21.12.2015 02:00:00.000 GMT-0800,0.67408,0.67635,0.67406,0.67628,8592.5799
21.12.2015 06:00:00.000 GMT-0800,0.67628,0.67800,0.67540,0.67697,13847.0002
21.12.2015 10:00:00.000 GMT-0800,0.67695,0.67791,0.67591,0.67595,4104.5801
21.12.2015 14:00:00.000 GMT-0800,0.67599,0.67911,0.67583,0.67898,8068.619999999999
21.12.2015 18:00:00.000 GMT-0800,0.67895,0.68256,0.67845,0.68069,9307.5299
21.12.2015 22:00:00.000 GMT-0800,0.68068,0.68358,0.68054,0.68227,10508.3799
22.12.2015 02:00:00.000 GMT-0800,0.68227,0.68290,0.68125,0.68165,12364.159900000002
22.12.2015 06:00:00.000 GMT-0800,0.68164,0.68213,0.68060,0.68126,12243.1499
22.12.2015 10:00:00.000 GMT-0800,0.68132,0.68137,0.67993,0.68045,6311.6101
22.12.2015 14:00:00.000 GMT-0800,0.68045,0.68168,0.67995,0.68129,7903.989799999999
22.12.2015 18:00:00.000 GMT-0800,0.68129,0.68193,0.68077,0.68182,5811.0701
22.12.2015 22:00:00.000 GMT-0800,0.68183,0.68287,0.67979,0.68037,9767.17
23.12.2015 02:00:00.000 GMT-0800,0.68038,0.68054,0.67614,0.67729,10051.7898
23.12.2015 06:00:00.000 GMT-0800,0.67730,0.67897,0.67664,0.67860,11691.4701
23.12.2015 10:00:00.000 GMT-0800,0.67860,0.68019,0.67807,0.67900,8003.7602
23.12.2015 14:00:00.000 GMT-0800,0.67891,0.67975,0.67809,0.67967,4608.0599999999995
23.12.2015 18:00:00.000 GMT-0800,0.67967,0.68080,0.67958,0.68028,4264.7
23.12.2015 22:00:00.000 GMT-0800,0.68028,0.68238,0.68000,0.68148,6490.83
24.12.2015 02:00:00.000 GMT-0800,0.68149,0.68268,0.68138,0.68216,5839.969800000001
24.12.2015 06:00:00.000 GMT-0800,0.68215,0.68419,0.68215,0.68392,7861.500099999999
24.12.2015 10:00:00.000 GMT-0800,0.68389,0.68390,0.68015,0.68096,2868.7
24.12.2015 14:00:00.000 GMT-0800,0.68074,0.68324,0.68019,0.68247,421.32
24.12.2015 18:00:00.000 GMT-0800,0.68247,0.68325,0.68230,0.68285,577.31
24.12.2015 22:00:00.000 GMT-0800,0.68285,0.68379,0.68265,0.68284,450.47
27.12.2015 14:00:00.000 GMT-0800,0.68307,0.68432,0.68239,0.68292,8436.180199999999
27.12.2015 18:00:00.000 GMT-0800,0.68292,0.68434,0.68285,0.68375,3447.12
27.12.2015 22:00:00.000 GMT-0800,0.68376,0.68385,0.68270,0.68370,3942.46
28.12.2015 02:00:00.000 GMT-0800,0.68370,0.68476,0.68296,0.68397,6226.86
28.12.2015 06:00:00.000 GMT-0800,0.68396,0.68526,0.68357,0.68442,7289.5698999999995
28.12.2015 10:00:00.000 GMT-0800,0.68442,0.68516,0.68409,0.68448,4435.34
28.12.2015 14:00:00.000 GMT-0800,0.68448,0.68650,0.68435,0.68553,8996.9698
28.12.2015 18:00:00.000 GMT-0800,0.68553,0.68710,0.68551,0.68680,4902.92
28.12.2015 22:00:00.000 GMT-0800,0.68679,0.68805,0.68633,0.68669,6197.7499
29.12.2015 02:00:00.000 GMT-0800,0.68669,0.68801,0.68576,0.68707,7128.59
29.12.2015 06:00:00.000 GMT-0800,0.68707,0.68828,0.68628,0.68745,11218.98
29.12.2015 10:00:00.000 GMT-0800,0.68745,0.68788,0.68661,0.68666,8039.4701
29.12.2015 14:00:00.000 GMT-0800,0.68660,0.68718,0.68477,0.68553,4684.65
29.12.2015 18:00:00.000 GMT-0800,0.68554,0.68617,0.68517,0.68522,6257.8999
29.12.2015 22:00:00.000 GMT-0800,0.68522,0.68705,0.68379,0.68564,7741.5401
30.12.2015 02:00:00.000 GMT-0800,0.68563,0.68599,0.68362,0.68469,10705.2901
30.12.2015 06:00:00.000 GMT-0800,0.68469,0.68538,0.68299,0.68350,12145.3802
30.12.2015 10:00:00.000 GMT-0800,0.68348,0.68476,0.68296,0.68380,6447.339900000001
30.12.2015 14:00:00.000 GMT-0800,0.68380,0.68484,0.68317,0.68418,11464.8197
30.12.2015 18:00:00.000 GMT-0800,0.68418,0.68527,0.68417,0.68465,5958.1101
30.12.2015 22:00:00.000 GMT-0800,0.68464,0.68668,0.68454,0.68598,7328.8601
31.12.2015 02:00:00.000 GMT-0800,0.68602,0.68608,0.68346,0.68456,7226.4899
31.12.2015 06:00:00.000 GMT-0800,0.68454,0.68625,0.68304,0.68375,9881.87
31.12.2015 10:00:00.000 GMT-0800,0.68375,0.68399,0.68216,0.68257,4412.92
03.01.2016 14:00:00.000 GMT-0800,0.68278,0.68348,0.67552,0.67653,10475.5002
03.01.2016 18:00:00.000 GMT-0800,0.67654,0.67699,0.67449,0.67517,9802.520199999999
03.01.2016 22:00:00.000 GMT-0800,0.67521,0.67736,0.67454,0.67650,12560.6299
04.01.2016 02:00:00.000 GMT-0800,0.67651,0.67754,0.67352,0.67428,10490.5198
04.01.2016 06:00:00.000 GMT-0800,0.67427,0.67643,0.67189,0.67438,13009.010000000002
04.01.2016 10:00:00.000 GMT-0800,0.67438,0.67517,0.67381,0.67497,6615.1900000000005
04.01.2016 14:00:00.000 GMT-0800,0.67496,0.67574,0.67400,0.67557,8411.0901
04.01.2016 18:00:00.000 GMT-0800,0.67563,0.67567,0.67284,0.67353,6847.25
04.01.2016 22:00:00.000 GMT-0800,0.67354,0.67428,0.66980,0.66999,13063.3596
05.01.2016 02:00:00.000 GMT-0800,0.66999,0.67285,0.66943,0.67211,12551.79
05.01.2016 06:00:00.000 GMT-0800,0.67211,0.67218,0.66766,0.66948,16817.6801
05.01.2016 10:00:00.000 GMT-0800,0.66953,0.67080,0.66895,0.67028,7000.0199999999995
05.01.2016 14:00:00.000 GMT-0800,0.67029,0.67076,0.66424,0.66468,10355.3202
05.01.2016 18:00:00.000 GMT-0800,0.66466,0.66594,0.66324,0.66495,11976.169600000001
05.01.2016 22:00:00.000 GMT-0800,0.66495,0.66618,0.66259,0.66471,17520.1899
06.01.2016 02:00:00.000 GMT-0800,0.66474,0.66542,0.66272,0.66436,15445.3701
06.01.2016 06:00:00.000 GMT-0800,0.66434,0.66551,0.66262,0.66318,17116.1599
06.01.2016 10:00:00.000 GMT-0800,0.66316,0.66498,0.66261,0.66365,11413.2803
06.01.2016 14:00:00.000 GMT-0800,0.66365,0.66540,0.66130,0.66167,12588.8199
06.01.2016 18:00:00.000 GMT-0800,0.66166,0.66454,0.66145,0.66441,10255.3898
06.01.2016 22:00:00.000 GMT-0800,0.66440,0.66665,0.66232,0.66369,17190.8698
07.01.2016 02:00:00.000 GMT-0800,0.66368,0.66466,0.65902,0.66136,20537.8101
07.01.2016 06:00:00.000 GMT-0800,0.66137,0.66532,0.66104,0.66472,19925.4998
07.01.2016 10:00:00.000 GMT-0800,0.66464,0.66500,0.66159,0.66204,12194.2398
07.01.2016 14:00:00.000 GMT-0800,0.66204,0.66772,0.66145,0.66482,16182.02
07.01.2016 18:00:00.000 GMT-0800,0.66484,0.66624,0.66396,0.66464,10652.3499
07.01.2016 22:00:00.000 GMT-0800,0.66463,0.66641,0.66239,0.66266,12494.73
08.01.2016 02:00:00.000 GMT-0800,0.66266,0.66267,0.65626,0.65903,16884.500099999997
08.01.2016 06:00:00.000 GMT-0800,0.65901,0.65979,0.65416,0.65607,20462.7996
08.01.2016 10:00:00.000 GMT-0800,0.65607,0.65647,0.65395,0.65426,9950.9298
10.01.2016 14:00:00.000 GMT-0800,0.65513,0.65541,0.65084,0.65241,10661.0902
10.01.2016 18:00:00.000 GMT-0800,0.65240,0.65369,0.65204,0.65299,10546.2002
10.01.2016 22:00:00.000 GMT-0800,0.65299,0.65794,0.65261,0.65742,16726.9201
11.01.2016 02:00:00.000 GMT-0800,0.65740,0.65771,0.65364,0.65652,19678.4605
11.01.2016 06:00:00.000 GMT-0800,0.65652,0.65710,0.65410,0.65458,20352.7998
11.01.2016 10:00:00.000 GMT-0800,0.65454,0.65627,0.65374,0.65574,11439.7201
11.01.2016 14:00:00.000 GMT-0800,0.65573,0.65664,0.65434,0.65613,10486.79
11.01.2016 18:00:00.000 GMT-0800,0.65614,0.65682,0.65509,0.65575,10640.5103
11.01.2016 22:00:00.000 GMT-0800,0.65575,0.65597,0.65205,0.65486,15296.170399999999
12.01.2016 02:00:00.000 GMT-0800,0.65487,0.65542,0.65306,0.65468,16616.57
12.01.2016 06:00:00.000 GMT-0800,0.65466,0.65561,0.65146,0.65315,19572.6401
12.01.2016 10:00:00.000 GMT-0800,0.65318,0.65415,0.65278,0.65328,15664.3904
12.01.2016 14:00:00.000 GMT-0800,0.65328,0.65697,0.65287,0.65683,13305.1799
12.01.2016 18:00:00.000 GMT-0800,0.65687,0.65899,0.65583,0.65684,11205.620200000001
12.01.2016 22:00:00.000 GMT-0800,0.65685,0.65788,0.65523,0.65642,14749.050000000001
13.01.2016 02:00:00.000 GMT-0800,0.65643,0.65682,0.65436,0.65596,13826.23
13.01.2016 06:00:00.000 GMT-0800,0.65595,0.65696,0.65440,0.65514,21952.3403
13.01.2016 10:00:00.000 GMT-0800,0.65512,0.65530,0.65108,0.65108,14079.869600000002
13.01.2016 14:00:00.000 GMT-0800,0.65111,0.65145,0.64654,0.64879,14273.4301
13.01.2016 18:00:00.000 GMT-0800,0.64879,0.64949,0.64738,0.64882,10057.9702
13.01.2016 22:00:00.000 GMT-0800,0.64882,0.65071,0.64507,0.64728,20009.83
14.01.2016 02:00:00.000 GMT-0800,0.64726,0.64727,0.64182,0.64538,21810.7398
14.01.2016 06:00:00.000 GMT-0800,0.64540,0.64748,0.64295,0.64716,26250.970299999997
14.01.2016 10:00:00.000 GMT-0800,0.64716,0.64882,0.64695,0.64724,11707.860100000002
14.01.2016 14:00:00.000 GMT-0800,0.64724,0.64909,0.64537,0.64627,12139.0301
14.01.2016 18:00:00.000 GMT-0800,0.64627,0.64637,0.64239,0.64406,12230.310000000001
14.01.2016 22:00:00.000 GMT-0800,0.64407,0.64420,0.63938,0.64060,23266.9402
15.01.2016 02:00:00.000 GMT-0800,0.64064,0.64129,0.63808,0.64086,23545.3301
15.01.2016 06:00:00.000 GMT-0800,0.64086,0.64505,0.64027,0.64325,24306.859800000002
15.01.2016 10:00:00.000 GMT-0800,0.64324,0.64711,0.64306,0.64596,12327.4798
17.01.2016 14:00:00.000 GMT-0800,0.64074,0.64688,0.64074,0.64632,13390.9797
17.01.2016 18:00:00.000 GMT-0800,0.64632,0.64788,0.64501,0.64654,15760.8201
17.01.2016 22:00:00.000 GMT-0800,0.64651,0.64795,0.64533,0.64564,17185.9199
18.01.2016 02:00:00.000 GMT-0800,0.64565,0.64711,0.64448,0.64490,17235.3499
18.01.2016 06:00:00.000 GMT-0800,0.64488,0.64578,0.64389,0.64427,9671.4101
18.01.2016 10:00:00.000 GMT-0800,0.64426,0.64527,0.64379,0.64492,11985.8396
18.01.2016 14:00:00.000 GMT-0800,0.64493,0.64687,0.64428,0.64437,14949.4697
18.01.2016 18:00:00.000 GMT-0800,0.64441,0.64577,0.64153,0.64577,14123.039799999999
18.01.2016 22:00:00.000 GMT-0800,0.64579,0.64798,0.64500,0.64775,20199.3701
19.01.2016 02:00:00.000 GMT-0800,0.64774,0.65131,0.64748,0.64815,26938.899400000002
19.01.2016 06:00:00.000 GMT-0800,0.64815,0.64939,0.64697,0.64891,23264.4097
19.01.2016 10:00:00.000 GMT-0800,0.64886,0.64968,0.64019,0.64081,16468.0701
19.01.2016 14:00:00.000 GMT-0800,0.64081,0.64161,0.63657,0.63709,16406.989999999998
19.01.2016 18:00:00.000 GMT-0800,0.63709,0.63895,0.63677,0.63839,16265.260000000002
19.01.2016 22:00:00.000 GMT-0800,0.63841,0.63860,0.63470,0.63733,24642.17
20.01.2016 02:00:00.000 GMT-0800,0.63735,0.63856,0.63553,0.63813,18606.7002
20.01.2016 06:00:00.000 GMT-0800,0.63812,0.63992,0.63641,0.63944,25348.79
20.01.2016 10:00:00.000 GMT-0800,0.63946,0.64371,0.63921,0.64281,18544.4899
20.01.2016 14:00:00.000 GMT-0800,0.64286,0.64762,0.64279,0.64606,15340.200499999999
