Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.33461,1.33543,1.33096,1.33312,22254.079599999997
01.12.2015 02:00:00.000 GMT-0800,1.33312,1.33959,1.33108,1.33792,26427.129800000002
01.12.2015 06:00:00.000 GMT-0800,1.33792,1.33811,1.33333,1.33768,45067.5108
01.12.2015 10:00:00.000 GMT-0800,1.33767,1.33870,1.33559,1.33562,26023.3398
01.12.2015 14:00:00.000 GMT-0800,1.33562,1.33680,1.33535,1.33639,10045.2101
01.12.2015 18:00:00.000 GMT-0800,1.33639,1.33753,1.33634,1.33734,9004.33
01.12.2015 22:00:00.000 GMT-0800,1.33734,1.33755,1.33588,1.33696,17636.3699
02.12.2015 02:00:00.000 GMT-0800,1.33700,1.34062,1.33650,1.34052,23110.6401
02.12.2015 06:00:00.000 GMT-0800,1.34051,1.34075,1.33079,1.33630,48752.5196
02.12.2015 10:00:00.000 GMT-0800,1.33630,1.33699,1.33326,1.33421,31145.470499999996
02.12.2015 14:00:00.000 GMT-0800,1.33423,1.33546,1.33379,1.33476,8656.65
02.12.2015 18:00:00.000 GMT-0800,1.33477,1.33526,1.32930,1.33152,15930.2302
02.12.2015 22:00:00.000 GMT-0800,1.33152,1.33345,1.33120,1.33244,19901.6402
03.12.2015 02:00:00.000 GMT-0800,1.33244,1.33521,1.33013,1.33202,36704.140100000004
03.12.2015 06:00:00.000 GMT-0800,1.33202,1.33997,1.33149,1.33763,46234.9902
03.12.2015 10:00:00.000 GMT-0800,1.33760,1.33812,1.33293,1.33542,33061.7598
03.12.2015 14:00:00.000 GMT-0800,1.33534,1.33550,1.33360,1.33489,12443.159899999999
03.12.2015 18:00:00.000 GMT-0800,1.33491,1.33571,1.33427,1.33545,11943.6796
03.12.2015 22:00:00.000 GMT-0800,1.33544,1.33733,1.33337,1.33378,21366.0901
04.12.2015 02:00:00.000 GMT-0800,1.33379,1.33957,1.33195,1.33813,32021.1498
04.12.2015 06:00:00.000 GMT-0800,1.33813,1.34158,1.33175,1.33887,51568.1894
04.12.2015 10:00:00.000 GMT-0800,1.33884,1.33899,1.33584,1.33602,24183.83
