Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,1.02592,1.02911,1.02575,1.02852,15524.0399
01.12.2015 02:00:00.000 GMT-0800,1.02851,1.02964,1.02742,1.02880,14577.590400000001
01.12.2015 06:00:00.000 GMT-0800,1.02880,1.03015,1.02544,1.02958,27109.6694
01.12.2015 10:00:00.000 GMT-0800,1.02959,1.02968,1.02534,1.02583,9721.1901
01.12.2015 14:00:00.000 GMT-0800,1.02574,1.02692,1.02523,1.02667,5248.400099999999
01.12.2015 18:00:00.000 GMT-0800,1.02668,1.02704,1.02616,1.02693,4162.6799
01.12.2015 22:00:00.000 GMT-0800,1.02693,1.02724,1.02481,1.02613,16610.0001
02.12.2015 02:00:00.000 GMT-0800,1.02614,1.02931,1.02539,1.02728,23467.8295
02.12.2015 06:00:00.000 GMT-0800,1.02728,1.03071,1.02200,1.02363,29474.510299999998
02.12.2015 10:00:00.000 GMT-0800,1.02363,1.02409,1.01791,1.01832,14468.2398
02.12.2015 14:00:00.000 GMT-0800,1.01817,1.01966,1.01810,1.01876,5214.3601
02.12.2015 18:00:00.000 GMT-0800,1.01877,1.02117,1.01863,1.02046,4788.2901
02.12.2015 22:00:00.000 GMT-0800,1.02045,1.02464,1.02008,1.02362,16270.7103
03.12.2015 02:00:00.000 GMT-0800,1.02363,1.02675,1.00401,1.00702,38660.7198
03.12.2015 06:00:00.000 GMT-0800,1.00691,1.01109,0.99629,0.99795,42472.6109
03.12.2015 10:00:00.000 GMT-0800,0.99793,0.99806,0.98748,0.99325,20543.6997
03.12.2015 14:00:00.000 GMT-0800,0.99319,0.99447,0.99110,0.99341,9585.61
03.12.2015 18:00:00.000 GMT-0800,0.99345,0.99390,0.99152,0.99211,5756.3101
03.12.2015 22:00:00.000 GMT-0800,0.99212,1.00038,0.99180,0.99930,27146.1299
04.12.2015 02:00:00.000 GMT-0800,0.99930,1.00341,0.99500,0.99777,34670.739199999996
04.12.2015 06:00:00.000 GMT-0800,0.99779,1.00314,0.99559,1.00048,41411.6992
04.12.2015 10:00:00.000 GMT-0800,1.00049,1.00184,0.99572,0.99572,15016.040099999998
