Local time,Open,High,Low,Close,Volume
12.02.2017 14:00:00.000 GMT-0800,289.703,290.257,289.259,290.046,10447.770199999999
12.02.2017 18:00:00.000 GMT-0800,290.061,290.250,289.647,289.765,8176.0019
12.02.2017 22:00:00.000 GMT-0800,289.764,289.915,289.022,289.871,22702.2183
13.02.2017 02:00:00.000 GMT-0800,289.907,290.168,289.455,290.025,28807.079599999997
13.02.2017 06:00:00.000 GMT-0800,289.996,291.095,289.935,291.048,22401.508
13.02.2017 10:00:00.000 GMT-0800,291.006,291.071,290.452,290.668,16110.949700000001
13.02.2017 14:00:00.000 GMT-0800,290.503,291.055,290.187,290.886,14545.034
13.02.2017 18:00:00.000 GMT-0800,290.869,291.135,290.203,290.310,16373.6489
13.02.2017 22:00:00.000 GMT-0800,290.355,290.660,289.872,290.484,23135.389600000002
14.02.2017 02:00:00.000 GMT-0800,290.530,290.913,289.803,290.164,24380.9551
14.02.2017 06:00:00.000 GMT-0800,290.150,291.746,290.095,291.513,30166.0193
14.02.2017 10:00:00.000 GMT-0800,291.514,291.531,290.746,290.859,23789.066
14.02.2017 14:00:00.000 GMT-0800,290.762,291.439,290.670,291.122,27349.9458
14.02.2017 18:00:00.000 GMT-0800,291.178,291.351,290.742,291.063,14092.965
14.02.2017 22:00:00.000 GMT-0800,291.049,292.281,290.927,292.096,20506.4871
15.02.2017 02:00:00.000 GMT-0800,292.081,293.103,291.868,292.671,26649.533600000002
15.02.2017 06:00:00.000 GMT-0800,292.688,292.773,290.448,291.099,31957.3471
15.02.2017 10:00:00.000 GMT-0800,291.113,291.204,290.388,290.574,14486.9357
15.02.2017 14:00:00.000 GMT-0800,290.339,290.835,289.849,289.980,18894.4318
15.02.2017 18:00:00.000 GMT-0800,290.000,290.314,289.861,289.987,24463.0318
15.02.2017 22:00:00.000 GMT-0800,289.977,290.727,289.247,289.468,19036.8113
16.02.2017 02:00:00.000 GMT-0800,289.430,289.823,289.212,289.668,25695.6708
16.02.2017 06:00:00.000 GMT-0800,289.685,289.810,288.087,288.494,32911.46
16.02.2017 10:00:00.000 GMT-0800,288.511,288.619,287.684,287.807,19238.8659
16.02.2017 14:00:00.000 GMT-0800,287.870,288.317,287.690,287.984,11639.207
16.02.2017 18:00:00.000 GMT-0800,287.967,288.130,287.709,287.963,9283.7551
16.02.2017 22:00:00.000 GMT-0800,288.023,289.205,287.921,289.183,21973.4441
17.02.2017 02:00:00.000 GMT-0800,289.172,289.593,288.945,289.311,23616.0435
17.02.2017 06:00:00.000 GMT-0800,289.312,290.525,289.009,290.312,28012.093800000002
17.02.2017 10:00:00.000 GMT-0800,290.311,290.630,289.323,289.642,21858.1501
19.02.2017 14:00:00.000 GMT-0800,290.375,290.709,289.568,290.425,11359.6502
19.02.2017 18:00:00.000 GMT-0800,290.349,290.583,289.852,290.099,7720.780000000001
19.02.2017 22:00:00.000 GMT-0800,290.026,290.358,289.741,290.118,21572.8489
20.02.2017 02:00:00.000 GMT-0800,290.115,290.535,289.844,290.087,26362.591800000002
20.02.2017 06:00:00.000 GMT-0800,290.149,290.254,289.712,290.150,17437.5916
20.02.2017 10:00:00.000 GMT-0800,290.160,290.210,289.593,289.738,17103.0577
20.02.2017 14:00:00.000 GMT-0800,289.716,290.837,289.577,290.673,16579.539
20.02.2017 18:00:00.000 GMT-0800,290.686,290.904,290.495,290.692,15838.4477
20.02.2017 22:00:00.000 GMT-0800,290.662,291.760,290.512,291.729,22787.7261
21.02.2017 02:00:00.000 GMT-0800,291.736,291.903,291.096,291.196,24964.3617
21.02.2017 06:00:00.000 GMT-0800,291.216,291.845,290.895,291.698,27245.8788
21.02.2017 10:00:00.000 GMT-0800,291.683,291.979,291.449,291.656,23034.603
21.02.2017 14:00:00.000 GMT-0800,291.698,291.980,290.877,291.538,28709.896
21.02.2017 18:00:00.000 GMT-0800,291.569,291.818,291.297,291.725,12060.2597
21.02.2017 22:00:00.000 GMT-0800,291.765,292.684,291.629,292.262,20929.0421
22.02.2017 02:00:00.000 GMT-0800,292.257,292.883,292.222,292.836,24171.8149
22.02.2017 06:00:00.000 GMT-0800,292.846,293.160,291.249,291.741,27709.1572
22.02.2017 10:00:00.000 GMT-0800,291.770,292.146,290.989,291.257,15946.162900000001
22.02.2017 14:00:00.000 GMT-0800,291.348,291.916,291.146,291.685,18019.0985
22.02.2017 18:00:00.000 GMT-0800,291.626,291.848,291.034,291.262,23166.9584
22.02.2017 22:00:00.000 GMT-0800,291.324,292.164,291.239,291.954,18834.9882
23.02.2017 02:00:00.000 GMT-0800,291.933,292.148,290.593,290.799,24456.4019
23.02.2017 06:00:00.000 GMT-0800,290.800,291.543,290.294,291.419,28625.3013
23.02.2017 10:00:00.000 GMT-0800,291.369,291.892,291.231,291.665,17211.5628
23.02.2017 14:00:00.000 GMT-0800,291.526,291.971,291.381,291.804,10821.833999999999
23.02.2017 18:00:00.000 GMT-0800,291.857,292.023,291.423,291.680,8755.6819
23.02.2017 22:00:00.000 GMT-0800,291.716,291.994,290.969,291.229,20270.4873
24.02.2017 02:00:00.000 GMT-0800,291.197,291.509,290.435,290.657,25056.0406
24.02.2017 06:00:00.000 GMT-0800,290.654,291.824,290.614,291.484,30232.368700000003
24.02.2017 10:00:00.000 GMT-0800,291.496,292.289,291.184,291.690,23674.464
26.02.2017 14:00:00.000 GMT-0800,291.503,292.403,291.263,291.735,9837.1952
26.02.2017 18:00:00.000 GMT-0800,291.618,292.089,291.513,291.880,7433.002
26.02.2017 22:00:00.000 GMT-0800,291.880,292.105,290.765,290.912,21288.0861
27.02.2017 02:00:00.000 GMT-0800,290.881,291.044,290.316,290.402,29169.0229
27.02.2017 06:00:00.000 GMT-0800,290.370,290.554,289.265,289.937,25070.2677
27.02.2017 10:00:00.000 GMT-0800,289.961,290.589,289.834,290.293,17724.8582
27.02.2017 14:00:00.000 GMT-0800,290.288,290.827,290.091,290.498,14583.7523
27.02.2017 18:00:00.000 GMT-0800,290.453,290.573,290.096,290.183,16104.4752
27.02.2017 22:00:00.000 GMT-0800,290.221,291.267,289.897,290.498,23127.4766
28.02.2017 02:00:00.000 GMT-0800,290.501,291.205,290.024,290.885,27693.858
28.02.2017 06:00:00.000 GMT-0800,290.896,291.003,289.942,290.470,30168.510199999997
28.02.2017 10:00:00.000 GMT-0800,290.478,291.433,290.219,291.057,28060.0216
28.02.2017 14:00:00.000 GMT-0800,291.042,291.865,290.981,291.368,29448.6675
28.02.2017 18:00:00.000 GMT-0800,291.317,291.985,290.768,291.800,16420.1961
28.02.2017 22:00:00.000 GMT-0800,291.826,292.564,291.547,291.849,23000.6003
01.03.2017 02:00:00.000 GMT-0800,291.882,292.944,291.797,292.689,30392.137700000003
01.03.2017 06:00:00.000 GMT-0800,292.695,292.921,290.860,291.035,28883.874900000003
01.03.2017 10:00:00.000 GMT-0800,291.065,291.655,290.784,291.450,14759.511999999999
01.03.2017 14:00:00.000 GMT-0800,291.427,291.962,291.133,291.710,19434.142699999997
01.03.2017 18:00:00.000 GMT-0800,291.739,291.959,291.653,291.812,25020.523999999998
01.03.2017 22:00:00.000 GMT-0800,291.797,292.833,291.422,292.665,20868.8262
02.03.2017 02:00:00.000 GMT-0800,292.707,293.363,292.537,293.298,27809.9571
02.03.2017 06:00:00.000 GMT-0800,293.265,294.300,293.258,294.125,34314.255000000005
02.03.2017 10:00:00.000 GMT-0800,294.159,294.953,294.059,294.362,18180.1007
02.03.2017 14:00:00.000 GMT-0800,294.472,294.714,294.163,294.240,11017.0891
02.03.2017 18:00:00.000 GMT-0800,294.210,294.436,294.046,294.224,9361.9092
02.03.2017 22:00:00.000 GMT-0800,294.286,294.793,293.990,294.610,21335.5089
03.03.2017 02:00:00.000 GMT-0800,294.606,294.635,292.754,292.974,26100.5903
03.03.2017 06:00:00.000 GMT-0800,292.943,293.260,292.091,292.469,30515.933100000002
03.03.2017 10:00:00.000 GMT-0800,292.570,293.030,290.202,290.230,29041.7583
05.03.2017 14:00:00.000 GMT-0800,290.961,291.238,290.512,291.140,9487.482
05.03.2017 18:00:00.000 GMT-0800,291.031,291.376,290.868,291.182,7003.8987
05.03.2017 22:00:00.000 GMT-0800,291.267,292.312,290.624,292.032,26259.319499999998
06.03.2017 02:00:00.000 GMT-0800,292.021,292.581,291.682,292.020,33834.668
06.03.2017 06:00:00.000 GMT-0800,292.031,292.969,291.865,292.939,25738.899699999994
06.03.2017 10:00:00.000 GMT-0800,292.942,293.013,292.514,292.788,17887.7783
06.03.2017 14:00:00.000 GMT-0800,292.717,293.068,292.585,292.740,15873.2159
06.03.2017 18:00:00.000 GMT-0800,292.779,292.853,292.422,292.689,18050.137000000002
06.03.2017 22:00:00.000 GMT-0800,292.685,293.010,291.885,292.962,23857.2153
07.03.2017 02:00:00.000 GMT-0800,293.004,293.183,292.365,293.099,26200.703999999998
