Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,122.930,123.140,122.838,123.100,20304.41
01.12.2015 02:00:00.000 GMT-0800,123.101,123.197,123.059,123.136,14520.8499
01.12.2015 06:00:00.000 GMT-0800,123.135,123.182,122.806,122.918,30116.8503
01.12.2015 10:00:00.000 GMT-0800,122.918,122.919,122.769,122.860,10984.980099999999
01.12.2015 14:00:00.000 GMT-0800,122.848,122.943,122.826,122.928,11035.53
01.12.2015 18:00:00.000 GMT-0800,122.928,123.089,122.926,123.078,11425.5102
01.12.2015 22:00:00.000 GMT-0800,123.078,123.203,123.012,123.133,19414.9898
02.12.2015 02:00:00.000 GMT-0800,123.135,123.370,123.099,123.362,21347.7799
02.12.2015 06:00:00.000 GMT-0800,123.363,123.670,123.290,123.517,30501.77
02.12.2015 10:00:00.000 GMT-0800,123.516,123.542,123.105,123.246,19099.8903
02.12.2015 14:00:00.000 GMT-0800,123.246,123.328,123.215,123.260,12670.029799999998
02.12.2015 18:00:00.000 GMT-0800,123.260,123.458,123.254,123.428,13287.2998
02.12.2015 22:00:00.000 GMT-0800,123.428,123.561,123.378,123.475,18426.9597
03.12.2015 02:00:00.000 GMT-0800,123.474,123.492,122.863,123.126,33855.6094
03.12.2015 06:00:00.000 GMT-0800,123.125,123.390,122.668,122.760,48941.8799
03.12.2015 10:00:00.000 GMT-0800,122.758,122.782,122.297,122.594,27811.1395
03.12.2015 14:00:00.000 GMT-0800,122.592,122.849,122.486,122.689,20274.260000000002
03.12.2015 18:00:00.000 GMT-0800,122.689,122.728,122.476,122.602,17260.2402
03.12.2015 22:00:00.000 GMT-0800,122.602,122.824,122.567,122.755,24184.3496
04.12.2015 02:00:00.000 GMT-0800,122.755,123.375,122.697,122.884,32757.7894
04.12.2015 06:00:00.000 GMT-0800,122.884,123.265,122.758,123.186,40142.46
04.12.2015 10:00:00.000 GMT-0800,123.188,123.288,123.087,123.087,13012.0199
06.12.2015 14:00:00.000 GMT-0800,123.171,123.245,123.149,123.242,12787.8799
06.12.2015 18:00:00.000 GMT-0800,123.242,123.323,123.226,123.276,11226.759800000002
06.12.2015 22:00:00.000 GMT-0800,123.274,123.453,123.245,123.417,14783.1402
07.12.2015 02:00:00.000 GMT-0800,123.417,123.476,123.333,123.430,15847.759699999999
07.12.2015 06:00:00.000 GMT-0800,123.430,123.449,123.204,123.244,29334.6709
07.12.2015 10:00:00.000 GMT-0800,123.244,123.384,123.215,123.363,13761.699700000001
07.12.2015 14:00:00.000 GMT-0800,123.366,123.391,123.184,123.197,13851.189999999999
07.12.2015 18:00:00.000 GMT-0800,123.197,123.198,123.055,123.085,12303.8701
07.12.2015 22:00:00.000 GMT-0800,123.084,123.137,122.997,123.081,18590.9001
08.12.2015 02:00:00.000 GMT-0800,123.080,123.189,122.810,122.822,22260.480099999997
08.12.2015 06:00:00.000 GMT-0800,122.822,123.011,122.721,122.950,33251.640100000004
08.12.2015 10:00:00.000 GMT-0800,122.948,123.087,122.857,122.926,16141.8099
08.12.2015 14:00:00.000 GMT-0800,122.922,123.046,122.835,122.883,11647.9699
08.12.2015 18:00:00.000 GMT-0800,122.882,122.882,122.638,122.733,12287.000199999999
08.12.2015 22:00:00.000 GMT-0800,122.733,122.837,122.640,122.701,19458.7796
09.12.2015 02:00:00.000 GMT-0800,122.702,122.730,122.004,122.101,23821.510299999998
09.12.2015 06:00:00.000 GMT-0800,122.093,122.263,121.390,121.398,38877.890199999994
09.12.2015 10:00:00.000 GMT-0800,121.398,121.497,121.075,121.437,31796.6302
09.12.2015 14:00:00.000 GMT-0800,121.439,121.746,121.278,121.546,20924.46
09.12.2015 18:00:00.000 GMT-0800,121.544,121.705,121.463,121.662,13583.56
09.12.2015 22:00:00.000 GMT-0800,121.663,121.868,121.607,121.747,22289.6301
10.12.2015 02:00:00.000 GMT-0800,121.747,121.793,121.243,121.304,28718.5996
10.12.2015 06:00:00.000 GMT-0800,121.304,121.620,121.303,121.452,33301.750499999995
10.12.2015 10:00:00.000 GMT-0800,121.452,121.664,121.385,121.547,13602.5
10.12.2015 14:00:00.000 GMT-0800,121.550,122.156,121.535,122.095,17131.3199
10.12.2015 18:00:00.000 GMT-0800,122.094,122.229,121.993,122.063,11207.5501
10.12.2015 22:00:00.000 GMT-0800,122.063,122.069,121.830,121.937,20354.110399999998
11.12.2015 02:00:00.000 GMT-0800,121.937,121.937,121.293,121.512,29896.1099
11.12.2015 06:00:00.000 GMT-0800,121.512,121.514,120.581,120.809,47787.4405
11.12.2015 10:00:00.000 GMT-0800,120.809,120.995,120.654,120.994,23303.8697
13.12.2015 14:00:00.000 GMT-0800,121.148,121.151,120.637,120.956,19563.6103
13.12.2015 18:00:00.000 GMT-0800,120.955,121.201,120.908,121.184,19264.27
13.12.2015 22:00:00.000 GMT-0800,121.185,121.353,121.046,121.111,26594.3798
14.12.2015 02:00:00.000 GMT-0800,121.111,121.238,120.642,120.840,33501.3197
14.12.2015 06:00:00.000 GMT-0800,120.840,120.922,120.343,120.705,47389.1299
