Local time,Open,High,Low,Close,Volume
12.02.2017 14:00:00.000 GMT-0800,20.31746,20.35854,20.29824,20.35396,2540.19
12.02.2017 18:00:00.000 GMT-0800,20.35396,20.35396,20.33146,20.34864,4421.719999999999
12.02.2017 22:00:00.000 GMT-0800,20.34874,20.38886,20.29853,20.36543,14309.4899
13.02.2017 02:00:00.000 GMT-0800,20.36603,20.37577,20.29396,20.31576,18330.2403
13.02.2017 06:00:00.000 GMT-0800,20.31534,20.35958,20.29746,20.31292,30097.4708
13.02.2017 10:00:00.000 GMT-0800,20.31292,20.33437,20.26504,20.27041,24306.070300000003
13.02.2017 14:00:00.000 GMT-0800,20.26582,20.29260,20.25408,20.25733,2695.5699
13.02.2017 18:00:00.000 GMT-0800,20.25733,20.25794,20.23896,20.24166,2794.01
13.02.2017 22:00:00.000 GMT-0800,20.24167,20.29080,20.21646,20.23140,8356.5599
14.02.2017 02:00:00.000 GMT-0800,20.23304,20.29159,20.20396,20.29159,16015.8604
14.02.2017 06:00:00.000 GMT-0800,20.29133,20.42203,20.24616,20.32026,38633.340299999996
14.02.2017 10:00:00.000 GMT-0800,20.32026,20.33102,20.24496,20.25516,23720.0901
14.02.2017 14:00:00.000 GMT-0800,20.24843,20.28285,20.24144,20.27426,6380.070000000001
14.02.2017 18:00:00.000 GMT-0800,20.27426,20.28073,20.24407,20.24956,5852.67
14.02.2017 22:00:00.000 GMT-0800,20.24956,20.31089,20.23896,20.28594,13094.7199
15.02.2017 02:00:00.000 GMT-0800,20.28604,20.45087,20.28583,20.41496,25627.7402
15.02.2017 06:00:00.000 GMT-0800,20.41496,20.42712,20.24846,20.28243,38039.25
15.02.2017 10:00:00.000 GMT-0800,20.28243,20.30026,20.23607,20.27456,16347.8897
15.02.2017 14:00:00.000 GMT-0800,20.26820,20.29013,20.26388,20.27423,5491.6899
15.02.2017 18:00:00.000 GMT-0800,20.27244,20.29049,20.25864,20.28395,3628.5099
15.02.2017 22:00:00.000 GMT-0800,20.28395,20.34835,20.26172,20.34494,13729.0101
