Local time,Open,High,Low,Close,Volume
12.02.2017 14:00:00.000 GMT-0800,8.36731,8.40406,8.36565,8.39936,15021.660199999998
12.02.2017 18:00:00.000 GMT-0800,8.39926,8.40433,8.38903,8.39036,12695.72
12.02.2017 22:00:00.000 GMT-0800,8.39017,8.39098,8.35817,8.37330,23008.1397
13.02.2017 02:00:00.000 GMT-0800,8.37330,8.38331,8.36193,8.38196,20498.8399
13.02.2017 06:00:00.000 GMT-0800,8.38190,8.39777,8.37364,8.39116,27219.1899
13.02.2017 10:00:00.000 GMT-0800,8.39104,8.39191,8.38205,8.38932,7114.4101
13.02.2017 14:00:00.000 GMT-0800,8.38932,8.39351,8.38071,8.39105,9813.719799999999
13.02.2017 18:00:00.000 GMT-0800,8.39114,8.39497,8.37098,8.37297,12791.24
13.02.2017 22:00:00.000 GMT-0800,8.37277,8.38494,8.36029,8.36236,22021.9299
14.02.2017 02:00:00.000 GMT-0800,8.36247,8.37212,8.35436,8.36265,24400.2202
14.02.2017 06:00:00.000 GMT-0800,8.36254,8.41793,8.36148,8.41782,33048.7705
14.02.2017 10:00:00.000 GMT-0800,8.41782,8.42014,8.39538,8.39712,8465.3202
14.02.2017 14:00:00.000 GMT-0800,8.39713,8.40631,8.39413,8.40044,12820.7901
14.02.2017 18:00:00.000 GMT-0800,8.40049,8.40449,8.38998,8.39491,15300.5701
14.02.2017 22:00:00.000 GMT-0800,8.39507,8.41559,8.39203,8.39513,22904.0997
15.02.2017 02:00:00.000 GMT-0800,8.39527,8.41063,8.38168,8.40542,25205.049899999998
15.02.2017 06:00:00.000 GMT-0800,8.40542,8.40772,8.33181,8.35273,36589.130399999995
15.02.2017 10:00:00.000 GMT-0800,8.35245,8.35710,8.33240,8.33462,12512.09
15.02.2017 14:00:00.000 GMT-0800,8.33522,8.34559,8.32265,8.32673,12848.8299
15.02.2017 18:00:00.000 GMT-0800,8.32670,8.33301,8.32102,8.32333,11556.07
15.02.2017 22:00:00.000 GMT-0800,8.32323,8.34255,8.30452,8.31097,23136.3701
16.02.2017 02:00:00.000 GMT-0800,8.31101,8.34122,8.31101,8.33270,24798.9702
16.02.2017 06:00:00.000 GMT-0800,8.33247,8.33382,8.28472,8.29833,32442.9907
16.02.2017 10:00:00.000 GMT-0800,8.29819,8.30076,8.27883,8.28432,12874.25
16.02.2017 14:00:00.000 GMT-0800,8.28574,8.29374,8.28121,8.28687,14648.789799999999
16.02.2017 18:00:00.000 GMT-0800,8.28664,8.28746,8.28221,8.28570,19630.010199999997
16.02.2017 22:00:00.000 GMT-0800,8.28541,8.33273,8.28164,8.32742,24830.349899999997
17.02.2017 02:00:00.000 GMT-0800,8.32718,8.33393,8.31413,8.32028,26128.5497
17.02.2017 06:00:00.000 GMT-0800,8.31993,8.34499,8.31155,8.34256,28671.97
17.02.2017 10:00:00.000 GMT-0800,8.34242,8.35229,8.33492,8.33673,6793.36
19.02.2017 14:00:00.000 GMT-0800,8.34352,8.35666,8.32881,8.35213,16212.660100000001
19.02.2017 18:00:00.000 GMT-0800,8.35185,8.35467,8.33817,8.34212,17690.5102
19.02.2017 22:00:00.000 GMT-0800,8.34206,8.35024,8.33318,8.34324,18399.3201
20.02.2017 02:00:00.000 GMT-0800,8.34343,8.34928,8.33541,8.33652,17022.3196
20.02.2017 06:00:00.000 GMT-0800,8.33651,8.34665,8.32347,8.34503,16078.600199999999
20.02.2017 10:00:00.000 GMT-0800,8.34498,8.34682,8.33460,8.33496,19195.4506
20.02.2017 14:00:00.000 GMT-0800,8.33512,8.36132,8.33222,8.35762,17845.8602
20.02.2017 18:00:00.000 GMT-0800,8.35762,8.36379,8.35522,8.35761,15437.8404
20.02.2017 22:00:00.000 GMT-0800,8.35756,8.38491,8.35114,8.38491,21520.8304
21.02.2017 02:00:00.000 GMT-0800,8.38491,8.38781,8.35752,8.36322,24700.3501
21.02.2017 06:00:00.000 GMT-0800,8.36303,8.36957,8.34616,8.35518,28223.98
21.02.2017 10:00:00.000 GMT-0800,8.35527,8.35759,8.34377,8.35579,10873.770100000002
21.02.2017 14:00:00.000 GMT-0800,8.35524,8.35822,8.33531,8.34098,13674.720000000001
21.02.2017 18:00:00.000 GMT-0800,8.34127,8.34772,8.33761,8.34522,13467.160100000001
21.02.2017 22:00:00.000 GMT-0800,8.34534,8.38071,8.34485,8.37422,25909.0903
22.02.2017 02:00:00.000 GMT-0800,8.37422,8.39729,8.37008,8.37890,24786.4399
22.02.2017 06:00:00.000 GMT-0800,8.37902,8.39123,8.36077,8.37348,32081.4995
22.02.2017 10:00:00.000 GMT-0800,8.37342,8.38656,8.35190,8.36391,17378.53
22.02.2017 14:00:00.000 GMT-0800,8.36402,8.37731,8.35934,8.36922,15034.490299999998
22.02.2017 18:00:00.000 GMT-0800,8.36922,8.37247,8.34982,8.35463,29414.249900000003
22.02.2017 22:00:00.000 GMT-0800,8.35451,8.37258,8.34147,8.35649,22185.480199999998
23.02.2017 02:00:00.000 GMT-0800,8.35634,8.36393,8.31603,8.32212,26771.5898
23.02.2017 06:00:00.000 GMT-0800,8.32212,8.34992,8.31693,8.34800,27066.9497
23.02.2017 10:00:00.000 GMT-0800,8.34744,8.34923,8.33503,8.33712,12520.6404
23.02.2017 14:00:00.000 GMT-0800,8.33632,8.34590,8.33032,8.34376,13874.289999999999
23.02.2017 18:00:00.000 GMT-0800,8.34386,8.34746,8.33538,8.33863,17261.6201
23.02.2017 22:00:00.000 GMT-0800,8.33865,8.34462,8.32028,8.32843,21108.5701
24.02.2017 02:00:00.000 GMT-0800,8.32844,8.34026,8.31938,8.32736,25566.369599999998
24.02.2017 06:00:00.000 GMT-0800,8.32754,8.36081,8.32673,8.34943,30560.0205
24.02.2017 10:00:00.000 GMT-0800,8.34943,8.37968,8.34385,8.37282,8752.6299
26.02.2017 14:00:00.000 GMT-0800,8.35721,8.38483,8.35379,8.36892,17156.6396
26.02.2017 18:00:00.000 GMT-0800,8.36872,8.37390,8.36601,8.37021,16812.5701
26.02.2017 22:00:00.000 GMT-0800,8.37014,8.37251,8.35038,8.35087,9030.3103
27.02.2017 02:00:00.000 GMT-0800,8.35087,8.36019,8.34126,8.34294,18268.5701
27.02.2017 06:00:00.000 GMT-0800,8.34294,8.36824,8.33531,8.35677,29159.560100000002
27.02.2017 10:00:00.000 GMT-0800,8.35677,8.37975,8.35517,8.36838,8966.9201
27.02.2017 14:00:00.000 GMT-0800,8.36876,8.38262,8.36468,8.37147,11398
27.02.2017 18:00:00.000 GMT-0800,8.37152,8.37328,8.36252,8.36397,14008.1697
27.02.2017 22:00:00.000 GMT-0800,8.36412,8.38968,8.35667,8.37970,19376.3201
28.02.2017 02:00:00.000 GMT-0800,8.37946,8.38292,8.35606,8.37724,24321.6196
28.02.2017 06:00:00.000 GMT-0800,8.37751,8.38159,8.35328,8.37762,28456.749900000003
28.02.2017 10:00:00.000 GMT-0800,8.37762,8.39491,8.37037,8.39144,11660.3399
28.02.2017 14:00:00.000 GMT-0800,8.39152,8.40658,8.38553,8.38951,15574.750100000001
28.02.2017 18:00:00.000 GMT-0800,8.38957,8.40654,8.37256,8.40253,33831.3794
28.02.2017 22:00:00.000 GMT-0800,8.40245,8.41799,8.39722,8.40896,22332.3
01.03.2017 02:00:00.000 GMT-0800,8.40896,8.42442,8.40198,8.40901,28439.4003
01.03.2017 06:00:00.000 GMT-0800,8.40908,8.41958,8.39471,8.40334,30432.6197
01.03.2017 10:00:00.000 GMT-0800,8.40323,8.41887,8.39690,8.40792,8166.950199999999
01.03.2017 14:00:00.000 GMT-0800,8.40842,8.42535,8.40205,8.42243,14115.2303
01.03.2017 18:00:00.000 GMT-0800,8.42248,8.42608,8.42195,8.42562,13298.199700000001
01.03.2017 22:00:00.000 GMT-0800,8.42540,8.44610,8.41907,8.43866,21311.5205
02.03.2017 02:00:00.000 GMT-0800,8.43883,8.46733,8.42749,8.46530,24614.92
02.03.2017 06:00:00.000 GMT-0800,8.46526,8.48336,8.45895,8.47803,28221.1407
02.03.2017 10:00:00.000 GMT-0800,8.47818,8.49278,8.47472,8.48192,6441.5999
02.03.2017 14:00:00.000 GMT-0800,8.48182,8.48582,8.47336,8.47372,11117.1201
02.03.2017 18:00:00.000 GMT-0800,8.47342,8.47883,8.46981,8.47372,15839.750199999999
02.03.2017 22:00:00.000 GMT-0800,8.47384,8.48367,8.46554,8.48239,17046.450100000002
03.03.2017 02:00:00.000 GMT-0800,8.48259,8.48580,8.43970,8.44564,27676.2602
03.03.2017 06:00:00.000 GMT-0800,8.44564,8.48212,8.44464,8.47119,26981.9297
03.03.2017 10:00:00.000 GMT-0800,8.47102,8.48620,8.41792,8.41832,30407.6103
05.03.2017 14:00:00.000 GMT-0800,8.41666,8.43450,8.41402,8.43302,13294.530299999999
05.03.2017 18:00:00.000 GMT-0800,8.43290,8.43515,8.42848,8.42927,12747.24
05.03.2017 22:00:00.000 GMT-0800,8.42922,8.44926,8.41523,8.43964,21161.3501
06.03.2017 02:00:00.000 GMT-0800,8.43983,8.48857,8.43842,8.47146,20656.9697
06.03.2017 06:00:00.000 GMT-0800,8.47138,8.49443,8.46598,8.48944,25226.3702
06.03.2017 10:00:00.000 GMT-0800,8.48933,8.49455,8.48254,8.49005,7153.5302
06.03.2017 14:00:00.000 GMT-0800,8.49096,8.49996,8.48872,8.49331,19778.2605
06.03.2017 18:00:00.000 GMT-0800,8.49323,8.49532,8.48526,8.49138,17238.4698
06.03.2017 22:00:00.000 GMT-0800,8.49135,8.49572,8.43561,8.46290,18501.0498
07.03.2017 02:00:00.000 GMT-0800,8.46306,8.46754,8.44881,8.45593,19687.8497
07.03.2017 06:00:00.000 GMT-0800,8.45593,8.47298,8.44035,8.44930,23487.6602
07.03.2017 10:00:00.000 GMT-0800,8.44919,8.45375,8.44556,8.45108,14060.000199999999
