Local time,Open,High,Low,Close,Volume
12.02.2017 22:00:00.000 GMT-0800,35.0603,35.0917,35.0267,35.0467,9411.470000000001
13.02.2017 02:00:00.000 GMT-0800,35.0589,35.0908,35.0130,35.0722,7029.2801
13.02.2017 06:00:00.000 GMT-0800,35.0722,35.1319,35.0371,35.0771,4804.96
13.02.2017 14:00:00.000 GMT-0800,35.0465,35.1024,35.0122,35.0568,6604.5599999999995
13.02.2017 18:00:00.000 GMT-0800,35.0573,35.0778,34.9569,34.9729,13852.21
13.02.2017 22:00:00.000 GMT-0800,34.9893,35.0123,34.9106,34.9717,14898.430099999998
14.02.2017 02:00:00.000 GMT-0800,34.9729,35.0023,34.9421,34.9757,8258.9202
14.02.2017 06:00:00.000 GMT-0800,34.9720,35.0811,34.9537,35.0233,8888.499899999999
14.02.2017 10:00:00.000 GMT-0800,35.0329,35.0515,34.9569,34.9911,3776.09
14.02.2017 14:00:00.000 GMT-0800,34.9966,35.0625,34.8775,35.0131,9247.75
14.02.2017 18:00:00.000 GMT-0800,35.0111,35.0330,34.9378,35.0096,13868.5998
14.02.2017 22:00:00.000 GMT-0800,35.0193,35.0382,34.9771,35.0019,15670.8799
15.02.2017 02:00:00.000 GMT-0800,35.0072,35.0732,34.9822,35.0600,13069.1103
15.02.2017 06:00:00.000 GMT-0800,35.0618,35.0724,34.9817,35.0223,9026.35
15.02.2017 10:00:00.000 GMT-0800,35.0166,35.0609,34.9747,35.0103,3339.1499999999996
15.02.2017 14:00:00.000 GMT-0800,35.0128,35.0428,34.9647,34.9899,7787.8099999999995
15.02.2017 18:00:00.000 GMT-0800,34.9906,35.0189,34.9455,34.9879,11651.8399
15.02.2017 22:00:00.000 GMT-0800,34.9894,35.0125,34.9520,34.9821,11910.38
16.02.2017 02:00:00.000 GMT-0800,34.9888,35.0220,34.9451,35.0128,11735.73
16.02.2017 06:00:00.000 GMT-0800,35.0100,35.0233,34.9376,35.0011,8152.6398
16.02.2017 10:00:00.000 GMT-0800,34.9905,35.0232,34.9472,34.9830,3883.68
16.02.2017 14:00:00.000 GMT-0800,34.9823,35.0231,34.8917,34.9883,7789.1299
16.02.2017 18:00:00.000 GMT-0800,34.9872,35.0122,34.9446,34.9811,8747.840199999999
16.02.2017 22:00:00.000 GMT-0800,34.9874,35.0108,34.9460,34.9792,10586.8599
17.02.2017 02:00:00.000 GMT-0800,34.9812,35.0224,34.9494,35.0128,11425.0801
17.02.2017 06:00:00.000 GMT-0800,35.0131,35.0282,34.9528,34.9856,7780.2103
17.02.2017 10:00:00.000 GMT-0800,34.9882,35.0120,34.8748,34.9726,2518.2799999999997
19.02.2017 14:00:00.000 GMT-0800,34.9777,35.0024,34.9137,34.9806,5439.08
19.02.2017 18:00:00.000 GMT-0800,34.9893,35.0402,34.9673,35.0070,8993
19.02.2017 22:00:00.000 GMT-0800,35.0202,35.0444,34.9812,35.0284,12818.000100000001
20.02.2017 02:00:00.000 GMT-0800,35.0238,35.0431,34.9853,35.0282,8330.3099
20.02.2017 06:00:00.000 GMT-0800,35.0199,35.0426,34.9533,35.0202,4648.3499
20.02.2017 10:00:00.000 GMT-0800,35.0201,35.0609,34.9868,35.0098,2903.75
20.02.2017 14:00:00.000 GMT-0800,35.0063,35.0630,34.9757,35.0421,7667.4702
20.02.2017 18:00:00.000 GMT-0800,35.0461,35.0621,34.9982,35.0167,9117.27
20.02.2017 22:00:00.000 GMT-0800,35.0421,35.0513,34.9507,35.0298,12017.860100000002
21.02.2017 02:00:00.000 GMT-0800,35.0360,35.0633,34.9856,35.0408,7896.559900000001
21.02.2017 06:00:00.000 GMT-0800,35.0460,35.0631,35.0060,35.0298,5691.599999999999
21.02.2017 10:00:00.000 GMT-0800,35.0151,35.0590,34.9888,35.0174,3829.6599
21.02.2017 14:00:00.000 GMT-0800,35.0099,35.0526,34.9523,34.9987,7631.6499
21.02.2017 18:00:00.000 GMT-0800,35.0094,35.0231,34.9666,35.0068,9451.1102
21.02.2017 22:00:00.000 GMT-0800,35.0025,35.0499,34.9669,35.0093,11765.580399999999
22.02.2017 02:00:00.000 GMT-0800,34.9987,35.0418,34.9735,35.0023,10769.6199
22.02.2017 06:00:00.000 GMT-0800,34.9985,35.0329,34.9701,35.0011,5872.6399
22.02.2017 10:00:00.000 GMT-0800,34.9987,35.0323,34.9560,35.0030,3925.2900000000004
