Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,2.90543,2.90694,2.89285,2.89753,13936.6597
01.12.2015 02:00:00.000 GMT-0800,2.89758,2.89861,2.88431,2.88955,18527.75
01.12.2015 06:00:00.000 GMT-0800,2.88960,2.89431,2.87815,2.89280,19936.849800000004
01.12.2015 10:00:00.000 GMT-0800,2.89277,2.89584,2.88709,2.88721,3991.82
01.12.2015 14:00:00.000 GMT-0800,2.88681,2.89019,2.88431,2.88944,1530.94
01.12.2015 18:00:00.000 GMT-0800,2.88942,2.89136,2.88749,2.89095,3420.0199000000002
01.12.2015 22:00:00.000 GMT-0800,2.89115,2.89196,2.87585,2.87966,16333.400000000001
02.12.2015 02:00:00.000 GMT-0800,2.87969,2.89222,2.87360,2.89202,20784.2602
02.12.2015 06:00:00.000 GMT-0800,2.89201,2.89862,2.88550,2.89167,21663.6201
02.12.2015 10:00:00.000 GMT-0800,2.89166,2.89310,2.88711,2.88711,7490.789999999999
02.12.2015 14:00:00.000 GMT-0800,2.88712,2.89601,2.88439,2.89477,1279.72
02.12.2015 18:00:00.000 GMT-0800,2.89477,2.89486,2.88783,2.88813,3633.86
02.12.2015 22:00:00.000 GMT-0800,2.89010,2.89261,2.88042,2.88402,12337.6496
03.12.2015 02:00:00.000 GMT-0800,2.88402,2.88620,2.87045,2.87616,23918.060299999997
03.12.2015 06:00:00.000 GMT-0800,2.87616,2.89653,2.87207,2.88758,25813.3199
03.12.2015 10:00:00.000 GMT-0800,2.88756,2.89087,2.87757,2.88319,5920.110100000001
03.12.2015 14:00:00.000 GMT-0800,2.87990,2.88726,2.87395,2.88713,1446.12
03.12.2015 18:00:00.000 GMT-0800,2.88714,2.88819,2.88384,2.88776,1327.23
03.12.2015 22:00:00.000 GMT-0800,2.88776,2.89346,2.87826,2.89342,15665.5703
04.12.2015 02:00:00.000 GMT-0800,2.89349,2.91775,2.89115,2.89724,20497.2404
04.12.2015 06:00:00.000 GMT-0800,2.89724,2.90075,2.87595,2.88565,19500.8897
04.12.2015 10:00:00.000 GMT-0800,2.88566,2.89269,2.88285,2.89105,4063.8599999999997
06.12.2015 14:00:00.000 GMT-0800,2.87592,2.89284,2.87496,2.89129,1689.0100000000002
06.12.2015 18:00:00.000 GMT-0800,2.89130,2.89260,2.88143,2.89017,3738.41
06.12.2015 22:00:00.000 GMT-0800,2.89031,2.89199,2.87114,2.89128,12378.0399
07.12.2015 02:00:00.000 GMT-0800,2.89145,2.90335,2.89093,2.90125,12939.26
07.12.2015 06:00:00.000 GMT-0800,2.90127,2.91668,2.90023,2.91005,15837.02
07.12.2015 10:00:00.000 GMT-0800,2.91004,2.91505,2.90780,2.90970,4016.9401
07.12.2015 14:00:00.000 GMT-0800,2.90970,2.91246,2.90842,2.90951,1017.75
07.12.2015 18:00:00.000 GMT-0800,2.90950,2.91190,2.90854,2.91062,1518.46
07.12.2015 22:00:00.000 GMT-0800,2.91164,2.91860,2.90381,2.91504,14679.68
08.12.2015 02:00:00.000 GMT-0800,2.91503,2.92399,2.90979,2.91805,22869.2996
08.12.2015 06:00:00.000 GMT-0800,2.91805,2.92093,2.90781,2.91191,26253.1599
08.12.2015 10:00:00.000 GMT-0800,2.91178,2.91228,2.90624,2.90693,10073.32
08.12.2015 14:00:00.000 GMT-0800,2.90693,2.91068,2.90543,2.91014,1944.8400000000001
08.12.2015 18:00:00.000 GMT-0800,2.91008,2.91173,2.90622,2.90785,13733.7398
08.12.2015 22:00:00.000 GMT-0800,2.90785,2.91754,2.90202,2.91276,13330.14
09.12.2015 02:00:00.000 GMT-0800,2.91290,2.92038,2.90914,2.91591,17020.68
09.12.2015 06:00:00.000 GMT-0800,2.91591,2.91837,2.90793,2.91577,20275.449699999997
09.12.2015 10:00:00.000 GMT-0800,2.91579,2.92793,2.91227,2.91428,8270.91
