Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,14.40959,14.44922,14.36129,14.40449,16974.7799
01.12.2015 02:00:00.000 GMT-0800,14.40477,14.49129,14.39247,14.47722,22169.5498
01.12.2015 06:00:00.000 GMT-0800,14.47722,14.48239,14.39979,14.43440,20551.9297
01.12.2015 10:00:00.000 GMT-0800,14.43471,14.45079,14.42184,14.43493,8027.480100000001
01.12.2015 14:00:00.000 GMT-0800,14.43494,14.45119,14.36742,14.42769,2412.17
01.12.2015 18:00:00.000 GMT-0800,14.42769,14.44109,14.42307,14.43909,1125.6399999999999
01.12.2015 22:00:00.000 GMT-0800,14.43937,14.44347,14.33259,14.34509,14912.579600000001
02.12.2015 02:00:00.000 GMT-0800,14.34509,14.37907,14.30852,14.37025,19465.01
02.12.2015 06:00:00.000 GMT-0800,14.37025,14.40077,14.34522,14.36430,23255.1504
02.12.2015 10:00:00.000 GMT-0800,14.36460,14.37993,14.33907,14.33907,11775.3598
02.12.2015 14:00:00.000 GMT-0800,14.33902,14.38909,14.33859,14.37267,5011.940199999999
02.12.2015 18:00:00.000 GMT-0800,14.37253,14.38644,14.32287,14.33278,7007.66
02.12.2015 22:00:00.000 GMT-0800,14.33307,14.37469,14.31825,14.32167,14440.339800000002
03.12.2015 02:00:00.000 GMT-0800,14.32167,14.35547,14.24718,14.26199,21362.5798
03.12.2015 06:00:00.000 GMT-0800,14.26199,14.39549,14.25347,14.33999,23999.8995
03.12.2015 10:00:00.000 GMT-0800,14.33828,14.37119,14.32988,14.34939,9392.2601
03.12.2015 14:00:00.000 GMT-0800,14.34680,14.37969,14.34364,14.37439,770.03
03.12.2015 18:00:00.000 GMT-0800,14.37323,14.38379,14.36627,14.37889,1611.79
03.12.2015 22:00:00.000 GMT-0800,14.37959,14.39682,14.35012,14.38907,16316.930199999999
04.12.2015 02:00:00.000 GMT-0800,14.38914,14.47319,14.38129,14.38866,23913.5102
04.12.2015 06:00:00.000 GMT-0800,14.38866,14.41401,14.26838,14.34044,26723.489599999997
04.12.2015 10:00:00.000 GMT-0800,14.34044,14.36764,14.32304,14.35545,4544.5898
06.12.2015 14:00:00.000 GMT-0800,14.33237,14.37749,14.32909,14.35067,2862.6
06.12.2015 18:00:00.000 GMT-0800,14.34795,14.36909,14.34744,14.35648,1636.3199999999997
06.12.2015 22:00:00.000 GMT-0800,14.35611,14.46919,14.32729,14.44732,12885.099799999998
07.12.2015 02:00:00.000 GMT-0800,14.44779,14.53858,14.43352,14.52627,14312.5102
07.12.2015 06:00:00.000 GMT-0800,14.52621,14.56629,14.51807,14.51959,17128.2997
07.12.2015 10:00:00.000 GMT-0800,14.51497,14.54853,14.49277,14.50256,5747.7899
07.12.2015 14:00:00.000 GMT-0800,14.50210,14.51879,14.49527,14.49682,1281.7900000000002
07.12.2015 18:00:00.000 GMT-0800,14.49924,14.54429,14.48989,14.51917,4080.52
07.12.2015 22:00:00.000 GMT-0800,14.52407,14.59133,14.49589,14.58091,17409.1002
08.12.2015 02:00:00.000 GMT-0800,14.58091,14.69769,14.57731,14.67499,33596.0195
08.12.2015 06:00:00.000 GMT-0800,14.67499,14.69262,14.56248,14.56248,41106.89020000001
08.12.2015 10:00:00.000 GMT-0800,14.56249,14.60229,14.56038,14.57393,21802.879800000002
08.12.2015 14:00:00.000 GMT-0800,14.57738,14.60232,14.57508,14.58427,6771.3098
08.12.2015 18:00:00.000 GMT-0800,14.58427,14.59809,14.57449,14.58147,15015.160199999998
08.12.2015 22:00:00.000 GMT-0800,14.58607,14.64754,14.54023,14.62461,21706.5899
09.12.2015 02:00:00.000 GMT-0800,14.62461,14.64069,14.53022,14.56388,37886.9394
09.12.2015 06:00:00.000 GMT-0800,14.56369,14.59773,14.50268,14.58923,27397.540399999998
09.12.2015 10:00:00.000 GMT-0800,14.58923,15.27898,14.57861,14.95789,13014.0996
09.12.2015 14:00:00.000 GMT-0800,14.95759,14.97184,14.85253,14.88959,5309.07
