Local time,Open,High,Low,Close,Volume
30.11.2015 22:00:00.000 GMT-0800,8.497,8.530,8.471,8.512,4900.143
01.12.2015 02:00:00.000 GMT-0800,8.511,8.519,8.463,8.473,6438.25
01.12.2015 06:00:00.000 GMT-0800,8.473,8.504,8.467,8.483,4608.511100000001
01.12.2015 10:00:00.000 GMT-0800,8.482,8.485,8.465,8.472,3567.5969999999998
01.12.2015 14:00:00.000 GMT-0800,8.470,8.508,8.458,8.484,2256.42
01.12.2015 18:00:00.000 GMT-0800,8.484,8.494,8.480,8.488,1084.32
01.12.2015 22:00:00.000 GMT-0800,8.489,8.561,8.485,8.551,2723.787
02.12.2015 02:00:00.000 GMT-0800,8.552,8.574,8.535,8.553,2310.0719999999997
02.12.2015 06:00:00.000 GMT-0800,8.554,8.572,8.537,8.564,5085.835599999999
02.12.2015 10:00:00.000 GMT-0800,8.564,8.575,8.533,8.549,7357.467000000001
02.12.2015 14:00:00.000 GMT-0800,8.546,8.558,8.530,8.538,6156.172
02.12.2015 18:00:00.000 GMT-0800,8.535,8.579,8.534,8.574,3293.6803
02.12.2015 22:00:00.000 GMT-0800,8.574,8.593,8.552,8.588,2740.6009999999997
03.12.2015 02:00:00.000 GMT-0800,8.589,8.609,8.554,8.599,10545.994900000002
03.12.2015 06:00:00.000 GMT-0800,8.598,8.611,8.514,8.525,8805.2351
03.12.2015 10:00:00.000 GMT-0800,8.526,8.526,8.491,8.493,13324.1917
03.12.2015 14:00:00.000 GMT-0800,8.492,8.507,8.483,8.497,16084.299900000002
03.12.2015 18:00:00.000 GMT-0800,8.497,8.499,8.480,8.492,5616.6971
03.12.2015 22:00:00.000 GMT-0800,8.492,8.522,8.486,8.498,6581.7171
04.12.2015 02:00:00.000 GMT-0800,8.497,8.515,8.465,8.508,9385.6401
04.12.2015 06:00:00.000 GMT-0800,8.508,8.592,8.494,8.555,10647.032
04.12.2015 10:00:00.000 GMT-0800,8.556,8.564,8.516,8.517,8195.7872
06.12.2015 14:00:00.000 GMT-0800,8.528,8.553,8.528,8.537,1510.915
06.12.2015 18:00:00.000 GMT-0800,8.537,8.556,8.536,8.552,1064.384
06.12.2015 22:00:00.000 GMT-0800,8.553,8.568,8.498,8.510,4540.43
07.12.2015 02:00:00.000 GMT-0800,8.509,8.519,8.458,8.463,4605.68
07.12.2015 06:00:00.000 GMT-0800,8.462,8.464,8.427,8.454,6186.360000000001
07.12.2015 10:00:00.000 GMT-0800,8.455,8.469,8.430,8.430,3908.935
07.12.2015 14:00:00.000 GMT-0800,8.430,8.468,8.430,8.460,1691.67
07.12.2015 18:00:00.000 GMT-0800,8.461,8.465,8.428,8.439,1159.76
07.12.2015 22:00:00.000 GMT-0800,8.439,8.456,8.400,8.408,4543.38
08.12.2015 02:00:00.000 GMT-0800,8.408,8.414,8.325,8.335,8852.9197
08.12.2015 06:00:00.000 GMT-0800,8.335,8.410,8.324,8.410,6441.098099999999
08.12.2015 10:00:00.000 GMT-0800,8.410,8.410,8.382,8.383,4675.249
08.12.2015 14:00:00.000 GMT-0800,8.382,8.395,8.339,8.384,3962.8030000000003
08.12.2015 18:00:00.000 GMT-0800,8.384,8.386,8.368,8.379,4596.3789
08.12.2015 22:00:00.000 GMT-0800,8.379,8.412,8.342,8.358,4335.2071
09.12.2015 02:00:00.000 GMT-0800,8.357,8.406,8.334,8.351,5805.3189999999995
09.12.2015 06:00:00.000 GMT-0800,8.350,8.391,8.284,8.287,9874.3884
09.12.2015 10:00:00.000 GMT-0800,8.286,8.295,7.871,8.065,12956.589799999998
09.12.2015 14:00:00.000 GMT-0800,8.065,8.153,8.057,8.127,10659.495200000001
09.12.2015 18:00:00.000 GMT-0800,8.128,8.143,8.045,8.045,7424.2061
09.12.2015 22:00:00.000 GMT-0800,8.045,8.125,8.003,8.068,6404.965099999999
10.12.2015 02:00:00.000 GMT-0800,8.067,8.067,7.880,7.899,11225.4613
10.12.2015 06:00:00.000 GMT-0800,7.900,8.013,7.900,7.922,9712.3909
10.12.2015 10:00:00.000 GMT-0800,7.922,7.923,7.817,7.819,8873.7883
10.12.2015 14:00:00.000 GMT-0800,7.818,7.899,7.802,7.898,15600.000100000001
10.12.2015 18:00:00.000 GMT-0800,7.900,7.910,7.854,7.855,7427.432999999999
10.12.2015 22:00:00.000 GMT-0800,7.855,7.905,7.708,7.708,7913.2591
11.12.2015 02:00:00.000 GMT-0800,7.708,7.732,7.486,7.627,9914.3661
11.12.2015 06:00:00.000 GMT-0800,7.628,7.667,7.516,7.633,13651.1487
11.12.2015 10:00:00.000 GMT-0800,7.632,7.647,7.552,7.559,8184.398
13.12.2015 14:00:00.000 GMT-0800,7.973,7.974,7.756,7.857,4730.8269
13.12.2015 18:00:00.000 GMT-0800,7.856,7.968,7.852,7.966,2175.633
